"{""chat"": [{""sex"": ""1"", ""content"": ""我们能够认识也算一种缘分吧""}, {""sex"": ""2"", ""content"": ""认识是一种缘分，但可能不适合""}, {""sex"": ""1"", ""content"": ""没事，适合不适合我们试试才知道啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你以为你长得帅就可以这么凶？""}, {""sex"": ""1"", ""content"": ""你以为你长得漂亮就可以这么任性吗！""}, {""sex"": ""1"", ""content"": ""主要是长得帅而且还被你喜欢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""[睡][睡]""}, {""sex"": ""1"", ""content"": ""除了睡，你能不能多想想我？""}, {""sex"": ""1"", ""content"": ""没跟我待在一起的睡觉都是浪费时间。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么陪？""}, {""sex"": ""1"", ""content"": ""只要你想，怎么陪都行。""}, {""sex"": ""1"", ""content"": ""陪我你想怎么陪就怎么陪。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛，在干嘛""}, {""sex"": ""1"", ""content"": ""在等你撩我呢""}, {""sex"": ""1"", ""content"": ""没干嘛，偷偷想小仙女呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛？？""}, {""sex"": ""1"", ""content"": ""想着某位美女呢。""}, {""sex"": ""1"", ""content"": ""等一个美女问我“在干嘛”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你咬人""}, {""sex"": ""1"", ""content"": ""我就想要咬你一口而已的啦""}, {""sex"": ""1"", ""content"": ""难道你还不让我咬你嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可以咬吗""}, {""sex"": ""1"", ""content"": ""我要是不给，你怕是要咬我了吧。""}, {""sex"": ""1"", ""content"": ""咬了，还松嘴吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我咬你""}, {""sex"": ""1"", ""content"": ""咬呗，这算你留给我的记号。""}, {""sex"": ""1"", ""content"": ""我就亲你，狠狠的亲你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一定会嫁给你的""}, {""sex"": ""1"", ""content"": ""那我就等着你嫁给我的那天。""}, {""sex"": ""1"", ""content"": ""你放心，我一定会娶你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不丑呀""}, {""sex"": ""1"", ""content"": ""这都让你知道了，看来你关注点挺独特的呀。""}, {""sex"": ""1"", ""content"": ""我要是丑你还愿意和我做朋友嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""去你心里啊""}, {""sex"": ""1"", ""content"": ""那需不需要我给你发一个定位呢。""}, {""sex"": ""1"", ""content"": ""随时欢迎你住进我心里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢胖的吗""}, {""sex"": ""1"", ""content"": ""那你喜欢胖的吗？""}, {""sex"": ""1"", ""content"": ""哪得看是什么人了！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": "".哦哦""}, {""sex"": ""1"", ""content"": ""突然觉得在哦的后面加个哦就没有那么高冷了。""}, {""sex"": ""1"", ""content"": ""为什么你的哦和别人不一样。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也""}, {""sex"": ""1"", ""content"": ""我也准备好去梦里遇见你了。""}, {""sex"": ""1"", ""content"": ""我们之间居然这么有默契啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯 你也是""}, {""sex"": ""1"", ""content"": ""别担心，我会注意的""}, {""sex"": ""1"", ""content"": ""你能这么关心我我就觉得很开心了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你别找我""}, {""sex"": ""1"", ""content"": ""不找你我会扛不住相思的疾苦的。""}, {""sex"": ""1"", ""content"": ""你就不担心我不找你去找其他的小姐姐吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""来找我呀""}, {""sex"": ""1"", ""content"": ""找到你之后，想让我干什么呢。""}, {""sex"": ""1"", ""content"": ""找我心爱的人，肯定得找。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不找我，我也不找你""}, {""sex"": ""1"", ""content"": ""很多关系都是因为互相不肯退让才会渐渐疏远的。""}, {""sex"": ""1"", ""content"": ""看来还是只能我主动出击了，我不找你是不行了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""让你久等了""}, {""sex"": ""1"", ""content"": ""下次再让我等这么久可就要给你惩罚了哦。""}, {""sex"": ""1"", ""content"": ""没关系，等小仙女是应该的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说你想我""}, {""sex"": ""1"", ""content"": ""我想你了。""}, {""sex"": ""1"", ""content"": ""想你我可不是说说而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想挨打了""}, {""sex"": ""1"", ""content"": ""没有没有，我想挨亲。""}, {""sex"": ""1"", ""content"": ""你要是敢打我，我就敢亲你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是自恋的""}, {""sex"": ""1"", ""content"": ""人不自恋枉少年啊！""}, {""sex"": ""1"", ""content"": ""那也是有自恋的资本好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小宝贝是谁""}, {""sex"": ""1"", ""content"": ""我说的是谁心里还没点数吗？""}, {""sex"": ""1"", ""content"": ""就是问我这个问题的人啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困了没有""}, {""sex"": ""1"", ""content"": ""还好目前还没到犯困的时候。""}, {""sex"": ""1"", ""content"": ""和你聊天倍精神怎么会犯困呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困困""}, {""sex"": ""1"", ""content"": ""年轻人你这样不行啊。""}, {""sex"": ""2"", ""content"": ""嗯？""}, {""sex"": ""1"", ""content"": ""夜生活都没来，你就犯困了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还是生气""}, {""sex"": ""1"", ""content"": ""那要怎么样才不生气？亲亲抱抱举高高好不好？""}, {""sex"": ""1"", ""content"": ""再生气下去就是有皱纹的小仙女了，就不好看了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又不是猪""}, {""sex"": ""1"", ""content"": ""我要是猪，那你岂不是被猪拱的大白菜""}, {""sex"": ""1"", ""content"": ""肯定不是啊，因为我是你的小可爱呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这照片怎么样""}, {""sex"": ""1"", ""content"": ""好看呀，怎么会有这么漂亮的女孩子呢""}, {""sex"": ""1"", ""content"": ""拍得这么好，你是不是学过摄影呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么这么巧""}, {""sex"": ""1"", ""content"": ""看来都是老天爷定的缘分啊。""}, {""sex"": ""1"", ""content"": ""怎么？不相信丘比特？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么乖""}, {""sex"": ""1"", ""content"": ""乖乖跟我回家做媳妇。""}, {""sex"": ""1"", ""content"": ""你要是乖乖的就给你买糖吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么不""}, {""sex"": ""1"", ""content"": ""不是所有事情都有为什么的""}, {""sex"": ""1"", ""content"": ""因为我的内心告诉我必须要拒绝""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么可爱呢""}, {""sex"": ""1"", ""content"": ""在你面前，我还能更可爱一些""}, {""sex"": ""1"", ""content"": ""我可以认为你是在夸（捧）我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""懂什么？""}, {""sex"": ""1"", ""content"": ""不知道，现在懂什么也来不及了。""}, {""sex"": ""1"", ""content"": ""我懂得怎么喜欢你呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在忙什么呀？""}, {""sex"": ""1"", ""content"": ""我是谁，我在哪里，我在做什么？""}, {""sex"": ""1"", ""content"": ""小仙女不先跟我说你在做什么吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在家么""}, {""sex"": ""1"", ""content"": ""在呢，你是要过来找我玩吗？""}, {""sex"": ""1"", ""content"": ""我现在不在家，你找我有事嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好 在么""}, {""sex"": ""1"", ""content"": ""在啊，小美女找我吗""}, {""sex"": ""1"", ""content"": ""在的，一直在等小仙女呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在吗在吗在吗？""}, {""sex"": ""1"", ""content"": ""在在在！一看到是你我马上出现""}, {""sex"": ""1"", ""content"": ""在呢，想我了吗？这么着急找我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈喽，在忙什么呢？""}, {""sex"": ""1"", ""content"": ""在想小仙女怎么过了这么久还不来找我！""}, {""sex"": ""1"", ""content"": ""在等小仙女呢！等了好久了!生气！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天做什么呢""}, {""sex"": ""1"", ""content"": ""今天要比昨天更喜欢你。""}, {""sex"": ""1"", ""content"": ""你想做什么，我都听你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么了！""}, {""sex"": ""1"", ""content"": ""想你想得脑阔疼，你快帮我揉揉。""}, {""sex"": ""1"", ""content"": ""你什么时候有空嫁给我呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""凭空想象""}, {""sex"": ""1"", ""content"": ""那我有想象的能力还不能好好发挥发挥吗？""}, {""sex"": ""1"", ""content"": ""我可没有凭空想象，我是有理有据地想象。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天这么开心""}, {""sex"": ""1"", ""content"": ""那你是不是应该分享我一点你的开心呢。""}, {""sex"": ""1"", ""content"": ""今天的你就是我的开心果。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又能怎么样""}, {""sex"": ""1"", ""content"": ""我除了喜欢你，还能怎么样""}, {""sex"": ""1"", ""content"": ""反正对你我只能宠着惯着。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么能这样啊你""}, {""sex"": ""1"", ""content"": ""不然你希望是怎么样的？""}, {""sex"": ""1"", ""content"": ""那我换个喜欢你的样子吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎样称呼""}, {""sex"": ""1"", ""content"": ""很喜欢小朋友这个称呼 让我觉得自己即使成年了也依然被宠着""}, {""sex"": ""1"", ""content"": ""希望你跟别人提起我的时候，你会用最爱的人来称呼我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你昨晚那么晚睡""}, {""sex"": ""1"", ""content"": ""那还不是因为想你想的嘛！""}, {""sex"": ""1"", ""content"": ""在等你晚安呢，你没说我怎敢入睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要干什么？""}, {""sex"": ""1"", ""content"": ""你应该知道我想干什么才对。""}, {""sex"": ""1"", ""content"": ""你难道不知道我想干什么吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想怎么滴""}, {""sex"": ""1"", ""content"": ""不想怎么滴，就是想被你喜欢。""}, {""sex"": ""1"", ""content"": ""我还能怎么滴啊，喜欢你呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想换个工作""}, {""sex"": ""1"", ""content"": ""要是做得不开心的话那就换一个喜欢的工作吧。""}, {""sex"": ""1"", ""content"": ""那你想换个什么工作呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么醒那么早""}, {""sex"": ""1"", ""content"": ""早点醒来想你不好吗？""}, {""sex"": ""1"", ""content"": ""梦里的你不见了，我就醒了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""附近人""}, {""sex"": ""1"", ""content"": ""你就是这半径十公里里最可爱最美丽的小仙女吗？""}, {""sex"": ""1"", ""content"": ""哇，小仙女跟我离得好近呀，开心""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可别怎么说""}, {""sex"": ""1"", ""content"": ""长得这么好看还不让我说了？""}, {""sex"": ""1"", ""content"": ""我爱你可不是这么说说而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有用""}, {""sex"": ""1"", ""content"": ""都是有用的，没用的早就被淘汰了""}, {""sex"": ""1"", ""content"": ""有用就好，说明是有价值的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么意思嘛""}, {""sex"": ""1"", ""content"": ""我喜欢你的意思啊。""}, {""sex"": ""1"", ""content"": ""就是那个你想的意思。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你会么""}, {""sex"": ""1"", ""content"": ""你在怀疑什么？我当然会。""}, {""sex"": ""1"", ""content"": ""不会，你可以教我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这样子昂""}, {""sex"": ""1"", ""content"": ""对啊，不然你想是什么样子的？""}, {""sex"": ""1"", ""content"": ""在爱情眼里我就是这样子的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么叫合适""}, {""sex"": ""1"", ""content"": ""我们之间就叫做合适。""}, {""sex"": ""1"", ""content"": ""试试不就知道什么叫做合适了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""管不了""}, {""sex"": ""1"", ""content"": ""只有你能管我了，你不管就没有人了""}, {""sex"": ""1"", ""content"": ""是管不了还是你不想管？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""受不了。""}, {""sex"": ""1"", ""content"": ""受不了的时候就来我怀里躲躲。""}, {""sex"": ""1"", ""content"": ""只能怪我长得太帅了，让你受不了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好像饿了""}, {""sex"": ""1"", ""content"": ""好吧，我们吃货饿了就去吃东西吧。""}, {""sex"": ""1"", ""content"": ""你好像没有不饿的时候。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有点飘了""}, {""sex"": ""1"", ""content"": ""的确，你现在走路都是飘来飘起的。""}, {""sex"": ""1"", ""content"": ""你当你是仙女啊，还带飘的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怕我飘了""}, {""sex"": ""1"", ""content"": ""没事，地面上不是还有我牵着吗？""}, {""sex"": ""1"", ""content"": ""飘呗，仙女不都应该是飘着的嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我不爱了""}, {""sex"": ""1"", ""content"": ""说不爱就不爱，你这个绝情的女人。""}, {""sex"": ""1"", ""content"": ""你真的能做到不爱就不爱了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没有照片了""}, {""sex"": ""1"", ""content"": ""那我直接看你就好了。""}, {""sex"": ""1"", ""content"": ""照骗而已，不看也罢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起床了没""}, {""sex"": ""1"", ""content"": ""等你的早安吻呢""}, {""sex"": ""1"", ""content"": ""起床了你又不在我身边""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很快""}, {""sex"": ""1"", ""content"": ""有多快，像火箭一样快吗？""}, {""sex"": ""1"", ""content"": ""不快一点是不是就要被淘汰了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你懂事了""}, {""sex"": ""1"", ""content"": ""我一直都很懂事的好嘛""}, {""sex"": ""1"", ""content"": ""懂事的小朋友才会有糖吃呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太累了""}, {""sex"": ""1"", ""content"": ""快来快来，我给你揉揉肩捶捶背""}, {""sex"": ""2"", ""content"": ""累得不想动""}, {""sex"": ""1"", ""content"": ""以后别把自己弄得这么累了，不然我很心疼啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在晚了""}, {""sex"": ""1"", ""content"": ""不晚不晚，一切都还来得及。""}, {""sex"": ""1"", ""content"": ""那下次早一点，你就没有理由拒绝了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚安""}, {""sex"": ""1"", ""content"": ""今天晚上做梦必须有你！""}, {""sex"": ""1"", ""content"": ""谢谢你的晚安，今晚能睡好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想多了你""}, {""sex"": ""1"", ""content"": ""不让我多想，那我只能想你了。""}, {""sex"": ""1"", ""content"": ""无论想多少，都没有想你想得多。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪种想""}, {""sex"": ""1"", ""content"": ""就是想念的想啊。""}, {""sex"": ""1"", ""content"": ""字面意义上面的想。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""除了生死""}, {""sex"": ""1"", ""content"": ""这个世界上，除了生死，其他都是小事。""}, {""sex"": ""1"", ""content"": ""除了生死，没有人能够把我们分开。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""先走了""}, {""sex"": ""1"", ""content"": ""你要是走了我就再去把你追回来啊""}, {""sex"": ""1"", ""content"": ""走去哪，我要跟着你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做梦呢？""}, {""sex"": ""1"", ""content"": ""对啊，梦里的你都答应做我女朋友了。""}, {""sex"": ""1"", ""content"": ""梦里的你太好看了，我再梦会儿。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不去的""}, {""sex"": ""1"", ""content"": ""你要是不去的话，那我也不去好了。""}, {""sex"": ""1"", ""content"": ""你都不去了，那我还去干嘛啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""傻了你""}, {""sex"": ""1"", ""content"": ""没傻都要被你说傻""}, {""sex"": ""1"", ""content"": ""只是你一个人的傻瓜""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班啦下班啦""}, {""sex"": ""1"", ""content"": ""我也下班啦，一起吃饭吧。""}, {""sex"": ""1"", ""content"": ""一下班你就变成脱缰的野马了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不聊了哈""}, {""sex"": ""1"", ""content"": ""嗯嗯，那我们有空的时候再聊。""}, {""sex"": ""1"", ""content"": ""可是我还舍不得跟你说再见呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没聊的了""}, {""sex"": ""1"", ""content"": ""谁说的，我还有很多话题可以跟你聊呢。""}, {""sex"": ""1"", ""content"": ""怪我，竟然让你觉得没聊的了，看来咱们还是要多聊聊天，提高聊天技能。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""宝宝踢我""}, {""sex"": ""1"", ""content"": ""这孩子这么快就踢她妈，赶紧出来信不信我揍你！""}, {""sex"": ""1"", ""content"": ""看来是个非常爱动的小仙女啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人跑""}, {""sex"": ""1"", ""content"": ""一个人很孤单吧，我来陪你。""}, {""sex"": ""1"", ""content"": ""你这么一个好看的小仙女，在外面我实在是很不放心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""对啊，一个人""}, {""sex"": ""1"", ""content"": ""请你把一个人去掉。""}, {""sex"": ""2"", ""content"": ""为什么？""}, {""sex"": ""1"", ""content"": ""因为我来了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一般呢""}, {""sex"": ""1"", ""content"": ""一般一般世界第三""}, {""sex"": ""1"", ""content"": ""漂亮的女生是不是都像你这么挑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一辈子那种""}, {""sex"": ""1"", ""content"": ""一辈子都是你的那种吗？""}, {""sex"": ""1"", ""content"": ""一辈子很短，只想与你厮守。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不一样啊""}, {""sex"": ""1"", ""content"": ""你就是你，不一样的烟火。""}, {""sex"": ""1"", ""content"": ""我喜欢的人能和其他人一样吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一切重新来过""}, {""sex"": ""1"", ""content"": ""我们也重新认识。""}, {""sex"": ""1"", ""content"": ""我们就可以重新开始。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天也是爱你的一天""}, {""sex"": ""1"", ""content"": ""今天是比昨天更爱你的一天。""}, {""sex"": ""1"", ""content"": ""今天是爱仙女姐姐的一天。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""自己注意安全""}, {""sex"": ""1"", ""content"": ""好嘞，我一定会注意安全的。""}, {""sex"": ""1"", ""content"": ""小仙女这么关心我呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""……再见""}, {""sex"": ""1"", ""content"": ""回来，不许说再见，我不要跟你再见""}, {""sex"": ""1"", ""content"": ""干嘛呀，你这是想去哪里？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你回来再说""}, {""sex"": ""1"", ""content"": ""难不成你想对我表白嘛，我会害羞的。""}, {""sex"": ""1"", ""content"": ""那你等着我，我马上回来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""陪我聊会天""}, {""sex"": ""1"", ""content"": ""除了聊天就不能有点其他的吗！""}, {""sex"": ""1"", ""content"": ""我还可以陪吃陪喝陪睡觉，其他业务要了解一下吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识吗？""}, {""sex"": ""1"", ""content"": ""之前不认识，一分钟过后我们就认识了。""}, {""sex"": ""1"", ""content"": ""现在认识应该也不算晚吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一天假""}, {""sex"": ""1"", ""content"": ""那你是得好好休息才可以了。""}, {""sex"": ""1"", ""content"": ""突然对假期有了点新的想法了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我胖子""}, {""sex"": ""1"", ""content"": ""每个胖子都是潜力股""}, {""sex"": ""1"", ""content"": ""我陪你减肥就好啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一直穷""}, {""sex"": ""1"", ""content"": ""贫穷不可怕，可怕的是屈服于贫穷。""}, {""sex"": ""1"", ""content"": ""现在都是在为未来蓄势爆发呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一直都在啊""}, {""sex"": ""1"", ""content"": ""那我想你的时候你会出现吗？""}, {""sex"": ""1"", ""content"": ""我也一直在啊，不如我们在一起吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天做的美梦""}, {""sex"": ""1"", ""content"": ""是一场很美很美的梦。""}, {""sex"": ""1"", ""content"": ""那梦里有我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""对我第一印象""}, {""sex"": ""1"", ""content"": ""我对你的第一印象就是真是一个有礼貌又可爱的女孩子啊""}, {""sex"": ""1"", ""content"": ""第一印象已经记不清了，只知道我现在很喜欢很喜欢你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢一个人生活""}, {""sex"": ""1"", ""content"": ""一个人生活挺好的，就是偶尔也会感到孤单。""}, {""sex"": ""1"", ""content"": ""以后你会喜欢上跟我一起生活的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""先休息一会""}, {""sex"": ""1"", ""content"": ""嗯嗯，有点累了确实要好好休息一下""}, {""sex"": ""1"", ""content"": ""我要是能在你身边休息就好了，肯定能够很快恢复元气满满""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不休息吗""}, {""sex"": ""1"", ""content"": ""不休息啦，没有那么多时间可以浪费""}, {""sex"": ""1"", ""content"": ""想在你身边休息啊，可惜你不在""}], ""lock"": 1}"
