"{""chat"": [{""sex"": ""2"", ""content"": ""先生你是哪位？""}, {""sex"": ""1"", ""content"": ""你竟然不记得我了，也罢，我们重新再认识一次吧""}, {""sex"": ""2"", ""content"": ""我们以前认识？""}, {""sex"": ""1"", ""content"": ""那是上辈子的事，多亏我还认得你的手和手毛""}, {""sex"": ""2"", ""content"": ""那你心里装的唯一的一个人是谁？""}, {""sex"": ""1"", ""content"": ""过高中的人都知道，心是分成两瓣的，左心房和右心房，左心房里面住着我最爱的女人，右心房里面住着最爱我的女人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""我帅吗""}, {""sex"": ""2"", ""content"": ""不帅 ""}, {""sex"": ""1"", ""content"": ""挺好，起码确定你加我不是垂涎我的美色""}, {""sex"": ""2"", ""content"": ""我呸，这么自恋""}, {""sex"": ""1"", ""content"": ""随地吐痰，罚款""}, {""sex"": ""1"", ""content"": ""老子撩你还这么凶""}, {""sex"": ""2"", ""content"": ""呸呸，我承受不起?""}, {""sex"": ""1"", ""content"": ""放心，我才一百一，没你重 ""}, {""sex"": ""1"", ""content"": ""记住我这个不一样的社会主义接班人，好了互相认识了可以进入真诚的环节了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么又看见你了？""}, {""sex"": ""1"", ""content"": ""这就是传说中的阴魂不散""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你你你你""}, {""sex"": ""1"", ""content"": ""没见过这么帅气的我吗？""}, {""sex"": ""1"", ""content"": ""怎么？看到我就害羞得接不上话来了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""接触""}, {""sex"": ""1"", ""content"": ""我们多接触接触，会更了解对方的""}, {""sex"": ""1"", ""content"": ""真想抛开屏幕，跟你现实生活接触一下""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么电影""}, {""sex"": ""1"", ""content"": ""你喜欢看什么电影呢？""}, {""sex"": ""1"", ""content"": ""最新上映的电影呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛啊！""}, {""sex"": ""1"", ""content"": ""在等我的仙女姐姐问我“在干嘛”""}, {""sex"": ""1"", ""content"": ""还能干嘛，偷偷的想你呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""被咬了""}, {""sex"": ""1"", ""content"": ""要不要带你去医院打狂犬疫苗。""}, {""sex"": ""1"", ""content"": ""谁这么不识好歹的咬你！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你请我吃嘛""}, {""sex"": ""1"", ""content"": ""我不请你，难道还是你请我？""}, {""sex"": ""1"", ""content"": ""我请你吃我，你要不要？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""夸夸""}, {""sex"": ""1"", ""content"": ""我这不是在夸你，我只是在说实话而已。""}, {""sex"": ""1"", ""content"": ""夸一下这么貌美如花的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好忙呀""}, {""sex"": ""1"", ""content"": ""我只是忙着在想你而已。""}, {""sex"": ""1"", ""content"": ""毕竟要给你一个美好的未来呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里面有你""}, {""sex"": ""1"", ""content"": ""我很霸道的，我要霸占你的整颗心。""}, {""sex"": ""1"", ""content"": ""那我要赖在你的心里一辈子不走了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你找不到我了""}, {""sex"": ""1"", ""content"": ""找得到找得到，我会用心灵感应感受到你的。""}, {""sex"": ""1"", ""content"": ""无论天涯海角，我都想尽办法找到你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说我丑，""}, {""sex"": ""1"", ""content"": ""你明明是最好看的，哪里丑了。""}, {""sex"": ""1"", ""content"": ""不是丑，只是美的不够明显。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是想打你""}, {""sex"": ""1"", ""content"": ""打吧，我还能让你不打吗！""}, {""sex"": ""1"", ""content"": ""老公有时候就是要被老婆打的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""够了不""}, {""sex"": ""1"", ""content"": ""不够，你给的永远我都不嫌多。""}, {""sex"": ""1"", ""content"": ""我可不是这么容易满足的人，再来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道是不是""}, {""sex"": ""1"", ""content"": ""是不是都不影响我喜欢你。""}, {""sex"": ""1"", ""content"": ""别再想无关紧要的事情了，你要多想想我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦是么""}, {""sex"": ""1"", ""content"": ""是与不是你亲自来看看不就知道了。""}, {""sex"": ""1"", ""content"": ""是啊，我看起来像是说不是的人吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也是咯""}, {""sex"": ""1"", ""content"": ""怎么感觉你满不在乎的样子""}, {""sex"": ""1"", ""content"": ""难道还有不是的嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""万一是呢""}, {""sex"": ""1"", ""content"": ""不是万一，是一定，你就是我命中注定的那个人。""}, {""sex"": ""1"", ""content"": ""不管怎样，你都会是我的女朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是男的。""}, {""sex"": ""1"", ""content"": ""我信你个鬼！""}, {""sex"": ""1"", ""content"": ""没见过哪个男的这么好看。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""才艺""}, {""sex"": ""1"", ""content"": ""小仙女肯定是多才多艺呀""}, {""sex"": ""1"", ""content"": ""想看你展示才艺，可以嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真会泡妞""}, {""sex"": ""1"", ""content"": ""你又不是方便面，我为什么要泡你？""}, {""sex"": ""1"", ""content"": ""我可不是想泡你，我是想娶你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不喜欢吃泡面""}, {""sex"": ""1"", ""content"": ""吃泡面不健康，不喜欢吃也好。""}, {""sex"": ""1"", ""content"": ""不喜欢吃泡面的女孩厨艺是不是很好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊些什么呢""}, {""sex"": ""1"", ""content"": ""聊些你喜欢的就好了。""}, {""sex"": ""1"", ""content"": ""聊什么啊，撩你就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""感觉你很可爱怎么办""}, {""sex"": ""1"", ""content"": ""还能怎么办，抱我弄回家就好啦。""}, {""sex"": ""1"", ""content"": ""那是你的感觉，其实我是真的可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么东东？""}, {""sex"": ""1"", ""content"": ""你是什么绝世小可爱呀？""}, {""sex"": ""1"", ""content"": ""是我的心呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么滴？""}, {""sex"": ""1"", ""content"": ""这位妹妹，你很拽哦。""}, {""sex"": ""1"", ""content"": ""没怎么滴，就是看上你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这么厉害啊""}, {""sex"": ""1"", ""content"": ""你才知道自己这么厉害呀。""}, {""sex"": ""1"", ""content"": ""我喜欢的人当然厉害了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""撩出感情怎么办""}, {""sex"": ""1"", ""content"": ""那就只好谈恋爱了呀""}, {""sex"": ""1"", ""content"": ""还能怎么办，当然是对你负责了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么这么好呢""}, {""sex"": ""1"", ""content"": ""是啊，你太好了我都舍不得让别人看见你""}, {""sex"": ""1"", ""content"": ""你要一直这么好哦，我会一直陪着你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""凭什么听你的""}, {""sex"": ""1"", ""content"": ""不听我的就不听嘛，那我听你的。""}, {""sex"": ""1"", ""content"": ""就凭你是我喜欢的小仙女啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么知道我在笑""}, {""sex"": ""1"", ""content"": ""我的心都要开花了，你说我怎么知道！""}, {""sex"": ""1"", ""content"": ""笑的这么开心，我怎么可能不知道。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在忙什么啊""}, {""sex"": ""1"", ""content"": ""忙着为我们的未来生活努力呢。""}, {""sex"": ""1"", ""content"": ""为了你，忙着赚钱养你啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天忙么""}, {""sex"": ""1"", ""content"": ""忙啊，忙着和你聊天呢。""}, {""sex"": ""1"", ""content"": ""和你聊天的时候就不是很忙。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想什么呢""}, {""sex"": ""1"", ""content"": ""我想的事情该不会跟你想的是一样的吧""}, {""sex"": ""2"", ""content"": ""别扯了，你怎么知道我在想什么""}, {""sex"": ""1"", ""content"": ""那我们数到三一起说出来试试吧？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼""}, {""sex"": ""1"", ""content"": ""我姓相，单名一个公，你叫我老公就好了""}, {""sex"": ""1"", ""content"": ""PS：这个问题如实回答就好了""}, {""sex"": ""1"", ""content"": ""你可以叫我夫君或者叫我小名老公也行""}, {""sex"": ""1"", ""content"": ""称呼都是外物，要不叫我老公 公吧""}, {""sex"": ""1"", ""content"": ""你忘记了我是你的亲爱的吗？""}, {""sex"": ""1"", ""content"": ""称呼不敢当，老公叫一声就好""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那么可爱的吗""}, {""sex"": ""1"", ""content"": ""对啊，就是这么可爱啊。""}, {""sex"": ""1"", ""content"": ""我这么可以应该不多了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你傻笑什么""}, {""sex"": ""1"", ""content"": ""傻傻的看你笑不行吗。""}, {""sex"": ""1"", ""content"": ""想到你了，就笑了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们离得挺近的""}, {""sex"": ""1"", ""content"": ""近水楼台先得月，看来我要好好把握这个机会。""}, {""sex"": ""1"", ""content"": ""离得这么近也是一种缘分，可以找时间出来喝一杯奶茶哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""兔兔这么可爱怎么可以吃兔兔""}, {""sex"": ""1"", ""content"": ""你要是不好好说话我可就要亲你了。""}, {""sex"": ""1"", ""content"": ""可是兔兔没有你可爱啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想怎么说就怎么说吧""}, {""sex"": ""1"", ""content"": ""那我说你是我媳妇儿也行吗？""}, {""sex"": ""1"", ""content"": ""我说从今天开始，我就是你的正牌男友了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没问题""}, {""sex"": ""1"", ""content"": ""之后要是有问题一定要告诉我哦。""}, {""sex"": ""1"", ""content"": ""真的？有问题千万不要藏在心里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早睡早起精神好""}, {""sex"": ""1"", ""content"": ""所以早点睡觉还是比较好的呀。""}, {""sex"": ""1"", ""content"": ""以后都要早睡早起知道吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那有什么用""}, {""sex"": ""1"", ""content"": ""我知道光说是没有用的，所以我会用行动证明的。""}, {""sex"": ""1"", ""content"": ""你要是亲我一下，我能够元气满满一整天，你说有没有用？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好呀，在干嘛呢？""}, {""sex"": ""1"", ""content"": ""在看小仙女什么时候能发现我在想你""}, {""sex"": ""1"", ""content"": ""什么都没干，发呆呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我什么时候说过""}, {""sex"": ""1"", ""content"": ""你大概是提前进入老年痴呆期了，这都不记得。""}, {""sex"": ""1"", ""content"": ""你什么时候说过不重要，我记得就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是什么女神""}, {""sex"": ""1"", ""content"": ""不，你在我心里就是女神。""}, {""sex"": ""1"", ""content"": ""你这还不叫女神，那哪里有女神的存在？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我叫你什么嘞""}, {""sex"": ""1"", ""content"": ""那得看你把我放在什么位置了。""}, {""sex"": ""1"", ""content"": ""老公吧，这叫起来舒服点。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那咋了""}, {""sex"": ""1"", ""content"": ""也没咋的，就是想要是能约你一起吃饭就好了。""}, {""sex"": ""1"", ""content"": ""你让我心动了你说怎么办？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡得晚了""}, {""sex"": ""1"", ""content"": ""看来以后我得监督你早点睡觉。""}, {""sex"": ""1"", ""content"": ""睡晚了会有黑眼圈哦，所以以后都要早点睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要让我输""}, {""sex"": ""1"", ""content"": ""有我在就一定不会让你输""}, {""sex"": ""1"", ""content"": ""你放心，我们在一起永远都不会是你输""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有老婆了""}, {""sex"": ""1"", ""content"": ""你不就是我的老婆吗？""}, {""sex"": ""1"", ""content"": ""哪呢？老天给我掉老婆了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饱了？""}, {""sex"": ""1"", ""content"": ""嗯嗯，吃饱了，你要摸摸我的肚子吗？""}, {""sex"": ""1"", ""content"": ""要是你喂我，我还能多吃一点。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""微信删了""}, {""sex"": ""1"", ""content"": ""不删，删了我去哪里找你啊""}, {""sex"": ""1"", ""content"": ""删微信那是小孩子的行为，我可不会这么幼稚""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""[困][困][困]""}, {""sex"": ""1"", ""content"": ""这么困还不睡，是不是舍不得我。""}, {""sex"": ""1"", ""content"": ""快去睡觉，我们梦里见。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我快睡了""}, {""sex"": ""1"", ""content"": ""你睡着了我就可以去你梦里找你了""}, {""sex"": ""1"", ""content"": ""我可以奢侈地要一个晚安吻吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""名字只是一个""}, {""sex"": ""1"", ""content"": ""让我遇见你的代号罢了。""}, {""sex"": ""1"", ""content"": ""但是你的名字为什么这么好听呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""变污了""}, {""sex"": ""1"", ""content"": ""从此以后你就是我污星人了。""}, {""sex"": ""1"", ""content"": ""没事，我用漂白粉帮你变白。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可能我想多了""}, {""sex"": ""1"", ""content"": ""那就别想了，想太多容易徒增烦恼""}, {""sex"": ""1"", ""content"": ""其他都不要想了，只要多想想我就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想长胖""}, {""sex"": ""1"", ""content"": ""怕什么，不管你什么样子我都喜欢！""}, {""sex"": ""1"", ""content"": ""胖胖的多可爱呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我又长胖了""}, {""sex"": ""1"", ""content"": ""我妈说，胖点的女生好养""}, {""sex"": ""1"", ""content"": ""别怕，至少你的感觉是对的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太晚""}, {""sex"": ""1"", ""content"": ""不晚不晚，种一棵树最好的时间是十年前，其次是现在""}, {""sex"": ""1"", ""content"": ""再晚也赶上了，不是吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡得太晚了""}, {""sex"": ""1"", ""content"": ""晚睡对女孩子很不友好，以后还是乖乖早睡好不好？""}, {""sex"": ""1"", ""content"": ""为什么睡那么晚，是不是想我到失眠了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚安，睡觉了""}, {""sex"": ""1"", ""content"": ""晚安，我们到另一个世界见。""}, {""sex"": ""1"", ""content"": ""晚安小仙女，别太想我，会失眠的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""馋不馋""}, {""sex"": ""1"", ""content"": ""你听到我流口水的声音了吗？""}, {""sex"": ""1"", ""content"": ""太残忍了，竟然让我忍受这种吃不到的酷刑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喝醉了么？""}, {""sex"": ""1"", ""content"": ""我可以借着酒意倒在你怀里吗？""}, {""sex"": ""1"", ""content"": ""没醉，我清醒着呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我吃药了""}, {""sex"": ""1"", ""content"": ""你要坚持吃药，我们大家都不会放弃你的。""}, {""sex"": ""1"", ""content"": ""药吃了没用，需要你来解我的毒。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不用吃药了""}, {""sex"": ""1"", ""content"": ""不吃药可以吗，你的身体恢复了吗？""}, {""sex"": ""1"", ""content"": ""看来小仙女恢复得很好呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你找到了吗""}, {""sex"": ""1"", ""content"": ""我这不是找到你了啊""}, {""sex"": ""1"", ""content"": ""找到了，在我心里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下雪了吗""}, {""sex"": ""1"", ""content"": ""下啦，要是你在就好了，可以一起看雪堆雪人。""}, {""sex"": ""1"", ""content"": ""雪可能迟到了，或许过几天会下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想看下雪""}, {""sex"": ""1"", ""content"": ""我想看你。""}, {""sex"": ""1"", ""content"": ""我陪你一起去看雪好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我休息啦""}, {""sex"": ""1"", ""content"": ""好好休息，醒来才会有好精神。""}, {""sex"": ""1"", ""content"": ""嗯嗯，那就先不打扰小仙女休息了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不出去了吧""}, {""sex"": ""1"", ""content"": ""不出去了，已经开始变懒了。""}, {""sex"": ""1"", ""content"": ""都是懒虫为啥还要出门呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们吃完了""}, {""sex"": ""1"", ""content"": ""这么快就吃完了，都不给我留一点哦""}, {""sex"": ""1"", ""content"": ""吃完了就可以来跟我约会啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太热啦""}, {""sex"": ""1"", ""content"": ""那你悄悄把衣服脱了，我假装不知道。""}, {""sex"": ""1"", ""content"": ""一定是我对你的爱太炙热了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""无聊了吧""}, {""sex"": ""1"", ""content"": ""有时候挺无聊的呀。""}, {""sex"": ""1"", ""content"": ""无聊的时候最适合和你聊天了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你生病了""}, {""sex"": ""1"", ""content"": ""人总是会生病的，不可能不生病呀。""}, {""sex"": ""1"", ""content"": ""那你要不要来照顾我呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一脚踢你""}, {""sex"": ""1"", ""content"": ""天天想踢我！天真。""}, {""sex"": ""1"", ""content"": ""你当你是佛山无影脚啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""自己一个人住""}, {""sex"": ""1"", ""content"": ""女孩子一个人住一定要好好照顾自己。""}, {""sex"": ""1"", ""content"": ""一个人住会不会觉得很孤单？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天双十一""}, {""sex"": ""1"", ""content"": ""准备好剁手吃土了没！""}, {""sex"": ""1"", ""content"": ""我的钱包已经在哭泣了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在一起""}, {""sex"": ""1"", ""content"": ""我真的是好命啊。""}, {""sex"": ""2"", ""content"": ""嗯？""}, {""sex"": ""1"", ""content"": ""能和仙女在一起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""能不能认识一下""}, {""sex"": ""1"", ""content"": ""能跟小仙女认识一下是我的荣幸。""}, {""sex"": ""1"", ""content"": ""当然，荣幸之至。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我认识你?""}, {""sex"": ""1"", ""content"": ""你把问号去掉，我们好好认识一下""}, {""sex"": ""1"", ""content"": ""等我自报家门，你不就认识我了吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你会心疼我？""}, {""sex"": ""1"", ""content"": ""心都在你身上不心疼你心疼谁？""}, {""sex"": ""1"", ""content"": ""你这话问得我很伤心""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""先睡一觉""}, {""sex"": ""1"", ""content"": ""那你快去睡吧，一会我叫你起来。""}, {""sex"": ""1"", ""content"": ""小懒猪，可别一觉睡到天黑了哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就睡觉""}, {""sex"": ""1"", ""content"": ""睡吧，一定要好好睡觉知道不""}, {""sex"": ""1"", ""content"": ""睡个屁啊，起来嗨啊！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你该睡觉啦""}, {""sex"": ""1"", ""content"": ""遵命，我这就乖乖去睡觉。""}, {""sex"": ""1"", ""content"": ""那我们一起睡觉呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么天""}, {""sex"": ""1"", ""content"": ""跟你在一起的每一天""}, {""sex"": ""1"", ""content"": ""什么天都好，只要有你就是晴天""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好男人""}, {""sex"": ""1"", ""content"": ""好男人就是我，我就是好男人。""}, {""sex"": ""1"", ""content"": ""没错，你就是在说我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""当个人好难""}, {""sex"": ""1"", ""content"": ""那你去当个猪吧，嘻嘻。""}, {""sex"": ""1"", ""content"": ""做我的人肯定会比较轻松。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""美好的""}, {""sex"": ""1"", ""content"": ""我觉得你就是最美好的""}, {""sex"": ""1"", ""content"": ""让我们一起奔向美好的未来吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那不太可能""}, {""sex"": ""1"", ""content"": ""这也不一定，说不定到时候情况有所变动呢。""}, {""sex"": ""1"", ""content"": ""只是不太可能，并不是不可能嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃顿好的""}, {""sex"": ""1"", ""content"": ""那你得请我吃一顿大餐。""}, {""sex"": ""1"", ""content"": ""想吃什么好的，我带你去。""}], ""lock"": 1}"
