"{""chat"": [{""sex"": ""2"", ""content"": ""我觉得我好像在哪见过你""}, {""sex"": ""1"", ""content"": ""真奇怪，我也有这种感觉，莫非你就是我的百分百女孩""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也好好的""}, {""sex"": ""1"", ""content"": ""没娶你之前我都会好好的。""}, {""sex"": ""1"", ""content"": ""放心吧我会好好的，你只管照顾好自己就行了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""[睡]""}, {""sex"": ""1"", ""content"": ""要是你能睡在我身边就好了。""}, {""sex"": ""1"", ""content"": ""睡吧睡吧，睡醒又是元气满满的小仙女了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看电视呗""}, {""sex"": ""1"", ""content"": ""电视有什么好看的，我们一起去看电影吧。""}, {""sex"": ""1"", ""content"": ""看来电视比我好看的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""约不到你""}, {""sex"": ""1"", ""content"": ""可以啊，你现在约肯定约得到""}, {""sex"": ""1"", ""content"": ""看来我要清一清我的行程了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不约不约""}, {""sex"": ""1"", ""content"": ""不约吗？那我晚点再问一次""}, {""sex"": ""1"", ""content"": ""你说错了，我要的是一个字的回答""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""滚滚滚""}, {""sex"": ""1"", ""content"": ""你快抱紧我。""}, {""sex"": ""2"", ""content"": ""抱你干嘛？""}, {""sex"": ""1"", ""content"": ""这样才滚得起来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不请你吃饭""}, {""sex"": ""1"", ""content"": ""真拿你没办法，那我请你吃饭好了。""}, {""sex"": ""1"", ""content"": ""不请吃饭也行，请我谈个恋爱就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""夸了夸我""}, {""sex"": ""1"", ""content"": ""你还需要夸吗？你本来就是这么好。""}, {""sex"": ""1"", ""content"": ""你优点这么多，夸到明天能夸完吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你心里的啊""}, {""sex"": ""1"", ""content"": ""我心里的不就是你吗。""}, {""sex"": ""1"", ""content"": ""我心里都是你，你说你自己？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你喜欢我""}, {""sex"": ""1"", ""content"": ""我喜欢你喜欢得这么明显你没看出来吗？""}, {""sex"": ""1"", ""content"": ""傻瓜，我一直都在喜欢你啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也不是美女""}, {""sex"": ""1"", ""content"": ""不是美女也能把我迷的不要不要的。""}, {""sex"": ""1"", ""content"": ""要是美女不就得没我的分啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜我想不想""}, {""sex"": ""1"", ""content"": ""那我肯定是猜你特别想我呀。""}, {""sex"": ""1"", ""content"": ""肯定想了，但是你不好意思直接告诉我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你打你""}, {""sex"": ""1"", ""content"": ""知道你是刀子嘴豆腐心，嘴上说打我但舍不得打我。""}, {""sex"": ""2"", ""content"": ""我舍得。""}, {""sex"": ""1"", ""content"": ""那你要是把我打出问题了可是要负责的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你打我啊！""}, {""sex"": ""1"", ""content"": ""我要是不傻肯定不打你!""}, {""sex"": ""1"", ""content"": ""打是亲，你是亲亲我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你打扰我""}, {""sex"": ""1"", ""content"": ""打扰你实在是不好意思，但我还要继续打扰你。""}, {""sex"": ""1"", ""content"": ""你要是介意，你来打扰我也行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你我心疼""}, {""sex"": ""1"", ""content"": ""你才知道啊！我以为你真的要打我呢。""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱，打我吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想打你个""}, {""sex"": ""1"", ""content"": ""打是亲！使劲打！！""}, {""sex"": ""1"", ""content"": ""家暴啦，老婆打老公啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""理想很丰满""}, {""sex"": ""1"", ""content"": ""现实总是很骨感。""}, {""sex"": ""1"", ""content"": ""那就让梦想照进现实吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是不要""}, {""sex"": ""1"", ""content"": ""不要不能不可以，这就是你单身这么久的原因！""}, {""sex"": ""1"", ""content"": ""不要就不要嘛，我不会强迫你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你就是""}, {""sex"": ""1"", ""content"": ""对对对，我就是你男朋友。""}, {""sex"": ""1"", ""content"": ""看来我拿到了仙女官方认可了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是委屈""}, {""sex"": ""1"", ""content"": ""委屈得小脸都皱起来了是不是？快让我抱抱。""}, {""sex"": ""1"", ""content"": ""委屈的话就到我怀里来大哭一场吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你又是谁啊""}, {""sex"": ""1"", ""content"": ""我是谁不重要，重要的是我将会成为谁的谁。""}, {""sex"": ""1"", ""content"": ""我是上帝派来喜欢你的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你自己说吧""}, {""sex"": ""1"", ""content"": ""我说什么啊，说喜欢你吗？""}, {""sex"": ""1"", ""content"": ""我自己说就没意思了，还是你猜吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是耶""}, {""sex"": ""1"", ""content"": ""我竟然猜错了，那你是什么呀？""}, {""sex"": ""1"", ""content"": ""不是吗？你就是小仙女呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是哪的呢""}, {""sex"": ""1"", ""content"": ""我是你心里的！""}, {""sex"": ""1"", ""content"": ""你说我是哪里，我就在哪里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""挣大钱""}, {""sex"": ""1"", ""content"": ""赚钱是我们目前的唯一目标！""}, {""sex"": ""1"", ""content"": ""挣了大钱就可以花钱了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是我吗""}, {""sex"": ""1"", ""content"": ""不用怀疑，就是你。""}, {""sex"": ""1"", ""content"": ""是你呀，有没有觉得很惊喜很意外？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""会是我吗""}, {""sex"": ""1"", ""content"": ""不用怀疑，就是你了。""}, {""sex"": ""1"", ""content"": ""傻瓜，不是你还有谁呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不生气不生气""}, {""sex"": ""1"", ""content"": ""生气容易变丑，当然不能生气""}, {""sex"": ""1"", ""content"": ""不生气的小仙女才是小仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不是不理我吗""}, {""sex"": ""1"", ""content"": ""我怎么可以不理我的小仙女呢。""}, {""sex"": ""1"", ""content"": ""你看我的样子像是不理你的人吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真的。""}, {""sex"": ""1"", ""content"": ""我说我喜欢你，也是真的。""}, {""sex"": ""1"", ""content"": ""你说是真的就是真的，我无条件相信你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干嘛咯""}, {""sex"": ""1"", ""content"": ""呼吸，还有想你。""}, {""sex"": ""1"", ""content"": ""除了喜欢你我还能干嘛咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就让你泡不到""}, {""sex"": ""1"", ""content"": ""我连奥利奥都能泡，还不能泡你？""}, {""sex"": ""1"", ""content"": ""只要有心，我就能泡到。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是你小可爱""}, {""sex"": ""1"", ""content"": ""那我就是你的大可爱咯。""}, {""sex"": ""1"", ""content"": ""那我要好好把你藏起来保管！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那聊什么呢？""}, {""sex"": ""1"", ""content"": ""喜欢聊什么就去聊什么咯。""}, {""sex"": ""1"", ""content"": ""那得看你想听我说些什么啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么啊""}, {""sex"": ""1"", ""content"": ""我有好多要跟你聊的""}, {""sex"": ""2"", ""content"": ""那就聊啊""}, {""sex"": ""1"", ""content"": ""可是我不知道应该先聊哪一个""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么可爱呀""}, {""sex"": ""1"", ""content"": ""我更希望你用帅气、英俊形容我哦。""}, {""sex"": ""1"", ""content"": ""可爱不是我的过人之处，可爱你是。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有这么可爱吗""}, {""sex"": ""1"", ""content"": ""就是有这么可爱呀。""}, {""sex"": ""1"", ""content"": ""你难道没有那么可爱吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么就可爱了""}, {""sex"": ""1"", ""content"": ""你哪不可爱了吗？""}, {""sex"": ""1"", ""content"": ""反正我就觉得你可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么肥四""}, {""sex"": ""1"", ""content"": ""怎么这么可爱？""}, {""sex"": ""1"", ""content"": ""对啊，怎么肥四，为什么我会这么喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我那么笨""}, {""sex"": ""1"", ""content"": ""你要是笨蛋，其他人都是比笨蛋还笨""}, {""sex"": ""1"", ""content"": ""没事，我聪明就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么想聊的""}, {""sex"": ""1"", ""content"": ""你就没有什么特别的话想对我说吗？""}, {""sex"": ""1"", ""content"": ""我有好多话想跟你聊呢，就是一时之间不知从何说起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""带我吃什么""}, {""sex"": ""1"", ""content"": ""当然吃一些好吃的啦。""}, {""sex"": ""1"", ""content"": ""那得看你想吃什么啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我该怎么回呢""}, {""sex"": ""1"", ""content"": ""那得看你想要怎么回复啦。""}, {""sex"": ""1"", ""content"": ""你这种仙女还需要回复嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么不回我了呢？""}, {""sex"": ""1"", ""content"": ""想你想的有点出神，忘记回复了。""}, {""sex"": ""1"", ""content"": ""这不是在考虑怎么说喜欢你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最近忙什么呢？""}, {""sex"": ""1"", ""content"": ""忙着为我们的将来所努力。""}, {""sex"": ""1"", ""content"": ""忙着赚钱，忙着想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想怎么样？""}, {""sex"": ""1"", ""content"": ""不想怎么样，就想喜欢你。""}, {""sex"": ""1"", ""content"": ""想看你穿一次婚纱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么打招呼""}, {""sex"": ""1"", ""content"": ""仙女，听到请回话！""}, {""sex"": ""2"", ""content"": ""怎么了？""}, {""sex"": ""1"", ""content"": ""你刚才不小心撩动我的凡心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚还不睡吗""}, {""sex"": ""1"", ""content"": ""睡不着，你老在我脑海里跑来跑去的。""}, {""sex"": ""1"", ""content"": ""想你想得有点失眠。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么好奇""}, {""sex"": ""1"", ""content"": ""好奇是人类的天性""}, {""sex"": ""1"", ""content"": ""其实我不是个好奇心重的人，但是就是对你十分好奇""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早早早早早早早""}, {""sex"": ""1"", ""content"": ""你这一串早都把我叫精神了""}, {""sex"": ""1"", ""content"": ""早呀，这么有活力看来昨晚睡得不错哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""蛮巧""}, {""sex"": ""1"", ""content"": ""看来这都是缘分啊。""}, {""sex"": ""1"", ""content"": ""我们之间就是这么的有巧合呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么说嘞""}, {""sex"": ""1"", ""content"": ""爱咋说就咋说，我认真听""}, {""sex"": ""1"", ""content"": ""你啥都不要说，就听我说。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么会说""}, {""sex"": ""1"", ""content"": ""你心里想的自然就说出来了""}, {""sex"": ""1"", ""content"": ""那你想说的就说出来吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道怎么说""}, {""sex"": ""1"", ""content"": ""没事你慢慢想，不着急。""}, {""sex"": ""2"", ""content"": ""嗯……""}, {""sex"": ""1"", ""content"": ""其实在我面前不用顾虑那么多，想说什么就说什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你懂这么多""}, {""sex"": ""1"", ""content"": ""我要照顾你，肯定得懂得比较多。""}, {""sex"": ""1"", ""content"": ""可能经历的多了吧，所以懂得也多了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是嘴甜""}, {""sex"": ""1"", ""content"": ""那你喜不喜欢我嘴甜吧。""}, {""sex"": ""1"", ""content"": ""对你的时候就是这么嘴甜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我喝爽歪歪""}, {""sex"": ""1"", ""content"": ""我喝哇哈哈！""}, {""sex"": ""1"", ""content"": ""居然在喝爽歪歪，看来真的还小。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想问什么问题呢""}, {""sex"": ""1"", ""content"": ""我的问题太多了，需要你用一辈子回答。""}, {""sex"": ""1"", ""content"": ""我想问问你现在缺不缺男朋友呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还想干什么""}, {""sex"": ""1"", ""content"": ""赚钱，然后把你娶回家。""}, {""sex"": ""1"", ""content"": ""不想干嘛，只想好好的待在你身边。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在不忙？""}, {""sex"": ""1"", ""content"": ""不忙不忙，你可以尽情骚扰我""}, {""sex"": ""1"", ""content"": ""在你面前我什么时候忙过了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在忙没""}, {""sex"": ""1"", ""content"": ""忙完啦，你不用担心会打扰到我。""}, {""sex"": ""1"", ""content"": ""是啊，在忙着想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你干嘛呢""}, {""sex"": ""1"", ""content"": ""没干嘛，就是想看看这么好看的你。""}, {""sex"": ""1"", ""content"": ""我还能干嘛，当然是陪着你啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想什么时候""}, {""sex"": ""1"", ""content"": ""你什么时候有空，我就什么时候出现。""}, {""sex"": ""1"", ""content"": ""你希望是什么时候呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你叫啥""}, {""sex"": ""1"", ""content"": ""名字什么的都是代号，叫我老公就好。""}, {""sex"": ""1"", ""content"": ""那你得需要我来叫你什么咯。什么宝贝甜心 宝宝呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啥都不了解""}, {""sex"": ""1"", ""content"": ""所以这不是想过来了解了解嘛！""}, {""sex"": ""1"", ""content"": ""你希望我怎么去了解你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真服了你了""}, {""sex"": ""1"", ""content"": ""必须让你对我服气啊。""}, {""sex"": ""1"", ""content"": ""我厉害也不是一天两天的事了，你不服我不行啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""再这样直接删了""}, {""sex"": ""1"", ""content"": ""好好好我错了，我不这样了不要删了我。""}, {""sex"": ""1"", ""content"": ""别冲动别冲动，删人可不是什么理智的行为。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我准备起床了""}, {""sex"": ""1"", ""content"": ""你再不起床就要成小猪猪了。""}, {""sex"": ""1"", ""content"": ""你这种起床困难户终于起床了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我现在起床了""}, {""sex"": ""1"", ""content"": ""小懒猪，竟然睡到现在才起床。""}, {""sex"": ""1"", ""content"": ""起床了该吃饭啦，我都听到你的肚子在反抗了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""网图吧""}, {""sex"": ""1"", ""content"": ""我像是那种会拿网图骗你的人吗？""}, {""sex"": ""1"", ""content"": ""是不是觉得我帅得像网图，看来你这是对我的另一种赞许啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我舍不得""}, {""sex"": ""1"", ""content"": ""舍不得就不要舍弃啊""}, {""sex"": ""1"", ""content"": ""既然舍不得那就留下吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝醉了吧！兄弟""}, {""sex"": ""1"", ""content"": ""喝醉了才能有勇气说出这些话啊。""}, {""sex"": ""1"", ""content"": ""我像是喝醉了就胡乱说话的人吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一人饮酒醉""}, {""sex"": ""1"", ""content"": ""醉把佳人成双对。""}, {""sex"": ""1"", ""content"": ""一个人的时候别喝酒，你喝醉了我没办法照顾你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你……你赢了……""}, {""sex"": ""1"", ""content"": ""罚你和我一起去看电影。""}, {""sex"": ""1"", ""content"": ""输了就来当我俘虏吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醒了没有""}, {""sex"": ""1"", ""content"": ""梦里有你睡不醒了。""}, {""sex"": ""1"", ""content"": ""你醒了我就醒了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我快吐了""}, {""sex"": ""1"", ""content"": ""难道是孕吐？""}, {""sex"": ""1"", ""content"": ""以后我会在车里常备晕车药的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想了美""}, {""sex"": ""1"", ""content"": ""你都这么美，我再不想美还能咋样。""}, {""sex"": ""1"", ""content"": ""再不想美点，我怕我就是咸鱼了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起了吖""}, {""sex"": ""1"", ""content"": ""果然长得好看的人都起得很早呢""}, {""sex"": ""1"", ""content"": ""小仙女起得好早呀，我要向你学习学习""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喝酒了吗？""}, {""sex"": ""1"", ""content"": ""不喝酒怎么和你说那么多呢。""}, {""sex"": ""1"", ""content"": ""没喝啊，怎么你想和我喝吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝酒不好""}, {""sex"": ""1"", ""content"": ""那些不喝酒的貌似死的比较早。""}, {""sex"": ""1"", ""content"": ""反正喝开心就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不聊了""}, {""sex"": ""1"", ""content"": ""再聊下，我怕我自己控制不住了。""}, {""sex"": ""1"", ""content"": ""聊出感情，我负责！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又不聊天""}, {""sex"": ""1"", ""content"": ""怎么不聊天，你一句我一句不就聊起来了嘛。""}, {""sex"": ""1"", ""content"": ""不聊天你想干嘛呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真的气死了""}, {""sex"": ""1"", ""content"": ""不要生气，等会儿气坏了咋办呢""}, {""sex"": ""1"", ""content"": ""你生气的样子还有点小可爱呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""见过一次""}, {""sex"": ""1"", ""content"": ""只见过一次岂不是没什么印象了。""}, {""sex"": ""1"", ""content"": ""有机会可以见第二次第三次……""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还要亲亲""}, {""sex"": ""1"", ""content"": ""一个不够，我要两个！""}, {""sex"": ""1"", ""content"": ""只是亲亲这么简单嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请赐我一双翅膀""}, {""sex"": ""1"", ""content"": ""我无法赐你一双翅膀，但我能给你一个肩膀。""}, {""sex"": ""1"", ""content"": ""你想插上翅膀飞到哪去？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""新郎""}, {""sex"": ""1"", ""content"": ""希望未来能有一天你能为我穿上婚纱。""}, {""sex"": ""1"", ""content"": ""我会让你做最最幸福的新娘。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识一下可以吗""}, {""sex"": ""1"", ""content"": ""我难道还能说不可以吗？""}, {""sex"": ""1"", ""content"": ""能相遇必定是有缘分，认识一下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识下""}, {""sex"": ""1"", ""content"": ""我们不是早就认识了吗，在上辈子""}, {""sex"": ""1"", ""content"": ""好啊，可爱的小仙女""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""重新认识下""}, {""sex"": ""1"", ""content"": ""重新认识是不是应该来一个隆重的介绍？""}, {""sex"": ""1"", ""content"": ""即使是重新认识，我对你的喜欢也不会归零。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又不认识""}, {""sex"": ""1"", ""content"": ""现在来认识一下也不晚。""}, {""sex"": ""1"", ""content"": ""人与人之间就是要多交流才会认识啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你只会心疼我""}, {""sex"": ""1"", ""content"": ""我的心就这么大，就只能心疼你了。""}, {""sex"": ""1"", ""content"": ""你是我喜欢的人，我不心疼你还能心疼谁啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你今天是不是睡了一天呀？""}, {""sex"": ""1"", ""content"": ""你当我是猪啊，还能睡一天啊。""}, {""sex"": ""1"", ""content"": ""我在梦里和你玩了一天呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一天吃一餐""}, {""sex"": ""1"", ""content"": ""剩下的两餐呢，你捐给慈善机构了吗？""}, {""sex"": ""1"", ""content"": ""一天就吃一餐怎么行，你这是要瘦成排骨啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一天吃一顿饭""}, {""sex"": ""1"", ""content"": ""你就是这么欺负自己的嘛？""}, {""sex"": ""1"", ""content"": ""我绝对不会允许我家宝贝只吃这么一点的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""买饭吃""}, {""sex"": ""1"", ""content"": ""人是铁饭是钢，一顿不吃饿得慌。""}, {""sex"": ""1"", ""content"": ""饭有啥好吃的，还不如吃你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""外面太晒了""}, {""sex"": ""1"", ""content"": ""把太阳伞带上，千万别被晒黑了哦。""}, {""sex"": ""1"", ""content"": ""还是待在家里吹空调舒服吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢的类型""}, {""sex"": ""1"", ""content"": ""很巧，你就是我喜欢的类型""}, {""sex"": ""1"", ""content"": ""我喜欢可爱一点温柔一点的女孩子，最好是长头发的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我25岁了""}, {""sex"": ""1"", ""content"": ""是时候找个好男人托付终身了。""}, {""sex"": ""1"", ""content"": ""25岁可是一个女孩子最美的年纪了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""送我礼物干嘛""}, {""sex"": ""1"", ""content"": ""不知道，就是想送你礼物。""}, {""sex"": ""1"", ""content"": ""难道我送你礼物还需要理由了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在才发现""}, {""sex"": ""1"", ""content"": ""现在发现我的优点还不算太晚。""}, {""sex"": ""1"", ""content"": ""现在发现总比以后发现来的好。""}], ""lock"": 1}"
