"{""chat"": [{""sex"": ""2"", ""content"": ""你干嘛呢？""}, {""sex"": ""1"", ""content"": ""在和说干嘛的人聊天呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你也在等人么？?""}, {""sex"": ""1"", ""content"": ""我也在等我的朋友，他过几分钟就过来了。不知怎么的，我觉得很想认识你，刚才就忍不住过来和你说话了……""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你好像我的一个朋友""}, {""sex"": ""2"", ""content"": ""你咋那么老套？""}, {""sex"": ""1"", ""content"": ""这说明我撩妹技术不太高，没人实验啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗨 你好""}, {""sex"": ""1"", ""content"": ""你好呀，小仙女。""}, {""sex"": ""1"", ""content"": ""你好你好，被美女搭讪了，好开心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好你好小哥哥""}, {""sex"": ""1"", ""content"": ""小姐姐你也好，我们一起好！""}, {""sex"": ""1"", ""content"": ""我很好，小仙女能跟我打招呼我要开心死了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好(^_^)／""}, {""sex"": ""1"", ""content"": ""有你的问候才是真的好呢""}, {""sex"": ""1"", ""content"": ""你好呀，么么哒""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想打我""}, {""sex"": ""1"", ""content"": ""又不是打怪升级，我才不打呢""}, {""sex"": ""1"", ""content"": ""我看我的样子像是舍得打你的人？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有没有""}, {""sex"": ""1"", ""content"": ""我有没有，你过来试试不就知道了。""}, {""sex"": ""1"", ""content"": ""我有没有你心里还不知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""乱走""}, {""sex"": ""1"", ""content"": ""你可别走迷路了呀""}, {""sex"": ""1"", ""content"": ""走着走着，你就走进了我的心里""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你快走吧""}, {""sex"": ""1"", ""content"": ""你这样赶我走，我会很伤心的。""}, {""sex"": ""1"", ""content"": ""你对我有引力，我走不开的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""给你看看""}, {""sex"": ""1"", ""content"": ""那我要擦亮眼睛认真看看了""}, {""sex"": ""1"", ""content"": ""我看了是不是会挪不开眼""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在家追剧""}, {""sex"": ""1"", ""content"": ""那你啥时候追追我呢！""}, {""sex"": ""1"", ""content"": ""难道追我不必追剧好玩吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你等下""}, {""sex"": ""1"", ""content"": ""等你来爱我如何？""}, {""sex"": ""1"", ""content"": ""你让我等，我可是要收取利息的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是你说的吗""}, {""sex"": ""1"", ""content"": ""我什么时候说的，这绝对是冤枉！""}, {""sex"": ""1"", ""content"": ""那我说你是我女朋友，你认吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""相信你啊""}, {""sex"": ""1"", ""content"": ""相信我准没错，我不会让你失望的。""}, {""sex"": ""1"", ""content"": ""被别人相信不稀奇，被你相信我很开心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你行吗""}, {""sex"": ""1"", ""content"": ""男人是不可以说不行的知道吗！""}, {""sex"": ""1"", ""content"": ""你试试不就知道行还是不行了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想要吗""}, {""sex"": ""1"", ""content"": ""你，我想要的。""}, {""sex"": ""1"", ""content"": ""我说要，你会给我吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别娶我就成""}, {""sex"": ""1"", ""content"": ""那你嫁给我！""}, {""sex"": ""1"", ""content"": ""你娶我怎么样？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又不娶我""}, {""sex"": ""1"", ""content"": ""难道你就不能嫁给我吗？""}, {""sex"": ""1"", ""content"": ""你懂不懂什么叫做生米煮成熟饭。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你做梦呢？""}, {""sex"": ""1"", ""content"": ""做有关你的美梦呢！""}, {""sex"": ""1"", ""content"": ""有时候梦也会成真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好，在干嘛呢""}, {""sex"": ""1"", ""content"": ""一看到小仙女，就感觉整个人身心舒畅""}, {""sex"": ""1"", ""content"": ""在等你找我呢，你呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡觉呀""}, {""sex"": ""1"", ""content"": ""睡醒了呀，睡觉时间也不可以太长了""}, {""sex"": ""1"", ""content"": ""那你跟我一起睡""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你睡觉""}, {""sex"": ""1"", ""content"": ""不睡了，再睡下去我怕你人跑了。""}, {""sex"": ""1"", ""content"": ""没有你的晚安，我要怎么入睡呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你陪陪我""}, {""sex"": ""1"", ""content"": ""好，我会一直陪在你身边的。""}, {""sex"": ""1"", ""content"": ""真想穿过屏幕抱抱你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我陪你呀""}, {""sex"": ""1"", ""content"": ""小仙女愿意陪我实在是太好了。""}, {""sex"": ""1"", ""content"": ""谢谢你陪我，你愿意一直陪着我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有人陪你""}, {""sex"": ""1"", ""content"": ""但是我最需要的还是你的陪伴。""}, {""sex"": ""1"", ""content"": ""那能让我来陪你吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不陪你""}, {""sex"": ""1"", ""content"": ""我陪你啊。""}, {""sex"": ""1"", ""content"": ""那你就跟着我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想接""}, {""sex"": ""1"", ""content"": ""小仙女不想接的话那就不接好了""}, {""sex"": ""1"", ""content"": ""虽然我觉得很伤心，但是我也不会勉强你的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这让我咋接""}, {""sex"": ""1"", ""content"": ""随便接，想怎么接就怎么接。""}, {""sex"": ""1"", ""content"": ""随着自己的心去接就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不敢，不敢""}, {""sex"": ""1"", ""content"": ""我觉得就我目前看到的，没有你不敢的""}, {""sex"": ""1"", ""content"": ""你不敢跟我表白的话，只能我上了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""约你啊""}, {""sex"": ""1"", ""content"": ""这种是事情要男人先开口，约吗""}, {""sex"": ""1"", ""content"": ""约了我然后不准备做点什么吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""失约""}, {""sex"": ""1"", ""content"": ""既然约定好了就不可以失约，既然做不到当初又为何要答应？""}, {""sex"": ""1"", ""content"": ""我向来都是个言而有信的人，失约从不会出现在我的字典里""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怕被你骗""}, {""sex"": ""1"", ""content"": ""傻瓜，我怎么会骗你呢。""}, {""sex"": ""1"", ""content"": ""我骗谁都不敢骗你呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛呢。""}, {""sex"": ""1"", ""content"": ""你想让我干嘛，我就干嘛""}, {""sex"": ""1"", ""content"": ""我在想怎么回复正在和我聊天的美女""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你现在干嘛呢？""}, {""sex"": ""1"", ""content"": ""我在想你再不找我我就去找你了""}, {""sex"": ""1"", ""content"": ""在想你在干嘛呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就想咬你""}, {""sex"": ""1"", ""content"": ""要对着我的嘴巴咬哦。""}, {""sex"": ""1"", ""content"": ""你这是要给我打上你的记号吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都要你请""}, {""sex"": ""1"", ""content"": ""好，反正请的是自家人，不亏。""}, {""sex"": ""1"", ""content"": ""那请完这一顿，你就要答应做我女朋友哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要嫁给你""}, {""sex"": ""1"", ""content"": ""让你享受美好的婚姻生活。""}, {""sex"": ""1"", ""content"": ""嫁给一个靠谱的喜欢的男人，难道不好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就要你夸""}, {""sex"": ""1"", ""content"": ""我不夸，我只说事实！""}, {""sex"": ""1"", ""content"": ""夸你只是我的日常操作。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你撩我也撩""}, {""sex"": ""1"", ""content"": ""来啊，看看谁先撩动谁。""}, {""sex"": ""1"", ""content"": ""我撩你很难，你撩我只需一句“在吗”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你撩吧""}, {""sex"": ""1"", ""content"": ""撩动了心怎么办？""}, {""sex"": ""1"", ""content"": ""撩你只需一句“在吗”？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要怎么撩""}, {""sex"": ""1"", ""content"": ""我很好撩的，你随便试一下可能就被你撩到手了。""}, {""sex"": ""1"", ""content"": ""我想撩你头发，撩你小裙子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好你好呀~\t""}, {""sex"": ""1"", ""content"": ""哎呀，小可爱终于找上我了""}, {""sex"": ""1"", ""content"": ""成功吸引到仙女跟我打招呼！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""身高一米五""}, {""sex"": ""1"", ""content"": ""我们整个最萌身高差好了。""}, {""sex"": ""1"", ""content"": ""没事，我长得高。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我爱""}, {""sex"": ""1"", ""content"": ""我就知道你心里是爱着我的。""}, {""sex"": ""1"", ""content"": ""爱屋及乌，你爱的东西我也会爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你会烦的""}, {""sex"": ""1"", ""content"": ""不会的，我有很多很多耐心。""}, {""sex"": ""1"", ""content"": ""别人的话我可能会烦，但是你就怎么样也不会烦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想被打""}, {""sex"": ""1"", ""content"": ""你是不是傻，哪有人想要被打的啊。""}, {""sex"": ""1"", ""content"": ""就算你想被打我也不会打你的，我不忍心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你居然想打我""}, {""sex"": ""1"", ""content"": ""哪敢啊，你让我打我都不敢。""}, {""sex"": ""1"", ""content"": ""我可舍不得打你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""够甜""}, {""sex"": ""1"", ""content"": ""你笑起来的时候当然是够甜啦。""}, {""sex"": ""1"", ""content"": ""你都还没尝过咋知道够甜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也很想你""}, {""sex"": ""1"", ""content"": ""都怪我，你想我的时候却不能出现在你面前。""}, {""sex"": ""1"", ""content"": ""什么时候我们才能不被思念折磨呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有病吧！""}, {""sex"": ""1"", ""content"": ""是啊，得了不想你就会痛的病！""}, {""sex"": ""1"", ""content"": ""你有药啊！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""祸害别人""}, {""sex"": ""1"", ""content"": ""你别祸害别人了，你祸害我就够了。""}, {""sex"": ""1"", ""content"": ""我叫“别人”，来吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是我""}, {""sex"": ""1"", ""content"": ""我就知道你是最漂亮的那一个。""}, {""sex"": ""1"", ""content"": ""这一定是上天的旨意，指引我找到了你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那是那是""}, {""sex"": ""1"", ""content"": ""那也不看看，你可是本大爷的谁。""}, {""sex"": ""1"", ""content"": ""世上无难事只怕有心人不是吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那是什么呀""}, {""sex"": ""1"", ""content"": ""是全心全意爱你的心呀。""}, {""sex"": ""1"", ""content"": ""亲我一下，我就偷偷告诉你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是干嘛的呀？""}, {""sex"": ""1"", ""content"": ""我是来做你老公的呀。""}, {""sex"": ""1"", ""content"": ""等着你给我派职呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是什么意思呀""}, {""sex"": ""1"", ""content"": ""动一动你的小脑瓜想想看呀。""}, {""sex"": ""1"", ""content"": ""这意思呢，就是要你做我女朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""责任是什么""}, {""sex"": ""1"", ""content"": ""我对你负责，你就知道是什么了。""}, {""sex"": ""1"", ""content"": ""责任就是我对你的喜欢一旦开始了就要负责到底。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是吗""}, {""sex"": ""1"", ""content"": ""难道不是吗。""}, {""sex"": ""1"", ""content"": ""是不是，你来我心里就知道了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是谁哎""}, {""sex"": ""1"", ""content"": ""我是你未来老公啊""}, {""sex"": ""1"", ""content"": ""我是谁不重要，你是谁比较重要""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困不困呀""}, {""sex"": ""1"", ""content"": ""之前困，和你一聊天就不困了。""}, {""sex"": ""1"", ""content"": ""不困啊，我脑子还在想你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得的呢""}, {""sex"": ""1"", ""content"": ""我觉得还是你觉得吧。""}, {""sex"": ""1"", ""content"": ""我觉得我肯定是喜欢你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别发疯了""}, {""sex"": ""1"", ""content"": ""我没发疯，说的都是真心话。""}, {""sex"": ""1"", ""content"": ""可是我已经想你想到发疯了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""疯狂""}, {""sex"": ""1"", ""content"": ""遇到你，我就变得疯狂了""}, {""sex"": ""1"", ""content"": ""趁着还年轻，多做些疯狂的事""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说啥就是啥咯""}, {""sex"": ""1"", ""content"": ""我说你是我的，就是我的。""}, {""sex"": ""1"", ""content"": ""我说喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈哈是嘛""}, {""sex"": ""1"", ""content"": ""可不是嘛，我也觉得很神奇。""}, {""sex"": ""1"", ""content"": ""跟你聊天总能觉得很开心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没干嘛？""}, {""sex"": ""1"", ""content"": ""我除了想你还能干嘛。""}, {""sex"": ""1"", ""content"": ""你还想干嘛呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我不是""}, {""sex"": ""1"", ""content"": ""现在否定可就晚了哦""}, {""sex"": ""1"", ""content"": ""你怎么不是了，你就是，你就是我喜欢的人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这种男人都是渣男""}, {""sex"": ""1"", ""content"": ""还好我不是这种男人。""}, {""sex"": ""1"", ""content"": ""我不是渣男，选我选我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁都不信""}, {""sex"": ""1"", ""content"": ""这世界这么美好，你应该对它有多一点信任。""}, {""sex"": ""1"", ""content"": ""别人可以不信，但不能不信我，好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啥是喜欢""}, {""sex"": ""1"", ""content"": ""喜欢就是喜欢！""}, {""sex"": ""1"", ""content"": ""喜欢，是淡淡的爱""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦哦。""}, {""sex"": ""1"", ""content"": ""为什么你的哦和别人不一样""}, {""sex"": ""1"", ""content"": ""你得拟声词用得不错嘛，看来是个有故事的女同学。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我可是很凶的""}, {""sex"": ""1"", ""content"": ""明明是奶凶奶凶的。""}, {""sex"": ""1"", ""content"": ""凶起来还是那么可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么见你""}, {""sex"": ""1"", ""content"": ""可能是因为我想见你了吧。""}, {""sex"": ""1"", ""content"": ""话说这么为什么不看我呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么呢""}, {""sex"": ""1"", ""content"": ""可以聊人生、理想、未来……""}, {""sex"": ""2"", ""content"": ""好啊""}, {""sex"": ""1"", ""content"": ""只要是小仙女想聊的，我都可以陪你聊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么呐""}, {""sex"": ""1"", ""content"": ""因为我喜欢你呀。""}, {""sex"": ""1"", ""content"": ""我也不知道，大概跟我喜欢你也说不出为什么一样吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""玩什么？""}, {""sex"": ""1"", ""content"": ""和你在一起，不管做什么都是有趣的""}, {""sex"": ""1"", ""content"": ""想玩什么我都舍命陪君子！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么说呀""}, {""sex"": ""1"", ""content"": ""你心里想什么就说什么呀。""}, {""sex"": ""1"", ""content"": ""跟我说话还要担心说错吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么还没休息呢？""}, {""sex"": ""1"", ""content"": ""一个人的夜晚，最容易思念人了""}, {""sex"": ""1"", ""content"": ""你还没休息我怎么休息呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在在干什么""}, {""sex"": ""1"", ""content"": ""在想怎么让你喜欢我才好呢。""}, {""sex"": ""1"", ""content"": ""在偷偷看某个仙女的朋友圈。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干什么？""}, {""sex"": ""1"", ""content"": ""在想我的小可爱怎么现在才来找我""}, {""sex"": ""1"", ""content"": ""这是我想你的第999999999秒，你终于出现了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在胡说什么""}, {""sex"": ""1"", ""content"": ""我这么真诚你竟然以为我在胡说？""}, {""sex"": ""1"", ""content"": ""难道我说的话就这么不可信吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么厉害嘛""}, {""sex"": ""1"", ""content"": ""再厉害还不是栽在你手里了。""}, {""sex"": ""1"", ""content"": ""你比较厉害，把这么厉害的我的心都偷走了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""厉害喽""}, {""sex"": ""1"", ""content"": ""必须厉害，要是不厉害怎么追你啊。""}, {""sex"": ""1"", ""content"": ""厉害的人总要有厉害的人配。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""厉害嘛""}, {""sex"": ""1"", ""content"": ""超级厉害，我都要给你竖大拇指了""}, {""sex"": ""1"", ""content"": ""长这么好看还这么厉害，你还给不给别人活路了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么好玩""}, {""sex"": ""1"", ""content"": ""我带着你玩，你就知道有多好玩了""}, {""sex"": ""1"", ""content"": ""那你觉得什么是好玩的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我能怎么办""}, {""sex"": ""1"", ""content"": ""还能怎么办，当然是宠着你了""}, {""sex"": ""1"", ""content"": ""不用怎么办，让我爱上你就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我还能怎么办""}, {""sex"": ""1"", ""content"": ""你想怎么办就怎么办吧。""}, {""sex"": ""1"", ""content"": ""你一个人当然不行啦，得有我才行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还能怎么办""}, {""sex"": ""1"", ""content"": ""当然是选择原谅啊。""}, {""sex"": ""1"", ""content"": ""怎么办你说了算，小仙女最大。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱上了怎么办""}, {""sex"": ""1"", ""content"": ""那就继续爱呗，还能咋办呢。""}, {""sex"": ""1"", ""content"": ""能有咋办呢，就这么办！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知吃什么""}, {""sex"": ""1"", ""content"": ""别费脑子了，我带你去吃。""}, {""sex"": ""1"", ""content"": ""吃什么真是人生的一大难题啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么帅""}, {""sex"": ""1"", ""content"": ""都这么帅了，你就没点行动？""}, {""sex"": ""1"", ""content"": ""没办法，就是这么帅的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么回答你""}, {""sex"": ""1"", ""content"": ""遵循你的内心回答就好了""}, {""sex"": ""1"", ""content"": ""不知道怎么回答不如就用你的笑容吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你要我怎么回答""}, {""sex"": ""1"", ""content"": ""实话实说，我不想说实践是检验真理的唯一标准这句话。""}, {""sex"": ""1"", ""content"": ""你心里是怎么想的就怎么回答啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么开心怎么过""}, {""sex"": ""1"", ""content"": ""有你在的日子我就觉得很开心了。""}, {""sex"": ""1"", ""content"": ""你要是亲我一下我可以开心好几天。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么贫""}, {""sex"": ""1"", ""content"": ""这是幽默，哪里是贫了。""}, {""sex"": ""1"", ""content"": ""我这还不是为了能把小仙女逗开心吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想要怎么开始类""}, {""sex"": ""1"", ""content"": ""想要一种比较幸福比较简单的开始。""}, {""sex"": ""1"", ""content"": ""这开始怎么可以控制啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么打招呼""}, {""sex"": ""1"", ""content"": ""对我来说，“你好”这两个字不是打招呼，""}, {""sex"": ""2"", ""content"": ""不然是什么意思？""}, {""sex"": ""1"", ""content"": ""是字面意思：千好万好，还是你好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑什么嘛""}, {""sex"": ""1"", ""content"": ""想到你开心，忍不住""}, {""sex"": ""1"", ""content"": ""有一个逗比问我笑什么？好好笑""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在笑什么""}, {""sex"": ""1"", ""content"": ""我在笑你的可爱呀。""}, {""sex"": ""1"", ""content"": ""因为你，所以我笑了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你笑什么呢""}, {""sex"": ""1"", ""content"": ""看到你，嘴角总是不自觉地上扬。""}, {""sex"": ""1"", ""content"": ""看到喜欢的人，笑一笑正常。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""开什么玩笑？""}, {""sex"": ""1"", ""content"": ""你觉得我这样像开玩笑吗？""}, {""sex"": ""1"", ""content"": ""你以为我是会随便拿这种事开玩笑的人吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想怎么陪""}, {""sex"": ""1"", ""content"": ""你想我怎么陪呢，嘻嘻。""}, {""sex"": ""1"", ""content"": ""对不起，我有点想歪了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是吗？怎么想的呢""}, {""sex"": ""1"", ""content"": ""还能怎么想，当然是想着怎么让你喜欢我。""}, {""sex"": ""1"", ""content"": ""要不你进我脑子里瞅瞅？""}], ""lock"": 1}"
