"{""chat"": [{""sex"": ""2"", ""content"": ""今天请假了""}, {""sex"": ""1"", ""content"": ""刚好你请假 ，我又得知情报?不如一起去玩玩""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是女强人""}, {""sex"": ""1"", ""content"": ""独立自主的新时代女性，出于对你的欣赏，晚上请你看电影。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你谁啊""}, {""sex"": ""1"", ""content"": ""我是你在等的人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我对你好吗""}, {""sex"": ""1"", ""content"": ""好，但我希望是对男朋友的那种好。""}, {""sex"": ""1"", ""content"": ""好到我想把你娶回家了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你干嘛呢""}, {""sex"": ""1"", ""content"": ""我在等一个仙女。""}, {""sex"": ""2"", ""content"": ""仙女？""}, {""sex"": ""1"", ""content"": ""这个仙女刚才问我在干嘛呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还知道呢""}, {""sex"": ""1"", ""content"": ""我为什么不知道呢。""}, {""sex"": ""1"", ""content"": ""关于你的事情，我必须知道。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""直接点好""}, {""sex"": ""1"", ""content"": ""我喜欢你这够直接了吧。""}, {""sex"": ""1"", ""content"": ""再直接点我就想娶你回家了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""只要你敢""}, {""sex"": ""1"", ""content"": ""只要你不怕，我就敢。""}, {""sex"": ""1"", ""content"": ""为了你我还有什么是不敢的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""对你不来电""}, {""sex"": ""1"", ""content"": ""没事，以后就会来电的。""}, {""sex"": ""1"", ""content"": ""又不是只有来电的人才能做情侣。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有约了吧""}, {""sex"": ""1"", ""content"": ""你都不来试试约我，怎么知道我有没有约。""}, {""sex"": ""1"", ""content"": ""对啊，和你约呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有人约""}, {""sex"": ""1"", ""content"": ""没想到我也可以约你啦。""}, {""sex"": ""1"", ""content"": ""难道你约的不是我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛。""}, {""sex"": ""1"", ""content"": ""网上说，“在干嘛”等于“想你了”。""}, {""sex"": ""1"", ""content"": ""在想怎么跟美女聊天才会有好的印象""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我心里烦""}, {""sex"": ""1"", ""content"": ""放我进你心里，我帮你搞定你的心！""}, {""sex"": ""1"", ""content"": ""我陪你出去散散心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""够了吗""}, {""sex"": ""1"", ""content"": ""不够，我还想要好多好多。""}, {""sex"": ""1"", ""content"": ""想要从喜欢的人身上得到的东西，是怎样都不够的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不够吗""}, {""sex"": ""1"", ""content"": ""不够不够，我可是很贪心的""}, {""sex"": ""1"", ""content"": ""要是能再多一点就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有病吧，你""}, {""sex"": ""1"", ""content"": ""对啊，中了你的毒，无可救药了""}, {""sex"": ""1"", ""content"": ""如果说思念算种病的话，我可能有吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""因为你有病""}, {""sex"": ""1"", ""content"": ""我之所以得病了还不是因为你啊。""}, {""sex"": ""1"", ""content"": ""我这病必须由你来治才行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好像是啊""}, {""sex"": ""1"", ""content"": ""这可真是个让人头疼的问题。""}, {""sex"": ""1"", ""content"": ""不是好想吧，是肯定是啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没吃呀""}, {""sex"": ""1"", ""content"": ""怎么还不吃呀，小肚子都咕咕叫了吧。""}, {""sex"": ""1"", ""content"": ""是不是在等我带你吃呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是不是很自恋""}, {""sex"": ""1"", ""content"": ""是啊，但谁叫你有自恋的资本呢？""}, {""sex"": ""1"", ""content"": ""以后别自恋了，恋我吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是爱吗""}, {""sex"": ""1"", ""content"": ""难道我爱你的表现你还没看清楚吗？""}, {""sex"": ""1"", ""content"": ""我爱你已经很明显了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也是觉得""}, {""sex"": ""1"", ""content"": ""看来我们达成了共识哦。""}, {""sex"": ""1"", ""content"": ""小仙女也赞成我的看法，我好开心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""犯困了""}, {""sex"": ""1"", ""content"": ""困了就睡，不能让我女朋友委屈""}, {""sex"": ""1"", ""content"": ""那我是不是可以在梦里找你了呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你个疯子""}, {""sex"": ""1"", ""content"": ""是一个喜欢你的疯子。""}, {""sex"": ""1"", ""content"": ""怎么？对疯子有意见？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是不是太傻了""}, {""sex"": ""1"", ""content"": ""没有啊，你明明很聪明啊。""}, {""sex"": ""1"", ""content"": ""你要是傻，我怕就没人是聪明的了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说我是傻子？""}, {""sex"": ""1"", ""content"": ""那我也是傻子，两个傻子傻傻的在一起。""}, {""sex"": ""1"", ""content"": ""你觉得自己像是傻子嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们是朋友吗？""}, {""sex"": ""1"", ""content"": ""一直都是啊，难道你都没把我当成你的朋友吗？""}, {""sex"": ""1"", ""content"": ""我们不仅是朋友，还是男女朋友""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是生气""}, {""sex"": ""1"", ""content"": ""那我只好来哄你开心了。""}, {""sex"": ""1"", ""content"": ""原来仙女生气的时候也能这么好看啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""姐生气了""}, {""sex"": ""1"", ""content"": ""好姐姐，别生气啦，生气容易长皱纹。""}, {""sex"": ""1"", ""content"": ""小仙女是不会生气的对不对，所以你快消消气。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还不是""}, {""sex"": ""1"", ""content"": ""迟早都是，难道不是吗？""}, {""sex"": ""1"", ""content"": ""虽然现在还不是，但以后一定是""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""直男就是你这样的""}, {""sex"": ""1"", ""content"": ""直男总比渣男来的真诚点。""}, {""sex"": ""1"", ""content"": ""因为我想对你真诚，如果你要渣男我也可以。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要睡咯""}, {""sex"": ""1"", ""content"": ""那我们就梦里见咯。""}, {""sex"": ""1"", ""content"": ""那你亲口和我说声“晚安”吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一直都是""}, {""sex"": ""1"", ""content"": ""我也一直都是最爱你的人""}, {""sex"": ""1"", ""content"": ""那是我不好，竟然现在才发现""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你要乖乖听话哦""}, {""sex"": ""1"", ""content"": ""你就放心吧，我保证乖乖听话。""}, {""sex"": ""1"", ""content"": ""像我这种人就适合乖乖听话的好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""天天都这么可爱""}, {""sex"": ""1"", ""content"": ""那你很容易可爱到爆了。""}, {""sex"": ""1"", ""content"": ""这么可爱的我就不想放过了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好啊在么""}, {""sex"": ""1"", ""content"": ""欢迎小仙女的光临~""}, {""sex"": ""1"", ""content"": ""仙女驾到，怎么可以不在呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要爱你""}, {""sex"": ""1"", ""content"": ""因为我爱你，礼尚往来嘛。""}, {""sex"": ""1"", ""content"": ""笨蛋，不然我怎么把你带回家呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么了亲""}, {""sex"": ""1"", ""content"": ""呜呜呜呜，我就是突然想你了""}, {""sex"": ""1"", ""content"": ""不管怎么了，你都会站在我身边吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""中午吃什么了""}, {""sex"": ""1"", ""content"": ""吃外卖，天天吃外卖我都吃腻了。""}, {""sex"": ""1"", ""content"": ""我还在思考要吃什么呢，有好吃的推荐吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我们去吃什么""}, {""sex"": ""1"", ""content"": ""去吃你想吃的，我陪着你就好。""}, {""sex"": ""1"", ""content"": ""我记得上次你说吃什么来着，就吃那个""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么不开心""}, {""sex"": ""1"", ""content"": ""因为见不到你，所以不开心""}, {""sex"": ""1"", ""content"": ""不想把我的不开心传递给你，你只要给我一个抱抱就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想说啦""}, {""sex"": ""1"", ""content"": ""怎么啦，是不是害羞啦？""}, {""sex"": ""1"", ""content"": ""既然小仙女不想说那就不说啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼你呀""}, {""sex"": ""1"", ""content"": ""我姓倪，叫老龚""}, {""sex"": ""1"", ""content"": ""要不就叫亲爱的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么还不睡觉？""}, {""sex"": ""1"", ""content"": ""你还没睡，我又怎么能睡？""}, {""sex"": ""1"", ""content"": ""想你想到睡不着""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""能干什么""}, {""sex"": ""1"", ""content"": ""能干的事情多了，你想做什么我都可以陪你做""}, {""sex"": ""1"", ""content"": ""物尽其用，动用你的小脑瓜想想呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么撩我好吗""}, {""sex"": ""1"", ""content"": ""我这么撩你难道不好吗？""}, {""sex"": ""1"", ""content"": ""我只是在撩我喜欢的人而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好巧呀""}, {""sex"": ""1"", ""content"": ""这一定是命中注定，让我这么巧的遇到你。""}, {""sex"": ""1"", ""content"": ""不巧，是我刻意为之。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""懂你""}, {""sex"": ""1"", ""content"": ""一生能得一知己便足矣""}, {""sex"": ""1"", ""content"": ""你懂就好，就算全世界都不懂我也没关系""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你嘴可真甜""}, {""sex"": ""1"", ""content"": ""让我尝尝你的甜不甜如何。""}, {""sex"": ""1"", ""content"": ""你是不是偷偷吻我了，要不然你怎么知道我嘴甜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想我什么呢""}, {""sex"": ""1"", ""content"": ""想你很多啊，什么地方都在想你啊。""}, {""sex"": ""1"", ""content"": ""想你这个人，想你这个小可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么问题？""}, {""sex"": ""1"", ""content"": ""有关你的一切我都想问，可以吗？""}, {""sex"": ""1"", ""content"": ""姑娘芳龄几许？单身可撩否？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你什么意思啊""}, {""sex"": ""1"", ""content"": ""没什么，就是喜欢你的意思。""}, {""sex"": ""1"", ""content"": ""意思就是做我女朋友吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天回家了""}, {""sex"": ""1"", ""content"": ""吃到妈妈烧的饭是不是特别开心？""}, {""sex"": ""1"", ""content"": ""什么时候带我一起回家呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想看什么样子""}, {""sex"": ""1"", ""content"": ""我想要看到你喜欢我的样子。""}, {""sex"": ""1"", ""content"": ""我就想看有关于你的样子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你叫什么名字呢？""}, {""sex"": ""1"", ""content"": ""我叫男朋友。""}, {""sex"": ""1"", ""content"": ""名字什么的不重要，重要的是我要有什么名字。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想你了，咋办""}, {""sex"": ""1"", ""content"": ""还能咋办，过来找我啊。""}, {""sex"": ""1"", ""content"": ""难道你不是每天都在想我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好了不说了""}, {""sex"": ""1"", ""content"": ""那我要跟你的心继续沟通。""}, {""sex"": ""1"", ""content"": ""好的，是时候亲亲了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老了好多""}, {""sex"": ""1"", ""content"": ""仙女怎么可能会变老呢，你别骗我了。""}, {""sex"": ""1"", ""content"": ""明明还这么年轻好看，哪里老了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要飘了""}, {""sex"": ""1"", ""content"": ""那你还不赶紧拉住我！""}, {""sex"": ""1"", ""content"": ""反正你在地面上，我怕也飘不到哪去。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又飘了啊""}, {""sex"": ""1"", ""content"": ""还好有你给我拉着线，不会飞走""}, {""sex"": ""1"", ""content"": ""飘久了，最后还是得降落的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我昨晚睡了""}, {""sex"": ""1"", ""content"": ""睡了也没告诉我，害我担心一晚上。""}, {""sex"": ""1"", ""content"": ""下次睡的时候提前告诉我好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没错了""}, {""sex"": ""1"", ""content"": ""你是唯一想独自霸占我的那个""}, {""sex"": ""1"", ""content"": ""错了，错在太晚遇见你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""字打错了""}, {""sex"": ""1"", ""content"": ""字打错没关系，没发错人就好，没喜欢错人就好。""}, {""sex"": ""1"", ""content"": ""打错字可以撤回，但我对你的喜欢就不行了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谢谢夸奖，""}, {""sex"": ""1"", ""content"": ""我只是在说实话罢了。""}, {""sex"": ""1"", ""content"": ""你这么厉害，夸你是基本操作""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""慢慢就懂了""}, {""sex"": ""1"", ""content"": ""可是我想现在就懂。""}, {""sex"": ""1"", ""content"": ""希望如此，希望你能给我一个懂你的机会。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要长胖了""}, {""sex"": ""1"", ""content"": ""没事儿，反正我不嫌弃你。""}, {""sex"": ""1"", ""content"": ""长胖了就没人能从我身边抢走你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡得很晚""}, {""sex"": ""1"", ""content"": ""难怪我最近梦里都不怎么见到你。""}, {""sex"": ""1"", ""content"": ""是我的晚安没有到的缘故吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃啥饭""}, {""sex"": ""1"", ""content"": ""你这是嘴馋的不行啊。""}, {""sex"": ""1"", ""content"": ""吃啥饭都没有你好吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想要苹果""}, {""sex"": ""1"", ""content"": ""你是想要一袋苹果，还是苹果几代？""}, {""sex"": ""1"", ""content"": ""别说了，看了我都有点嘴馋了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不吃感冒药""}, {""sex"": ""1"", ""content"": ""不吃药怎么会好呢，听话，要乖乖吃药""}, {""sex"": ""1"", ""content"": ""我知道了，你是想要我喂你吃药，对吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡醒了""}, {""sex"": ""1"", ""content"": ""我也想跟你一起醒来""}, {""sex"": ""2"", ""content"": ""我们可以同一个点醒来""}, {""sex"": ""1"", ""content"": ""不嘛，我要跟你同一张床醒来""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你到了""}, {""sex"": ""1"", ""content"": ""那你还不过迎接一下嘛？""}, {""sex"": ""1"", ""content"": ""终于到达你的心里了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也做梦了""}, {""sex"": ""1"", ""content"": ""看来我们做的都是同一个梦啊。""}, {""sex"": ""1"", ""content"": ""看来这个梦还是真的很香。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚上不做梦""}, {""sex"": ""1"", ""content"": ""那你是准备晚上不梦到我了吗？""}, {""sex"": ""1"", ""content"": ""做不做梦又不是你能决定的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一般不做梦""}, {""sex"": ""1"", ""content"": ""做的梦都是一个很奇怪的梦？""}, {""sex"": ""1"", ""content"": ""那你以后做梦可不可以梦到我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝酒伤身体""}, {""sex"": ""1"", ""content"": ""不喝酒心里很难受。""}, {""sex"": ""1"", ""content"": ""借酒消愁！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""气死我得了""}, {""sex"": ""1"", ""content"": ""那不行，我就一个老婆怎么舍得呢。""}, {""sex"": ""1"", ""content"": ""气死仙女会不会被雷劈啊？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""踢屁股""}, {""sex"": ""1"", ""content"": ""哇，女孩子怎么可以这么残暴呢。""}, {""sex"": ""1"", ""content"": ""你要是把我屁股踢开花了，你可得对我负责。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人就够了""}, {""sex"": ""1"", ""content"": ""一个人的辛苦你也尝够了吧""}, {""sex"": ""1"", ""content"": ""一个人肯定要比两个人难，我来跟你一起分担吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是一般""}, {""sex"": ""1"", ""content"": ""果然仙女的要求就是比较严格啊""}, {""sex"": ""1"", ""content"": ""那我得努力把一般变成优秀了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次见面说什么""}, {""sex"": ""1"", ""content"": ""初次见面，感觉你比我想象的样子还特别呢。""}, {""sex"": ""1"", ""content"": ""一跟好看的女孩子说话我就紧张，要是说了什么不当的话你别怪我好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我第一次听说""}, {""sex"": ""1"", ""content"": ""没事，以后会听到更多的。""}, {""sex"": ""1"", ""content"": ""所以现在不就让你见识到了吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不一样了""}, {""sex"": ""1"", ""content"": ""确实不一样，以前我是喜欢你，现在是我爱你。""}, {""sex"": ""1"", ""content"": ""哪里不一样，你不爱我了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你注意安全""}, {""sex"": ""1"", ""content"": ""放心，还没娶到你之前都会保证安全。""}, {""sex"": ""1"", ""content"": ""有你这句话，我一定安全到家。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""七夕一起过么""}, {""sex"": ""1"", ""content"": ""好啊，我正愁要怎么过呢""}, {""sex"": ""1"", ""content"": ""七夕一起过是不是就意味着我们是男女朋友了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要不要认识一下""}, {""sex"": ""1"", ""content"": ""好啊，现在就认识一下""}, {""sex"": ""1"", ""content"": ""除了认识你貌似也没别的了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为啥不多心疼几秒""}, {""sex"": ""1"", ""content"": ""我怕把我自己的心给疼死了。""}, {""sex"": ""1"", ""content"": ""心疼久了会麻痹的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那可说不定""}, {""sex"": ""1"", ""content"": ""是啊，很多事情都存在不确定性。""}, {""sex"": ""1"", ""content"": ""说不定你现在不喜欢我，以后就会喜欢我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人出门""}, {""sex"": ""1"", ""content"": ""你这是要担心死我吗？""}, {""sex"": ""1"", ""content"": ""你一个人，我放心不下你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我现在一个人""}, {""sex"": ""1"", ""content"": ""怎么会是一个人呢，现在不是有我在吗？""}, {""sex"": ""1"", ""content"": ""现在的年轻人好像越来越喜欢一个人独处了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一直在吃""}, {""sex"": ""1"", ""content"": ""一直吃一直吃就不怕长肉肉嘛？""}, {""sex"": ""1"", ""content"": ""能吃是福，说明你身上有好多福气呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要那么肯定""}, {""sex"": ""1"", ""content"": ""可是我对这件事信心十足呀。""}, {""sex"": ""1"", ""content"": ""那你等着看吧，看是不是这样的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""男人都喜欢女人""}, {""sex"": ""1"", ""content"": ""其实有一部分还是喜欢同性的。""}, {""sex"": ""1"", ""content"": ""难道女人就不喜欢男人吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""机会是自己给的""}, {""sex"": ""1"", ""content"": ""我给了自己机会，你也给自己一个机会好吗？""}, {""sex"": ""1"", ""content"": ""你说的没错，我要给自己机会。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你多少岁了呀""}, {""sex"": ""1"", ""content"": ""应该是个很配你的岁数。""}, {""sex"": ""1"", ""content"": ""我比你大两岁。对了，你多大了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个月休息两天""}, {""sex"": ""1"", ""content"": ""才休息两天怎么够，这样会累坏的。""}, {""sex"": ""1"", ""content"": ""别人一周休息两天你一个月休息两天？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我已经习惯了一个人""}, {""sex"": ""1"", ""content"": ""那你现在就要开始习惯两个人了。""}, {""sex"": ""1"", ""content"": ""我的出现就是让你改这个习惯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一把年纪了""}, {""sex"": ""1"", ""content"": ""所以啊，你身边得有我照顾你""}, {""sex"": ""1"", ""content"": ""这个年纪正是好好谈恋爱的年纪了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""感觉不对""}, {""sex"": ""1"", ""content"": ""那是你的错觉，所以才会感觉不对。""}, {""sex"": ""1"", ""content"": ""那你清空一下脑电波，重新感受一下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看感觉。""}, {""sex"": ""1"", ""content"": ""感觉来了挡也挡不住！""}, {""sex"": ""1"", ""content"": ""请问你的感觉到了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不认识呀""}, {""sex"": ""1"", ""content"": ""多聊会儿，不就认识了吗。""}, {""sex"": ""1"", ""content"": ""只要想认识就可以认识的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""过段时间再说吧""}, {""sex"": ""1"", ""content"": ""就怕你过段时间就忘得一干二净了。""}, {""sex"": ""1"", ""content"": ""那我记在小本本上，过段时间提醒你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在吃饭啦""}, {""sex"": ""1"", ""content"": ""你不知道我一直在等你请我吃饭吗？""}, {""sex"": ""1"", ""content"": ""没有你陪我吃饭，饭都不好吃了。""}], ""lock"": 1}"
