"{""chat"": [{""sex"": ""1"", ""content"": ""你觉得怎样更好看些？?""}, {""sex"": ""1"", ""content"": ""我需要点意见。你说我是戴眼镜好看还是不戴好看？""}, {""sex"": ""2"", ""content"": ""我觉得这样好看一点。""}, {""sex"": ""1"", ""content"": ""我朋友说我戴眼镜的时候像的特工！""}, {""sex"": ""2"", ""content"": ""没错，就是像。""}, {""sex"": ""1"", ""content"": ""为什么你认为这样好？""}, {""sex"": ""2"", ""content"": ""（说出她的意见）""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""谢谢你。""}, {""sex"": ""2"", ""content"": ""什么？""}, {""sex"": ""1"", ""content"": ""谢谢你。""}, {""sex"": ""2"", ""content"": ""为什么谢谢我?""}, {""sex"": ""1"", ""content"": ""我觉得这里很热，但你的眼神很冷，站在你隔壁我觉得特别凉快，所以谢谢你。""}, {""sex"": ""2"", ""content"": ""哈哈哈~""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好逗哦""}, {""sex"": ""1"", ""content"": ""我只是幽默风趣，不想我们的聊天枯燥乏味。""}, {""sex"": ""1"", ""content"": ""能逗你开心不就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你过来吗""}, {""sex"": ""1"", ""content"": ""你希望我过来吗？""}, {""sex"": ""1"", ""content"": ""当然得过来啦，不过来怎么行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好好陪你""}, {""sex"": ""1"", ""content"": ""你愿意专心陪我，我真的很感动。""}, {""sex"": ""1"", ""content"": ""有你陪着我，我觉得什么都没关系了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你别瞎说""}, {""sex"": ""1"", ""content"": ""略略略，我说了你能拿我怎么样？""}, {""sex"": ""1"", ""content"": ""我才没有瞎说，我说的都是真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛？""}, {""sex"": ""1"", ""content"": ""你一天问我八百次“你在干嘛”我都不会烦""}, {""sex"": ""2"", ""content"": ""真的吗？""}, {""sex"": ""1"", ""content"": ""被挂念的感觉可真好哇""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""妈妈不让我谈恋爱""}, {""sex"": ""1"", ""content"": ""那我们就谈婚论嫁！""}, {""sex"": ""1"", ""content"": ""这么大人了，害怕妈妈嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""会撩会撩""}, {""sex"": ""1"", ""content"": ""把你撩成我的女朋友才是真本事。""}, {""sex"": ""1"", ""content"": ""那我能撩进你心里了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你撩我吧""}, {""sex"": ""1"", ""content"": ""你说撩你就撩你啊！""}, {""sex"": ""1"", ""content"": ""除了撩你，我还能喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不撩不撩""}, {""sex"": ""1"", ""content"": ""你要是不撩我，那就只好我出手了。""}, {""sex"": ""1"", ""content"": ""别怕，我很好撩的的，肯定不为难你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""身高166""}, {""sex"": ""1"", ""content"": ""你这是完美的女神身高啊。""}, {""sex"": ""1"", ""content"": ""你要是跟我站在一起，应该刚好到我的耳朵吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢狗吗？""}, {""sex"": ""1"", ""content"": ""喜欢啊，我觉得狗狗很可爱。""}, {""sex"": ""1"", ""content"": ""没什么感觉，不过要是你喜欢，可能我以后也会喜欢上吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""脸好丑""}, {""sex"": ""1"", ""content"": ""大部分人都会觉得自己丑，但这其实是不对的，因为你美在别人的眼里。""}, {""sex"": ""1"", ""content"": ""都这么美了还说丑，你也太谦虚了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得幸福是什么""}, {""sex"": ""1"", ""content"": ""也许幸福是一种只能让我们不断追寻的东西""}, {""sex"": ""1"", ""content"": ""幸福，是和你一起阅尽名山大川""}, {""sex"": ""1"", ""content"": ""幸福是睡到自然醒""}, {""sex"": ""1"", ""content"": ""幸福是收到一张远方的明信片""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""男人就留给别人祸害吧""}, {""sex"": ""1"", ""content"": ""那你是准备祸害我了吗。""}, {""sex"": ""1"", ""content"": ""那我就来祸害你怎么样。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太幸福""}, {""sex"": ""1"", ""content"": ""有你在的时候也是一种幸福。""}, {""sex"": ""1"", ""content"": ""幸福都是两个人的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是叭""}, {""sex"": ""1"", ""content"": ""就是呀，你是不是没想到""}, {""sex"": ""1"", ""content"": ""不用怀疑哦，我可是不会骗你的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是就不是""}, {""sex"": ""1"", ""content"": ""怎么会不是呢，你就是我女朋友啊。""}, {""sex"": ""1"", ""content"": ""我们当然不是朋友，我只想跟你做恋人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""额，是吗""}, {""sex"": ""1"", ""content"": ""是呀，难道你不相信我吗？""}, {""sex"": ""1"", ""content"": ""嗯嗯，是不是觉得有点不可思议？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是宅男吗""}, {""sex"": ""1"", ""content"": ""那你是宅女吗？""}, {""sex"": ""1"", ""content"": ""我是你的人，所以不是宅男""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁是你老婆呀？""}, {""sex"": ""1"", ""content"": ""当然是现在跟我聊天的这个貌美如花的小仙女了""}, {""sex"": ""1"", ""content"": ""谁不敢承认就是谁咯""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是个男人""}, {""sex"": ""1"", ""content"": ""所以才会喜欢上你这个女人啊。""}, {""sex"": ""1"", ""content"": ""是的，而且还是个帅气的男人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得是啥就是啥""}, {""sex"": ""1"", ""content"": ""那我觉得你是我女朋友你是吗？""}, {""sex"": ""1"", ""content"": ""原来我的想法对你来说这么重要的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是在说我""}, {""sex"": ""1"", ""content"": ""我在说仙女，你说是不是你呢。""}, {""sex"": ""1"", ""content"": ""对啊，我就是说一下这么可爱的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是不是傻？""}, {""sex"": ""1"", ""content"": ""漂亮的姑娘都是比较傻一点的。""}, {""sex"": ""1"", ""content"": ""你要是傻，早就被我偷了心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""费钱""}, {""sex"": ""1"", ""content"": ""太伤钱的事不做了！""}, {""sex"": ""1"", ""content"": ""不要管钱不钱的，开心就好啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不应该开心吗""}, {""sex"": ""1"", ""content"": ""应该应该，你开心我就开心啦""}, {""sex"": ""1"", ""content"": ""当然要开心了，你的开心会传染给我的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不生气嘛""}, {""sex"": ""1"", ""content"": ""生气有用的话，我早就生气了。""}, {""sex"": ""1"", ""content"": ""对你，我反正是没办法生气的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好的呢。""}, {""sex"": ""1"", ""content"": ""这么听话的嘛。""}, {""sex"": ""1"", ""content"": ""严肃点，我在跟你的心沟通呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是小猪猪""}, {""sex"": ""1"", ""content"": ""你是佩琪，不是小猪猪。""}, {""sex"": ""1"", ""content"": ""你不是，你可比小猪猪可爱多了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是真的哟""}, {""sex"": ""1"", ""content"": ""难不成现在还有假的吗？""}, {""sex"": ""1"", ""content"": ""真的，比珍珠还要真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真不真啊""}, {""sex"": ""1"", ""content"": ""我真心喜欢你，还有假？""}, {""sex"": ""1"", ""content"": ""像珍珠一样真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是我的错""}, {""sex"": ""1"", ""content"": ""不不不，不是你的错。""}, {""sex"": ""1"", ""content"": ""你不要把什么错都往自己身上揽知道不，这样是不对的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""暗示我""}, {""sex"": ""1"", ""content"": ""我都明示了，你还装傻呢。""}, {""sex"": ""1"", ""content"": ""想怎么暗示？我对你的喜欢已经藏不住了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""脚起泡""}, {""sex"": ""1"", ""content"": ""是不是鞋子不合脚磨起泡了呀？""}, {""sex"": ""1"", ""content"": ""起泡很疼的，你快贴上创可贴。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""么么么么么么""}, {""sex"": ""1"", ""content"": ""爱你，么么哒！！""}, {""sex"": ""1"", ""content"": ""等会儿，让我用面巾纸擦擦脸。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么话题""}, {""sex"": ""1"", ""content"": ""什么话题都行，只要有你参与就好。""}, {""sex"": ""1"", ""content"": ""聊一下我们的未来吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道聊什么""}, {""sex"": ""1"", ""content"": ""我们之间还需要聊什么吗？""}, {""sex"": ""2"", ""content"": ""？？？？""}, {""sex"": ""1"", ""content"": ""我们当然需要撩啦！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么时候最乖""}, {""sex"": ""1"", ""content"": ""在想你的时候最乖了。""}, {""sex"": ""1"", ""content"": ""那得看你什么时候想乖的啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么可爱啊""}, {""sex"": ""1"", ""content"": ""这可爱是因为你传染的。""}, {""sex"": ""1"", ""content"": ""再多的可爱也不及你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么可爱的么""}, {""sex"": ""1"", ""content"": ""可爱是可爱，但不及你的半分可爱。""}, {""sex"": ""1"", ""content"": ""都说女孩子都对可爱没有抵抗力，看来是真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么那么厉害""}, {""sex"": ""1"", ""content"": ""你这么厉害，是有目共睹的好不好。""}, {""sex"": ""1"", ""content"": ""再厉害最后也逃不过嫁为人妻。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""厉害 厉害""}, {""sex"": ""1"", ""content"": ""再不厉害就抢不到你了。""}, {""sex"": ""1"", ""content"": ""再厉害也不过你的裙下臣。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""厉害的呢""}, {""sex"": ""1"", ""content"": ""哥哥这么厉害，有没有什么奖励？""}, {""sex"": ""1"", ""content"": ""你这么夸我都要膨胀了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是怎么办""}, {""sex"": ""1"", ""content"": ""那我就想办法让它变成是。""}, {""sex"": ""1"", ""content"": ""别着急，还有我呢，一定有解决的办法的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么这么好看""}, {""sex"": ""1"", ""content"": ""就是这么好看，不可以吗！""}, {""sex"": ""1"", ""content"": ""好看的不只是一点点而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这样呢""}, {""sex"": ""1"", ""content"": ""那好吧，我变个样。""}, {""sex"": ""1"", ""content"": ""我不这样怎么吸引你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你到底叫什么名字""}, {""sex"": ""1"", ""content"": ""你猜猜看，猜对了我有奖励。""}, {""sex"": ""1"", ""content"": ""名字什么的不重要，重要的是你要对我做什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我要怎么回答""}, {""sex"": ""1"", ""content"": ""你想怎么回答就怎么回答呀，不需要纠结。""}, {""sex"": ""1"", ""content"": ""把你心里想的说出来就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么开心""}, {""sex"": ""1"", ""content"": ""跟喜欢的人聊天就会觉得很开心呀。""}, {""sex"": ""1"", ""content"": ""把我的开心分你一半，你也会觉得开心啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么开心""}, {""sex"": ""1"", ""content"": ""我会想办法让你开心的。""}, {""sex"": ""1"", ""content"": ""忘掉烦恼，不要想不开心的事情，跟我聊天就开心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""能怎么样""}, {""sex"": ""1"", ""content"": ""你这么问我反而怂了""}, {""sex"": ""1"", ""content"": ""还能怎么样，当然是认真喜欢你了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么称呼？""}, {""sex"": ""1"", ""content"": ""叫我老公就好啦。""}, {""sex"": ""1"", ""content"": ""你怎么称呼我都没问题的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怪我啦""}, {""sex"": ""1"", ""content"": ""认错的态度很诚恳，那就原谅你好啦。""}, {""sex"": ""1"", ""content"": ""傻瓜，我怎么会怪你呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚了还不睡觉""}, {""sex"": ""1"", ""content"": ""一想到你不在我身边我就睡不着。""}, {""sex"": ""1"", ""content"": ""夜深人静的时候对你的思念格外强烈，怎么睡得着？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么还不睡，""}, {""sex"": ""1"", ""content"": ""我在等你睡了我再睡。""}, {""sex"": ""1"", ""content"": ""我怕你一个人晚上太孤单，所以没有睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不可以么""}, {""sex"": ""1"", ""content"": ""可以可以，小仙女都开口了怎么会不可以？""}, {""sex"": ""1"", ""content"": ""不可以，怎么说你也得亲我一下才行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可以么""}, {""sex"": ""1"", ""content"": ""小仙女都开口了，必须可以呀。""}, {""sex"": ""1"", ""content"": ""可以是可以，不过你得先亲我一口。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么懂我""}, {""sex"": ""1"", ""content"": ""要是不懂你还怎么敢说喜欢你。""}, {""sex"": ""1"", ""content"": ""对啊，谁让我一门心思都在你身上。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""自己的问题""}, {""sex"": ""1"", ""content"": ""有什么问题都可以告诉我，我们一起解决。""}, {""sex"": ""1"", ""content"": ""你的问题就是我的问题，两个人想办法比一个人想办法更快。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好用""}, {""sex"": ""1"", ""content"": ""好用就好，说明钱没有白花。""}, {""sex"": ""1"", ""content"": ""那你什么时候借给我用用呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""精灵""}, {""sex"": ""1"", ""content"": ""你就像小精灵，在我脑里飞来飞去怎么也挥散不去。""}, {""sex"": ""1"", ""content"": ""我觉得你比精灵还可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不精神""}, {""sex"": ""1"", ""content"": ""那我给你一个亲亲让你精神一下。""}, {""sex"": ""1"", ""content"": ""那你快打起精神来，不要无精打采呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没忙啥子""}, {""sex"": ""1"", ""content"": ""没忙啥子为什么都不找我聊聊天呢？""}, {""sex"": ""1"", ""content"": ""那我现在给你布置一个任务，跟我聊会天吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""忙完了没""}, {""sex"": ""1"", ""content"": ""面对你没有忙完也忙完了。""}, {""sex"": ""1"", ""content"": ""忙完了我就第一时间告诉你宝贝。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那叫你什么?_?""}, {""sex"": ""1"", ""content"": ""你想叫我什么呢？""}, {""sex"": ""1"", ""content"": ""老公，亲爱的，你随便怎么叫。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡好了""}, {""sex"": ""1"", ""content"": ""我的小懒猪终于睡醒了。""}, {""sex"": ""1"", ""content"": ""睡饱了又是元气满满的小仙女了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你快睡了""}, {""sex"": ""1"", ""content"": ""你也快进入我梦里了。""}, {""sex"": ""1"", ""content"": ""不睡，只要你还醒着我就不睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了。""}, {""sex"": ""1"", ""content"": ""吃货总是那么准时准点吃饭""}, {""sex"": ""1"", ""content"": ""吃啥好吃的都不带我一起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了吧""}, {""sex"": ""1"", ""content"": ""还没呢，我想着你应该会请我吃饭才对""}, {""sex"": ""1"", ""content"": ""吃了，而且吃得很饱哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""把我删除了""}, {""sex"": ""1"", ""content"": ""对不起，我肯定不会这么做的。""}, {""sex"": ""1"", ""content"": ""怎么可以忍心把你给删了呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""错过了啥""}, {""sex"": ""1"", ""content"": ""错过了很多次与你相识相恋的机会。""}, {""sex"": ""1"", ""content"": ""错过了不可怕，可怕的是还在错过。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""变了老同学""}, {""sex"": ""1"", ""content"": ""再不变，我怕你就要跑走了。""}, {""sex"": ""1"", ""content"": ""对啊，变得已经够喜欢你的标准了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我吃饭了啊""}, {""sex"": ""1"", ""content"": ""那你要多吃一点，你太瘦了。""}, {""sex"": ""1"", ""content"": ""吃饭的时候别想我，怕你消化不良""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你起床了？""}, {""sex"": ""1"", ""content"": ""你都起床了，我还能赖床吗？""}, {""sex"": ""1"", ""content"": ""我可不想被太阳公公晒屁股。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起床了[难过]""}, {""sex"": ""1"", ""content"": ""睡眠不足的话，起床的时候心情是会不好的""}, {""sex"": ""1"", ""content"": ""哇，你终于起床啦，我以为你要睡到中午了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是发错了吗""}, {""sex"": ""1"", ""content"": ""没有，我就是要给你发。""}, {""sex"": ""1"", ""content"": ""我这么小心谨慎的人，怎么可能发错呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喝醉了吧""}, {""sex"": ""1"", ""content"": ""是啊，喝醉了才敢说喜欢你这种话。""}, {""sex"": ""1"", ""content"": ""那我能不能醉倒在你的怀里？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉了 拜拜""}, {""sex"": ""1"", ""content"": ""好吧我也该睡了，晚安。""}, {""sex"": ""1"", ""content"": ""睡觉要说晚安，知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是不爱你了""}, {""sex"": ""1"", ""content"": ""你只是把爱偷偷藏起来了，对不对？""}, {""sex"": ""1"", ""content"": ""没关系，爱没了我们可以重新培养，你会重新爱上我的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我醒了""}, {""sex"": ""1"", ""content"": ""小仙女醒啦，不过我觉得有点遗憾。""}, {""sex"": ""2"", ""content"": ""怎么了？""}, {""sex"": ""1"", ""content"": ""要是能成为你醒来见到的第一个人就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡醒了""}, {""sex"": ""1"", ""content"": ""为啥我旁边没有你呢。""}, {""sex"": ""1"", ""content"": ""醒了就开始想你了呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早早上好""}, {""sex"": ""1"", ""content"": ""早上好！小仙女今天元气满满呢！""}, {""sex"": ""1"", ""content"": ""早上好，又要早起了，心好累啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真不去""}, {""sex"": ""1"", ""content"": ""那我只好抱着你一起去了。""}, {""sex"": ""1"", ""content"": ""你都不去我怎么有心情去呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要出去""}, {""sex"": ""1"", ""content"": ""既然我老婆不让我出去那我就不出去了""}, {""sex"": ""1"", ""content"": ""那我不出去了，但你要陪着我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喝酒了？""}, {""sex"": ""1"", ""content"": ""不喝酒怎么敢和你说这么多。""}, {""sex"": ""1"", ""content"": ""没喝啊，怎么你想和我喝吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝白酒""}, {""sex"": ""1"", ""content"": ""白酒度数那么高，可不能喝太多呀""}, {""sex"": ""1"", ""content"": ""你要是喝醉了怎么办，我没在你身边都不能照顾你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我上去就是一脚""}, {""sex"": ""1"", ""content"": ""正宗佛山无影脚！""}, {""sex"": ""1"", ""content"": ""你这是要谋杀吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想要一辈子""}, {""sex"": ""1"", ""content"": ""那我就给你一辈子。""}, {""sex"": ""1"", ""content"": ""只要你想要，我就不会辜负你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一份工作""}, {""sex"": ""1"", ""content"": ""那你对自己的第一份工作还满意嘛？""}, {""sex"": ""1"", ""content"": ""第一次出来上班的时候是不是有点忐忑？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次开场白""}, {""sex"": ""1"", ""content"": ""我发现一个问题，我喜欢和长得好看的人讲话""}, {""sex"": ""1"", ""content"": ""天下没有不散的宴席，但是如果你请客，我可以陪你多吃点。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不一定""}, {""sex"": ""1"", ""content"": ""这么不确定的吗？""}, {""sex"": ""1"", ""content"": ""不要不一定，我要一定肯定。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""每天都一样呐""}, {""sex"": ""1"", ""content"": ""每天都一样不会觉得很乏味吗？""}, {""sex"": ""1"", ""content"": ""所以需要我为你制造一些小惊喜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一会说吧""}, {""sex"": ""1"", ""content"": ""嗯呢，那你一会记得找我。""}, {""sex"": ""1"", ""content"": ""好，一会听你慢慢说。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一会回来""}, {""sex"": ""1"", ""content"": ""你自己说的哈，不许反悔啊！""}, {""sex"": ""1"", ""content"": ""你的一会儿，会不会是很长的一会儿？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想有安全感""}, {""sex"": ""1"", ""content"": ""我会给你十足的安全感。""}, {""sex"": ""1"", ""content"": ""你要变得自信，才会觉得有安全感呀。""}], ""lock"": 1}"
