"{""chat"": [{""sex"": ""2"", ""content"": ""早鸭""}, {""sex"": ""1"", ""content"": ""早安，么么哒。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好""}, {""sex"": ""1"", ""content"": ""我不好""}, {""sex"": ""2"", ""content"": ""咋啦？""}, {""sex"": ""1"", ""content"": ""没能早点认识你""}, {""sex"": ""2"", ""content"": ""现在也不晚""}, {""sex"": ""1"", ""content"": ""晚的很，早点孩子都打酱油了，都要操心孩子作业了?""}, {""sex"": ""2"", ""content"": ""想那么远?""}, {""sex"": ""1"", ""content"": ""我们还是走个过程，先来个自我介绍""}, {""sex"": ""2"", ""content"": ""我没出息""}, {""sex"": ""1"", ""content"": ""很好，绝配，恰好我很有出息?""}, {""sex"": ""2"", ""content"": ""你果然会聊天""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""想不想养狗啊""}, {""sex"": ""2"", ""content"": ""什么狗啊?""}, {""sex"": ""1"", ""content"": ""单身的那种狗，比如说我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""年轻就是好啊""}, {""sex"": ""1"", ""content"": ""仙女不是年年十八吗？也不老啊""}, {""sex"": ""1"", ""content"": ""我看你也不像是年纪大的人啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是谁哦""}, {""sex"": ""1"", ""content"": ""一个关注你很久的人。""}, {""sex"": ""1"", ""content"": ""别问我是谁，问了也白问。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没觉得""}, {""sex"": ""1"", ""content"": ""就是因为你比较傻才会没觉得。""}, {""sex"": ""1"", ""content"": ""我以前也没觉得我会这么喜欢一个人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都疯了""}, {""sex"": ""1"", ""content"": ""这时候做个疯子有什么不好的吗？""}, {""sex"": ""1"", ""content"": ""这世界感觉就缺少一个像样的疯子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""钱钱去哪里了""}, {""sex"": ""1"", ""content"": ""钱钱都去你的肚子上了。""}, {""sex"": ""1"", ""content"": ""这个问题你得亲自去问下钱钱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你应该叫我什么""}, {""sex"": ""1"", ""content"": ""当然是叫你老婆了""}, {""sex"": ""1"", ""content"": ""难道不应该是你愿意让我叫你什么吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是说了吗""}, {""sex"": ""1"", ""content"": ""可是我想再听你说一遍，说吧说吧""}, {""sex"": ""1"", ""content"": ""有谁规定说过的话不可以再说的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么谁都说我是猪""}, {""sex"": ""1"", ""content"": ""谁说的，明明这么可爱！""}, {""sex"": ""1"", ""content"": ""你见过这么漂亮的猪猪嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是不喜欢我""}, {""sex"": ""1"", ""content"": ""喜欢你！我只是把对你的喜欢隐藏起来了。""}, {""sex"": ""1"", ""content"": ""你是不是猪，我要是不喜欢你怎么会天天都跟你聊天？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我希望是真的""}, {""sex"": ""1"", ""content"": ""我绝对是真心喜欢你的。""}, {""sex"": ""1"", ""content"": ""自信一点，你要相信一定是真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没想什么啊""}, {""sex"": ""1"", ""content"": ""其实你也可以想点的。""}, {""sex"": ""1"", ""content"": ""那你为什么不想一想。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我们聊什么""}, {""sex"": ""1"", ""content"": ""聊什么呢，还不如撩你。""}, {""sex"": ""1"", ""content"": ""聊聊我们的人生大事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那怎么办哦""}, {""sex"": ""1"", ""content"": ""还能怎么办啊，当然是喜欢你啦。""}, {""sex"": ""1"", ""content"": ""那我说凉拌可以吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""厉害哈""}, {""sex"": ""1"", ""content"": ""那你会喜欢上这么厉害的我吗？""}, {""sex"": ""1"", ""content"": ""是因为遇见你了我才变得这么厉害的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃的什么""}, {""sex"": ""1"", ""content"": ""想知道啊，我带你去看看不就好。""}, {""sex"": ""1"", ""content"": ""那也得看你想要吃点什么咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""文凭""}, {""sex"": ""1"", ""content"": ""虽然文凭不是最重要的，但文凭却是一块很好的敲门砖""}, {""sex"": ""1"", ""content"": ""小仙女这么聪明，没想过继续念书吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不知道怎么回复了""}, {""sex"": ""1"", ""content"": ""那就不要回复，我们换个话题就好。""}, {""sex"": ""1"", ""content"": ""没事啊，等你想好了再回复。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么会呢。""}, {""sex"": ""1"", ""content"": ""一切皆有可能啊。""}, {""sex"": ""1"", ""content"": ""对啊，我们不试试怎么知道呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么什么都会""}, {""sex"": ""1"", ""content"": ""怕你有什么不会的，所以都学了。""}, {""sex"": ""1"", ""content"": ""毕竟是要做仙女的男朋友，总得比别人会的更多吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在忙呀""}, {""sex"": ""1"", ""content"": ""忙什么呢？忙着想我吗？""}, {""sex"": ""1"", ""content"": ""再忙也要注意休息哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你上午忙什么呢""}, {""sex"": ""1"", ""content"": ""忙着努力赚钱娶你回家。""}, {""sex"": ""1"", ""content"": ""忙着偷偷想你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""忙完了么""}, {""sex"": ""1"", ""content"": ""忙完了，我一忙完就来找你啦。""}, {""sex"": ""1"", ""content"": ""很快就忙完了，再等我一会哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不然怎么样""}, {""sex"": ""1"", ""content"": ""不然你就亲我一下。""}, {""sex"": ""1"", ""content"": ""你说怎么样我都听你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你到底想怎么样""}, {""sex"": ""1"", ""content"": ""不想怎么样就是看上你而已的啦。""}, {""sex"": ""1"", ""content"": ""我还能想怎么样，当然是娶你啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次打招呼""}, {""sex"": ""1"", ""content"": ""Hi，你觉得我要问你什么样的问题才可以认识你呢？""}, {""sex"": ""1"", ""content"": ""你好，容我冒昧的问一下我要怎么称呼你呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么好笑的""}, {""sex"": ""1"", ""content"": ""但是我想看你的笑，因为你笑起来特别好看。""}, {""sex"": ""1"", ""content"": ""那你怎么可以这么好看呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚还没睡""}, {""sex"": ""1"", ""content"": ""这不是在等你和我说一声晚安吗。""}, {""sex"": ""1"", ""content"": ""想等某人入梦相见呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么还不睡觉呢""}, {""sex"": ""1"", ""content"": ""仙女都没睡，我怎么敢睡啊。""}, {""sex"": ""1"", ""content"": ""睡觉的时候在疯狂想你，我控制不住。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪有这么好的事""}, {""sex"": ""1"", ""content"": ""世界之大无奇不有，你怎么知道没有这么好的事。""}, {""sex"": ""1"", ""content"": ""可是就是有这么好的事情呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你嘴那么甜""}, {""sex"": ""1"", ""content"": ""我的嘴再甜还不是只能你尝到。""}, {""sex"": ""1"", ""content"": ""我的甜度还不及你的一半。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""性格直爽""}, {""sex"": ""1"", ""content"": ""我觉得性格直爽的女孩子很可爱啊""}, {""sex"": ""1"", ""content"": ""我就是喜欢直来直往的人，干脆利落""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么好玩的呀""}, {""sex"": ""1"", ""content"": ""我带着你就有好玩的啦。""}, {""sex"": ""1"", ""content"": ""好玩的地方是要慢慢发现的，要是每个人都知道那就不好玩了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我应该叫你什么呢""}, {""sex"": ""1"", ""content"": ""想叫什么都可以，你喜欢我就喜欢""}, {""sex"": ""1"", ""content"": ""你可以叫我的艺名“南朋又”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""先了解了解吧""}, {""sex"": ""1"", ""content"": ""你想了解我什么？通通告诉你。""}, {""sex"": ""1"", ""content"": ""了解了之后就可以处对象了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚输完液""}, {""sex"": ""1"", ""content"": ""身体还会不舒服吗，要不要我过去陪你？""}, {""sex"": ""1"", ""content"": ""一想到你生病了我就觉得好心疼""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""飘了吧""}, {""sex"": ""1"", ""content"": ""放心我不会飘远的，飘远了你就把我拽回来。""}, {""sex"": ""1"", ""content"": ""你要是说你喜欢我我还能更飘呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""饿了饿了""}, {""sex"": ""1"", ""content"": ""你这样饿肚子，我会心疼你的。""}, {""sex"": ""1"", ""content"": ""你就是这么照顾我宝贝的身体吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""饿就饿呗""}, {""sex"": ""1"", ""content"": ""那怎么行，饿出胃病了可怎么办？""}, {""sex"": ""1"", ""content"": ""你怎么能说出这种话，把我的小仙女饿坏了我是要找你算账的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最近分手了""}, {""sex"": ""1"", ""content"": ""分手就分手，下一个更长久，对吧。""}, {""sex"": ""1"", ""content"": ""因为那不是你的真命天子，你终究是会跟你的真爱在一起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""才起床""}, {""sex"": ""1"", ""content"": ""再不起床就要被晒屁股了！""}, {""sex"": ""1"", ""content"": ""床束缚住我了，没办法。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""累了呗""}, {""sex"": ""1"", ""content"": ""你累了就好好照顾自己吧。""}, {""sex"": ""1"", ""content"": ""累了就让我来照顾你就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别累着了""}, {""sex"": ""1"", ""content"": ""为了我们的将来，再苦再累都不怕。""}, {""sex"": ""1"", ""content"": ""为了不让你吃苦，我累一点也没关系。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""相亲网""}, {""sex"": ""1"", ""content"": ""像我这么优秀的男人还需要相亲吗？""}, {""sex"": ""1"", ""content"": ""以后不用再逛相亲网了，你都有我了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚呐""}, {""sex"": ""1"", ""content"": ""有你陪伴的夜晚才是美好的夜晚。""}, {""sex"": ""1"", ""content"": ""遇见你不早不晚刚刚好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉了呢""}, {""sex"": ""1"", ""content"": ""好的，那我可以梦到你了。""}, {""sex"": ""1"", ""content"": ""好好睡觉，不许熬夜！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没吃药啊""}, {""sex"": ""1"", ""content"": ""你就是我的特效药。""}, {""sex"": ""1"", ""content"": ""药没有你好吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""飞走了""}, {""sex"": ""1"", ""content"": ""但是我的心飞到你身上了。""}, {""sex"": ""1"", ""content"": ""鸟儿有飞走的时候，但我却不会有离开你的时候。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就吐出来""}, {""sex"": ""1"", ""content"": ""自己处理好案发地点，我就不看了。""}, {""sex"": ""1"", ""content"": ""吐吧，我还能拿去喂猪呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""迟到了吗""}, {""sex"": ""1"", ""content"": ""好险，差一点点就迟到了""}, {""sex"": ""1"", ""content"": ""迟到了，这个月的全勤奖是保不住了啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做梦呗""}, {""sex"": ""1"", ""content"": ""做一个有关于你的美梦。""}, {""sex"": ""1"", ""content"": ""我的梦都是与你相关。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班了么""}, {""sex"": ""1"", ""content"": ""今天这么乖，下班了第一时间告诉我""}, {""sex"": ""1"", ""content"": ""下班了怎么敢不先跟我的女王大人汇报呢""}, {""sex"": ""1"", ""content"": ""下班了呦，有什么安排吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班到家了""}, {""sex"": ""1"", ""content"": ""以后你每天下班我都给你一个拥抱，好不好？""}, {""sex"": ""1"", ""content"": ""真希望我能在家等你下班。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可无聊了""}, {""sex"": ""1"", ""content"": ""看来是时候让我来消除你的无聊了。""}, {""sex"": ""1"", ""content"": ""你都不找我，难怪会无聊呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""气死我了！""}, {""sex"": ""1"", ""content"": ""不要生气啦，生气容易变老的。""}, {""sex"": ""1"", ""content"": ""带你去吃冰淇淋消消火如何？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我的脚""}, {""sex"": ""1"", ""content"": ""怎么了，是撞到了吗？""}, {""sex"": ""1"", ""content"": ""小仙女的脚那可不是一般的脚""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我觉得我一般般""}, {""sex"": ""1"", ""content"": ""我不知道在别人眼里是什么样的，但你在我这里是最好的。""}, {""sex"": ""1"", ""content"": ""一般般的你也让我特别心动啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""确定确定""}, {""sex"": ""1"", ""content"": ""好哦，既然确定了就不可以再反悔了哦""}, {""sex"": ""1"", ""content"": ""我也百分百确定你就是我最喜欢的人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡一会""}, {""sex"": ""1"", ""content"": ""不睡了，我还要珍惜跟你聊天的时间呢。""}, {""sex"": ""1"", ""content"": ""那我睡一会，你一会叫我起来好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我在睡一会""}, {""sex"": ""1"", ""content"": ""小懒猪，到我怀里来睡吧。""}, {""sex"": ""1"", ""content"": ""别睡过头啦，我一会叫你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我会一直在""}, {""sex"": ""1"", ""content"": ""你不离我不弃，我们一辈子在一起，好不好？""}, {""sex"": ""1"", ""content"": ""有你在真好，我一定会给你一个美好的未来的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一点都不会""}, {""sex"": ""1"", ""content"": ""不会也没关系，只要你有一颗想学的心。""}, {""sex"": ""1"", ""content"": ""我教你呀，包教包会。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""双子""}, {""sex"": ""1"", ""content"": ""双子座跟我超级般配的""}, {""sex"": ""1"", ""content"": ""听说双子座的人都会有两种性格，你是这样吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""新的一天又来了，早上好""}, {""sex"": ""1"", ""content"": ""早上好，今天又是想你的一天""}, {""sex"": ""1"", ""content"": ""小仙女是第一个跟我说早安的人""}, {""sex"": ""1"", ""content"": ""早安！夜里的星星有没有我啊？""}, {""sex"": ""1"", ""content"": ""早上好，老婆，想你，昨晚梦见你了""}, {""sex"": ""1"", ""content"": ""早安，么么哒。""}, {""sex"": ""1"", ""content"": ""早上好，今天又是想你的一天""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""口福""}, {""sex"": ""1"", ""content"": ""不知道我有没有口福能吃到你做的饭""}, {""sex"": ""1"", ""content"": ""想要有口福就亲哥一下，说不定我就带你去吃好吃的了呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别下雨""}, {""sex"": ""1"", ""content"": ""下雨确实不太方便，还是不要下雨的好。""}, {""sex"": ""1"", ""content"": ""你不觉得这么炎热的天气下一场雨整个人都清爽了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这边下雨""}, {""sex"": ""1"", ""content"": ""下雨的时候好想给你送伞啊。""}, {""sex"": ""1"", ""content"": ""请你带好雨伞不要让自己淋雨。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你相信一见钟情吗？""}, {""sex"": ""1"", ""content"": ""遇见你之前不信的，现在信了。""}, {""sex"": ""1"", ""content"": ""你就是我的一见钟情，我能不信吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识一下呗""}, {""sex"": ""1"", ""content"": ""只是认识一下就满足了吗""}, {""sex"": ""1"", ""content"": ""可我不仅仅想认识你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲不到你""}, {""sex"": ""1"", ""content"": ""没事，我已经感受到你的亲亲了。""}, {""sex"": ""1"", ""content"": ""那就留着下一次再亲好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不用心疼""}, {""sex"": ""1"", ""content"": ""心里装的是你，我能不心疼吗？""}, {""sex"": ""1"", ""content"": ""你有哪点不让我心疼呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡了一路""}, {""sex"": ""1"", ""content"": ""那你现在睡醒了是不是就精神啦""}, {""sex"": ""1"", ""content"": ""在车上睡觉就不会晕车啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真的假不了，假的真不了""}, {""sex"": ""1"", ""content"": ""真的就是真的，假的就是假的。""}, {""sex"": ""1"", ""content"": ""那你现在就是真的，肯定不是假的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""玩麻将""}, {""sex"": ""1"", ""content"": ""小仙女搓麻将肯定很厉害。""}, {""sex"": ""1"", ""content"": ""你还会玩麻将呢，要不要教教我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不知道你说什么""}, {""sex"": ""1"", ""content"": ""还装傻，我都说得这么明白了。""}, {""sex"": ""1"", ""content"": ""那我再说一遍，你可听好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我会一直在你身边""}, {""sex"": ""1"", ""content"": ""你在我身边的时候我特别安心。""}, {""sex"": ""1"", ""content"": ""在我身边就好好待着，不要乱跑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想找个对象""}, {""sex"": ""1"", ""content"": ""文具店，买个象棋里面有一对象。""}, {""sex"": ""1"", ""content"": ""你好，我就是你要找的对象。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""休息三天""}, {""sex"": ""1"", ""content"": ""休息这么多天，够爽的吧。""}, {""sex"": ""1"", ""content"": ""那你这三天有什么安排吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""暴打一顿""}, {""sex"": ""1"", ""content"": ""你舍得嘛，你舍得对我下手嘛？""}, {""sex"": ""1"", ""content"": ""你这么温柔的小仙女肯定不会打人的，对不对？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我又不是三岁小孩""}, {""sex"": ""1"", ""content"": ""对，你只有两岁半。""}, {""sex"": ""1"", ""content"": ""不管你几岁，在我这儿都是小孩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""招待""}, {""sex"": ""1"", ""content"": ""如果你来了，我一定会像招待公主一样招待你的""}, {""sex"": ""1"", ""content"": ""说招待就客气了，放轻松一点就可以啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""拜拜宝贝""}, {""sex"": ""1"", ""content"": ""爱你爱你，宝贝晚安""}, {""sex"": ""1"", ""content"": ""好舍不得跟宝贝分开啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一直在家""}, {""sex"": ""1"", ""content"": ""看来你是在家宅定了是吗""}, {""sex"": ""1"", ""content"": ""你这么宅真的好意思嘛？""}], ""lock"": 1}"
