"{""chat"": [{""sex"": ""1"", ""content"": ""头像是本人吗?""}, {""sex"": ""2"", ""content"": ""不是 ????""}, {""sex"": ""1"", ""content"": ""那就好 ，起码我是在确定撩妹""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""走到你心里""}, {""sex"": ""1"", ""content"": ""通往我心里的路很好走，一直走到底就行。""}, {""sex"": ""1"", ""content"": ""你已经走到我心里了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想我呀""}, {""sex"": ""1"", ""content"": ""想啊，我什么时候不想你了。""}, {""sex"": ""1"", ""content"": ""我如果不想你，就不是我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢不""}, {""sex"": ""1"", ""content"": ""非常喜欢，谢谢你啦。""}, {""sex"": ""1"", ""content"": ""喜欢，但我最喜欢的还是你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不怕我打你""}, {""sex"": ""1"", ""content"": ""怕啊，但是你不能打我呀。""}, {""sex"": ""1"", ""content"": ""你打我干嘛啊！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还要打我""}, {""sex"": ""1"", ""content"": ""你这么可爱，我怎么舍得打你呢。""}, {""sex"": ""1"", ""content"": ""打是亲，我在亲你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很想打你""}, {""sex"": ""1"", ""content"": ""别想了，直接动手吧！""}, {""sex"": ""1"", ""content"": ""老公有时候就是要被老婆打的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你竟然想打我""}, {""sex"": ""1"", ""content"": ""打是亲，我是在亲亲。""}, {""sex"": ""1"", ""content"": ""不！我一点都不想。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我现在想打人""}, {""sex"": ""1"", ""content"": ""你现在想打我啊？！""}, {""sex"": ""1"", ""content"": ""打我这种事情不需要想的好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看够了""}, {""sex"": ""1"", ""content"": ""如果是看你，我看一辈子都不会够。""}, {""sex"": ""1"", ""content"": ""那就换换新花样，看点别的吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有病呀""}, {""sex"": ""1"", ""content"": ""对啊，中了你的毒已经无可救药了""}, {""sex"": ""1"", ""content"": ""如果说思念算种病的话，我可能有吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想祸害你啊""}, {""sex"": ""1"", ""content"": ""完蛋了，我已经被你祸害到了。""}, {""sex"": ""1"", ""content"": ""那你来吧，我不会反抗的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""幸福了""}, {""sex"": ""1"", ""content"": ""我的幸福都是与你相关的。""}, {""sex"": ""1"", ""content"": ""你幸福了就相当于我幸福了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是很无聊啊""}, {""sex"": ""1"", ""content"": ""不会啊，一整天都在想你，怎么会无聊呢？""}, {""sex"": ""1"", ""content"": ""是啊，在等你陪我呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是不是有病""}, {""sex"": ""1"", ""content"": ""不是的，你只是比较特别。""}, {""sex"": ""1"", ""content"": ""这不是病，我会帮你一起解决的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是我么""}, {""sex"": ""1"", ""content"": ""难道不是你吗？！""}, {""sex"": ""1"", ""content"": ""是你，是你，就是你！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦 是吗""}, {""sex"": ""1"", ""content"": ""给我个机会，让你把这个“吗”去掉。""}, {""sex"": ""1"", ""content"": ""我长得这么诚实，怎么会骗你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是我是谁""}, {""sex"": ""1"", ""content"": ""我也猜到了可能会是你。""}, {""sex"": ""1"", ""content"": ""这么可爱，除了你还会有谁啊？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是渣男不是？""}, {""sex"": ""1"", ""content"": ""你见过渣男说自己渣男的吗""}, {""sex"": ""1"", ""content"": ""我是不是你猜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不觉得""}, {""sex"": ""1"", ""content"": ""感觉是最会骗人的了。""}, {""sex"": ""1"", ""content"": ""我觉得就行了，我觉得你就是我未来女朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要干嘛嘛""}, {""sex"": ""1"", ""content"": ""那我就不能先告诉你了。""}, {""sex"": ""1"", ""content"": ""我说了干嘛就可以嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是你傻""}, {""sex"": ""1"", ""content"": ""也不看看我是为了谁才变傻的。""}, {""sex"": ""1"", ""content"": ""傻怎么了，傻傻的可爱呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈哈 是呢""}, {""sex"": ""1"", ""content"": ""能让小仙女笑我倒是觉得很开心呢""}, {""sex"": ""1"", ""content"": ""你真的是很温柔的女孩子呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是呢""}, {""sex"": ""1"", ""content"": ""那小仙女快告诉我是什么呀""}, {""sex"": ""1"", ""content"": ""你这么温柔，真怕我有一天会沦陷""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""但是我没钱""}, {""sex"": ""1"", ""content"": ""真的没钱克制一切操作。""}, {""sex"": ""1"", ""content"": ""有钱没钱回家过年。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是真的""}, {""sex"": ""1"", ""content"": ""当然是真的，你看我像是会瞎说的人吗？""}, {""sex"": ""1"", ""content"": ""真的，童叟无欺。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是哪里的呢""}, {""sex"": ""1"", ""content"": ""我是中国某一个角落的。""}, {""sex"": ""1"", ""content"": ""我是哪里的不重要，反正我要住进你心里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是吧！""}, {""sex"": ""1"", ""content"": ""是或者不是，那也得等你自己试试才知道啊。""}, {""sex"": ""1"", ""content"": ""自己过来看看不就知道了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是真的哦""}, {""sex"": ""1"", ""content"": ""要不你捏下我，看我疼不疼""}, {""sex"": ""1"", ""content"": ""当然是真的了，我什么时候骗过你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在暗示我什么""}, {""sex"": ""1"", ""content"": ""这不就在暗示你吗。""}, {""sex"": ""1"", ""content"": ""这有啥好暗示的，猜猜就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那么乖啊""}, {""sex"": ""1"", ""content"": ""就是这么乖，你难道没发现吗。""}, {""sex"": ""1"", ""content"": ""难道你不喜欢我这么乖吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那要看你乖不乖呀""}, {""sex"": ""1"", ""content"": ""乖的话有什么奖励吗""}, {""sex"": ""1"", ""content"": ""你在，我什么时候不乖了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""毕竟我这么可爱""}, {""sex"": ""1"", ""content"": ""我就是喜欢你这么可爱。""}, {""sex"": ""1"", ""content"": ""可怜没人爱啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在做什么""}, {""sex"": ""1"", ""content"": ""现在陪你聊天呀。""}, {""sex"": ""1"", ""content"": ""你想做什么我们就做什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在吗？在吗？在吗？在吗？""}, {""sex"": ""1"", ""content"": ""在在在！小仙女找我岂能不在！！""}, {""sex"": ""1"", ""content"": ""在呢，小仙女这么想我的吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你让我怎么办""}, {""sex"": ""1"", ""content"": ""当然是做我女朋友啊。""}, {""sex"": ""1"", ""content"": ""要是我说怎么办你就能听我的那该多好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不喜欢吃什么""}, {""sex"": ""1"", ""content"": ""没有不喜欢吃的，你带我吃什么我就吃什么。""}, {""sex"": ""1"", ""content"": ""除了你都不喜欢吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""觉得我好骗？""}, {""sex"": ""1"", ""content"": ""你要是好骗，我早就把你骗到我家户口本上了！""}, {""sex"": ""1"", ""content"": ""你这么可爱，我怎么会骗你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么带我回家""}, {""sex"": ""1"", ""content"": ""走路打车坐飞机都可以""}, {""sex"": ""1"", ""content"": ""你跟着我就好啦，不用担心要怎么回""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯，开心""}, {""sex"": ""1"", ""content"": ""你开心了，我也就开心了。""}, {""sex"": ""1"", ""content"": ""看到你这么开心真好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没笑什么""}, {""sex"": ""1"", ""content"": ""我都不知道原来你是这么爱笑的女孩。""}, {""sex"": ""1"", ""content"": ""还瞒着我偷偷笑呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑笑""}, {""sex"": ""1"", ""content"": ""你最好不要给我笑！""}, {""sex"": ""2"", ""content"": ""为什么？""}, {""sex"": ""1"", ""content"": ""因为你笑起来太好看了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就是不知道说什么""}, {""sex"": ""1"", ""content"": ""准从自己的心，想说什么就说什么。""}, {""sex"": ""1"", ""content"": ""不用说什么，只需要你笑一下就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""带我玩什么""}, {""sex"": ""1"", ""content"": ""你想玩什么我就带你玩。""}, {""sex"": ""1"", ""content"": ""好玩的很多，就看你想玩什么啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个问题""}, {""sex"": ""1"", ""content"": ""别说一个问题了，十个问题我也会一一回答的""}, {""sex"": ""1"", ""content"": ""嗯，想问我什么就问吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""精致的猪猪女孩""}, {""sex"": ""1"", ""content"": ""看来我们家又多了一只猪了。""}, {""sex"": ""1"", ""content"": ""你这么精致，看来我也得开始好好倒腾自己了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚在忙呢""}, {""sex"": ""1"", ""content"": ""现在还在忙了吗？""}, {""sex"": ""1"", ""content"": ""看来现在的你应该是忙完了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我在忙呢""}, {""sex"": ""1"", ""content"": ""我也在忙，忙着想你。""}, {""sex"": ""1"", ""content"": ""娘娘你先忙,奴才门口侯着""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我帮你追""}, {""sex"": ""1"", ""content"": ""你不用帮我追，你答应我就可以了。""}, {""sex"": ""1"", ""content"": ""哇，小仙女这么好的嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""会不会""}, {""sex"": ""1"", ""content"": ""就算是不会我也会想办法学会的""}, {""sex"": ""1"", ""content"": ""哥哥我这么厉害，难道有什么是不会的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没忙完""}, {""sex"": ""1"", ""content"": ""那你先忙着，等忙完了给我发消息，但是别把自己累着了""}, {""sex"": ""1"", ""content"": ""还没忙完呢，需不需要我帮忙呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""先了解你""}, {""sex"": ""1"", ""content"": ""你想了解的事情，我都会慢慢告诉你的""}, {""sex"": ""1"", ""content"": ""你了解我的同时我也了解你，我们互相了解""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋了这是""}, {""sex"": ""1"", ""content"": ""没咋的，就是想试试你好不好惹""}, {""sex"": ""1"", ""content"": ""我要是说想你了你信嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说好了""}, {""sex"": ""1"", ""content"": ""说好了，就不会再反悔了。""}, {""sex"": ""1"", ""content"": ""当然了，君子一言驷马难追。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我忙好了""}, {""sex"": ""1"", ""content"": ""辛苦了，好好休息放松一下。""}, {""sex"": ""1"", ""content"": ""忙的都顾不上我了，生气了我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""输不起""}, {""sex"": ""1"", ""content"": ""傻瓜，我会让着你的。""}, {""sex"": ""1"", ""content"": ""别怕，大不了我赔你一辈子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""把你删了哈""}, {""sex"": ""1"", ""content"": ""错了！我错了！道歉！别删！""}, {""sex"": ""1"", ""content"": ""你就不怕自己被无聊死吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你已经飘了""}, {""sex"": ""1"", ""content"": ""那你可要把我拉住啊。""}, {""sex"": ""1"", ""content"": ""人在江湖，哪能不飘呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我错了""}, {""sex"": ""1"", ""content"": ""知错能改善莫大焉啊。""}, {""sex"": ""1"", ""content"": ""你没错，错的是我而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我错了""}, {""sex"": ""1"", ""content"": ""知错能改善莫大焉啊。""}, {""sex"": ""1"", ""content"": ""知道错了，那你是不是应该有点表示啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不过是照骗罢了""}, {""sex"": ""1"", ""content"": ""可是我偏偏就被这照骗吸引了。""}, {""sex"": ""1"", ""content"": ""没事，我心甘情愿被骗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我困了，想睡觉了""}, {""sex"": ""1"", ""content"": ""那咱们一起钻进被窝睡觉吧。""}, {""sex"": ""1"", ""content"": ""是不是已经困得睁不开眼睛啦，那小仙女早点睡吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饭啊""}, {""sex"": ""1"", ""content"": ""一起吃饭更有情趣啊""}, {""sex"": ""1"", ""content"": ""吃饭不带上我你的良心不会痛吗""}, {""sex"": ""1"", ""content"": ""你吃饭我买单咯""}, {""sex"": ""1"", ""content"": ""饭有什么好吃的，吃我啊""}, {""sex"": ""1"", ""content"": ""我也想和你一起吃饭""}, {""sex"": ""1"", ""content"": ""饭吃完了该吃我了吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我吃过了啊""}, {""sex"": ""1"", ""content"": ""吃过就好，我这不是担心你饿肚子嘛。""}, {""sex"": ""1"", ""content"": ""吃了什么美食呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起床没""}, {""sex"": ""1"", ""content"": ""等着你的早安吻呢""}, {""sex"": ""1"", ""content"": ""想和你在一张床上一起起床""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""累不累啊""}, {""sex"": ""1"", ""content"": ""累了，需要小仙女帮我按按摩""}, {""sex"": ""1"", ""content"": ""不累，想你有缓解疲惫的功效""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""广撒网""}, {""sex"": ""1"", ""content"": ""我的网里只有你一条鱼。""}, {""sex"": ""1"", ""content"": ""弱水三千，我只想取你这一瓢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我很晚睡的""}, {""sex"": ""1"", ""content"": ""睡太晚隔天会很难受的，还是早点睡好啊。""}, {""sex"": ""1"", ""content"": ""干嘛那么晚睡，有什么事情比睡觉还重要的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃不起了""}, {""sex"": ""1"", ""content"": ""那我带你去看别人吃解解馋吧。""}, {""sex"": ""1"", ""content"": ""我家的大米缸，绝对吃得起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""麻醉""}, {""sex"": ""1"", ""content"": ""打了麻醉就不疼了哦。""}, {""sex"": ""1"", ""content"": ""我已经醉倒在你的美貌里了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪里想啊""}, {""sex"": ""1"", ""content"": ""哪哪都在想你啊。""}, {""sex"": ""1"", ""content"": ""从心里发出来的想念。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""已经醒了""}, {""sex"": ""1"", ""content"": ""醒来第一件事就是来找你的啦。""}, {""sex"": ""1"", ""content"": ""醒得早不如醒的巧啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醒没""}, {""sex"": ""1"", ""content"": ""我好像梦到小仙女来找我了？""}, {""sex"": ""1"", ""content"": ""没醒呢，你要怎么叫醒我呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""腊八到了""}, {""sex"": ""1"", ""content"": ""感觉离春节又更近一步了。""}, {""sex"": ""1"", ""content"": ""腊八都到了，你什么时候到我身边。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这边下雪了""}, {""sex"": ""1"", ""content"": ""下雪会很冷的，你要多穿一点知道吗？""}, {""sex"": ""1"", ""content"": ""好想看看你那边的雪啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我喜欢下雪""}, {""sex"": ""1"", ""content"": ""雪很美啊，女孩子好像都对雪没有抵抗力。""}, {""sex"": ""1"", ""content"": ""我喜欢能跟你在一起的下雪天。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不早咯""}, {""sex"": ""1"", ""content"": ""既然不早了，那你还不快点喜欢上我？""}, {""sex"": ""1"", ""content"": ""那早点休息吧，小仙女还要睡美容觉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""休息。""}, {""sex"": ""1"", ""content"": ""好好休息，记得要梦到我。""}, {""sex"": ""1"", ""content"": ""我已经在对你的想念中休息好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""休息下""}, {""sex"": ""1"", ""content"": ""休息好了就可以继续爱我。""}, {""sex"": ""1"", ""content"": ""休息怎么可以没有我陪呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不来了""}, {""sex"": ""1"", ""content"": ""我只能我去了。""}, {""sex"": ""1"", ""content"": ""那你别后悔啊，我可不赔偿的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃完了吧""}, {""sex"": ""1"", ""content"": ""吃完了，肚子鼓得跟皮球一样。""}, {""sex"": ""1"", ""content"": ""吃完了，但我的肚子好像还有空间。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""傻了""}, {""sex"": ""1"", ""content"": ""你再说我傻，真傻了，你要负责的。""}, {""sex"": ""1"", ""content"": ""傻了正好可以把你拐回家。""}], ""lock"": 1}"
