"{""chat"": [{""sex"": ""1"", ""content"": ""麻烦你把头像删掉""}, {""sex"": ""2"", ""content"": ""为什么?""}, {""sex"": ""1"", ""content"": ""太美，我容易投入感情""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁要你陪""}, {""sex"": ""1"", ""content"": ""我不陪着你，你会寂寞的。""}, {""sex"": ""1"", ""content"": ""其实你是想要我陪你的，只是你不好意思说，对吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还真敢说""}, {""sex"": ""1"", ""content"": ""我说喜欢你有啥不敢的。""}, {""sex"": ""1"", ""content"": ""有啥是我不敢说的呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""跨年约人""}, {""sex"": ""1"", ""content"": ""约我！使劲的约我""}, {""sex"": ""1"", ""content"": ""约人不找我合适吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你骗我呀！""}, {""sex"": ""1"", ""content"": ""骗你干嘛，我像是要骗你的人吗。""}, {""sex"": ""1"", ""content"": ""哪里舍得骗你这么可爱的人啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你休想骗我""}, {""sex"": ""1"", ""content"": ""骗你干嘛呀，我又不是那种骗你的人。""}, {""sex"": ""1"", ""content"": ""我才不会骗我家宝贝呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛?""}, {""sex"": ""1"", ""content"": ""还能干嘛，等你这个美女找我呗。""}, {""sex"": ""1"", ""content"": ""在回复一个美女呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛那""}, {""sex"": ""1"", ""content"": ""还能干嘛，就是想你呗。""}, {""sex"": ""1"", ""content"": ""上一秒在上厕所，这一秒在和女神聊天""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小哥哥你在干嘛""}, {""sex"": ""1"", ""content"": ""在等一个可爱的小姐姐问我在干嘛呢。""}, {""sex"": ""1"", ""content"": ""没干嘛，就是等小姐姐翻我牌子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要找我吗""}, {""sex"": ""1"", ""content"": ""对啊，不找你我还能找谁啊。""}, {""sex"": ""1"", ""content"": ""就是想找到这么好看的你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在想我""}, {""sex"": ""1"", ""content"": ""知道就好，不要说出来啊，我会害羞。""}, {""sex"": ""1"", ""content"": ""那你想不想我呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我会打你的""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱，来打我吧。""}, {""sex"": ""1"", ""content"": ""打吧，打坏了你就负责一辈子""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡够了啊""}, {""sex"": ""1"", ""content"": ""我还以为你是怎么睡都睡不够呢""}, {""sex"": ""1"", ""content"": ""终于睡够啦，那就起来活动活动筋骨吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是哟""}, {""sex"": ""1"", ""content"": ""是不是，你来试试就知道了。""}, {""sex"": ""1"", ""content"": ""当然是喜欢你的啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是吗是吗""}, {""sex"": ""1"", ""content"": ""像我这样的好男人，会骗你吗？""}, {""sex"": ""1"", ""content"": ""你过来试试不就知道是不是。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那是为什么呢""}, {""sex"": ""1"", ""content"": ""人生哪里有那么多为什么啊。""}, {""sex"": ""1"", ""content"": ""不知道，反正就是这样。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁是你小宝贝""}, {""sex"": ""1"", ""content"": ""谁说这句话，谁就是我的小宝贝。""}, {""sex"": ""1"", ""content"": ""只能是你，不能是其他人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是男人啊""}, {""sex"": ""1"", ""content"": ""男人怎么了，不都是人嘛。""}, {""sex"": ""1"", ""content"": ""你这是在瞧不起男人的意思吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是会说话""}, {""sex"": ""1"", ""content"": ""嘻嘻，我就说说腻比较行。""}, {""sex"": ""1"", ""content"": ""没办法，也就是说的比较多一些，""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是说了""}, {""sex"": ""1"", ""content"": ""好好好，我说了，是我记性不好不记得了。""}, {""sex"": ""1"", ""content"": ""难道我的记忆力开始衰退了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是我是你啊""}, {""sex"": ""1"", ""content"": ""我？怎么可能是我呢？""}, {""sex"": ""1"", ""content"": ""我怎么就整不明白呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你生气就生气吧""}, {""sex"": ""1"", ""content"": ""连我生气都不管，太绝情了吧！""}, {""sex"": ""1"", ""content"": ""我生气了你不是应该哄我一下吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你才不是""}, {""sex"": ""1"", ""content"": ""我怎么不是了，我可是你的真命天子。""}, {""sex"": ""1"", ""content"": ""就算现在不是，以后也会是你的男朋友的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也是个人才""}, {""sex"": ""1"", ""content"": ""多谢夸奖，本来想把我的才气藏起来的，不料被你发现了。""}, {""sex"": ""1"", ""content"": ""那你缺不缺有才有料的男朋友呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说我是猪呗""}, {""sex"": ""1"", ""content"": ""猪猪的样子，真的好看呢。""}, {""sex"": ""1"", ""content"": ""你要是猪，那我岂不是喜欢猪了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我可是很乖的""}, {""sex"": ""1"", ""content"": ""是不是那种又乖又可爱的？""}, {""sex"": ""1"", ""content"": ""那必须的，乖的让我爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认真吗""}, {""sex"": ""1"", ""content"": ""我认不认真你还看不出来吗。""}, {""sex"": ""1"", ""content"": ""是不是谁先认真谁就输了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么那么好看""}, {""sex"": ""1"", ""content"": ""这种事情你得去问问上帝。""}, {""sex"": ""1"", ""content"": ""难道我不能这么好看吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""叫什么名字呀""}, {""sex"": ""1"", ""content"": ""叫名字我觉得太生疏了，所以你可以给我想一个昵称哦""}, {""sex"": ""1"", ""content"": ""叫什么名字其实不是很重要，毕竟以后会有其他的称呼呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那怎么办呀""}, {""sex"": ""1"", ""content"": ""还能怎么办就这么办呗""}, {""sex"": ""1"", ""content"": ""反正都是办，办着就好啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋回事""}, {""sex"": ""1"", ""content"": ""我也不懂怎么回事，感觉就是喜欢的自然反应""}, {""sex"": ""1"", ""content"": ""想要知道吗？这边扫码付款后可以了解。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我该怎么回你""}, {""sex"": ""1"", ""content"": ""听从你的内心，你的心会告诉你该怎么回我的。""}, {""sex"": ""1"", ""content"": ""不知道怎么回那就亲我一下就好啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么不回我消息""}, {""sex"": ""1"", ""content"": ""我正在思想怎么说想你才好呢。""}, {""sex"": ""1"", ""content"": ""遇到美女一时半会儿缓不过就没有回。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在忙什么？""}, {""sex"": ""1"", ""content"": ""忙着为我们的未来生活努力呢。""}, {""sex"": ""1"", ""content"": ""这不是忙着回复你嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么这样说呢""}, {""sex"": ""1"", ""content"": ""那你想我怎么说才比较合适呢？""}, {""sex"": ""1"", ""content"": ""因为我仰慕你很久了女神。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想买什么""}, {""sex"": ""1"", ""content"": ""我想买你心里的位置！""}, {""sex"": ""1"", ""content"": ""不是我想买什么，是我能买什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想干什么？""}, {""sex"": ""1"", ""content"": ""我什么都没干，只是在等你的信息而已""}, {""sex"": ""1"", ""content"": ""想干什么也需要经过你的允许啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想我什么？""}, {""sex"": ""1"", ""content"": ""我就只是在想你而已啦。""}, {""sex"": ""1"", ""content"": ""想你这个人啊，我还能想什么呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么那么可爱呀""}, {""sex"": ""1"", ""content"": ""被小仙女夸可爱有点开心哈哈哈""}, {""sex"": ""1"", ""content"": ""你要是夸我帅气的话，我会更开心哈哈哈""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么起那么早啊""}, {""sex"": ""1"", ""content"": ""睡不着啊，心里一直想着你""}, {""sex"": ""1"", ""content"": ""一日之计在于晨，所以就起得早啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你早点睡""}, {""sex"": ""1"", ""content"": ""不要，我还想和你一起熬夜呢。""}, {""sex"": ""1"", ""content"": ""那得保证能梦到你，那我就早点睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么说呢""}, {""sex"": ""1"", ""content"": ""摸着你的良心和我说。""}, {""sex"": ""1"", ""content"": ""你想怎么说就怎么说，我听着。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怪不得嘴那么甜""}, {""sex"": ""1"", ""content"": ""嘴必须是这么甜好不好！""}, {""sex"": ""1"", ""content"": ""甜甜的，你难道不喜欢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没有什么问题""}, {""sex"": ""1"", ""content"": ""真的吗，真的一点问题都没有吗？""}, {""sex"": ""1"", ""content"": ""没问题就好，要是有问题一定要第一时间告诉我哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在想什么事情""}, {""sex"": ""1"", ""content"": ""我在想怎么样才可以把你给娶回家。""}, {""sex"": ""1"", ""content"": ""事情那么多，我想也得想半天呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早睡好""}, {""sex"": ""1"", ""content"": ""是啊，早睡早起才会健康。""}, {""sex"": ""1"", ""content"": ""那你是不是要向我学习呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你能帮我什么""}, {""sex"": ""1"", ""content"": ""只要是我能做到的，我一定尽力去做。""}, {""sex"": ""1"", ""content"": ""我能帮你找到一个男朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么不开心的""}, {""sex"": ""1"", ""content"": ""一想到你不在我身边，我就不开心了。""}, {""sex"": ""1"", ""content"": ""看不到你，我就不开心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你希望我叫你什么""}, {""sex"": ""1"", ""content"": ""我想让你叫什么你都会如我所愿吗？""}, {""sex"": ""1"", ""content"": ""我希望你叫我哥哥，更希望你叫我老公""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你了解""}, {""sex"": ""1"", ""content"": ""我当然了解，有关你的事我都了解""}, {""sex"": ""1"", ""content"": ""只要足够用心就会了解""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不用了解了""}, {""sex"": ""1"", ""content"": ""可是，我真的想多了解了解你啊""}, {""sex"": ""1"", ""content"": ""不了解你怎么行呢！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""来了宝贝""}, {""sex"": ""1"", ""content"": ""再不来，我就要闹上天了。""}, {""sex"": ""1"", ""content"": ""来得这么晚，亲一口作为补偿。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认真就输了""}, {""sex"": ""1"", ""content"": ""那我从一开始就输了。""}, {""sex"": ""1"", ""content"": ""我不怕输，我只怕你不要我的真心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快老了""}, {""sex"": ""1"", ""content"": ""明明是貌美如花的小仙女，哪里会老了。""}, {""sex"": ""1"", ""content"": ""不要愁老之将至，你老了一定很可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还是把我删了吧""}, {""sex"": ""1"", ""content"": ""我怎么可能舍得把你给删了呢。""}, {""sex"": ""1"", ""content"": ""删谁都不敢把您给删了呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么不删""}, {""sex"": ""1"", ""content"": ""不想删不舍得删我就不删。""}, {""sex"": ""1"", ""content"": ""删掉还要加回来，为什么要多此一举呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""恋爱了""}, {""sex"": ""1"", ""content"": ""我知道啊，我们不是一直在恋爱嘛。""}, {""sex"": ""1"", ""content"": ""你终于可以知道甜甜的恋爱是什么味道的了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我睡了哦""}, {""sex"": ""1"", ""content"": ""睡吧，我会在梦里找到你的。""}, {""sex"": ""1"", ""content"": ""我等你睡着了，我再睡免得你被坏人拐跑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认错了""}, {""sex"": ""1"", ""content"": ""老婆老婆你怎么会有错呢，是我错了是我错""}, {""sex"": ""1"", ""content"": ""如果认错有用的话，为啥还需要警察叔叔呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""分手很久了""}, {""sex"": ""1"", ""content"": ""那你应该已经从上一段感情里走出来了吧。""}, {""sex"": ""1"", ""content"": ""分手了是好事啊，说明他只是你生命中的过客，你终究会遇到属于你的另一半的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱上我了吗""}, {""sex"": ""1"", ""content"": ""不爱上你，我来见你干嘛。""}, {""sex"": ""1"", ""content"": ""你要对你的魅力有信心好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""退网""}, {""sex"": ""1"", ""content"": ""退网可以，但人必须留下。""}, {""sex"": ""1"", ""content"": ""把你家地址给我，不然我上哪里找人去？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我又没喝醉""}, {""sex"": ""1"", ""content"": ""没喝醉就好，不然我都不能照顾到你。""}, {""sex"": ""1"", ""content"": ""我这是担心你喝醉了啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""他不爱我了""}, {""sex"": ""1"", ""content"": ""正好你可以换我来爱你。""}, {""sex"": ""1"", ""content"": ""他不爱，我爱可以吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪里合适了""}, {""sex"": ""1"", ""content"": ""哪里不合适了呢！""}, {""sex"": ""1"", ""content"": ""我感觉哪哪都合适。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""药不好吃""}, {""sex"": ""1"", ""content"": ""良药苦口啊，哪能好吃啊。""}, {""sex"": ""1"", ""content"": ""你把药吃了，我给你甜甜的糖。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""气死我了""}, {""sex"": ""1"", ""content"": ""你可千万不要被我气死呀。""}, {""sex"": ""2"", ""content"": ""嗯？""}, {""sex"": ""1"", ""content"": ""被气死了，世界上就少了一个小可爱了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑死了。""}, {""sex"": ""1"", ""content"": ""别啊，你要是笑死了我就没你了。""}, {""sex"": ""1"", ""content"": ""仙女的笑点原来这么低啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""午睡醒了""}, {""sex"": ""1"", ""content"": ""这么早就醒啦？我以为你还要睡好久呢。""}, {""sex"": ""1"", ""content"": ""睡醒没见到我是不是觉得很失落。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不早不早""}, {""sex"": ""1"", ""content"": ""看来下次我要再早一点才行啊""}, {""sex"": ""1"", ""content"": ""也不晚，刚刚好对不对？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你太早了""}, {""sex"": ""1"", ""content"": ""因为要第一个跟你说早安""}, {""sex"": ""1"", ""content"": ""不早了，你不也起了吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不去。""}, {""sex"": ""1"", ""content"": ""真的不去吗？过了这个村就没有这个店了噢，再给你一次机会。""}, {""sex"": ""1"", ""content"": ""你不去的话会错失很多有趣的事，你可想清楚了哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想想得了""}, {""sex"": ""1"", ""content"": ""我不但要想而且 还要行动！""}, {""sex"": ""1"", ""content"": ""心动不如行动啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可能我老了""}, {""sex"": ""1"", ""content"": ""不会啊，你还长得这么好看。""}, {""sex"": ""1"", ""content"": ""老了我也一样喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你傻我不傻""}, {""sex"": ""1"", ""content"": ""我只是在做个喜欢你的傻瓜""}, {""sex"": ""1"", ""content"": ""傻傻的喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没钱用啊""}, {""sex"": ""1"", ""content"": ""没钱用的时候建议你多多努力！""}, {""sex"": ""1"", ""content"": ""所以才需要努力赚钱不是吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我不聊了""}, {""sex"": ""1"", ""content"": ""你是怕再聊下去你会控制不住的喜欢上我吗？""}, {""sex"": ""1"", ""content"": ""不聊的话岂不是要无聊死。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨天太困了睡着了""}, {""sex"": ""1"", ""content"": ""下次困了早点告诉我，我就可以早点跟你说晚安了""}, {""sex"": ""1"", ""content"": ""睡得好吗，昨晚睡得早今天应该精神很好吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""死气沉沉""}, {""sex"": ""1"", ""content"": ""怎么能死气沉沉呢，这样怎么度过美好的一天？""}, {""sex"": ""1"", ""content"": ""不要死气沉沉，要活力满满才可以呀！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是想气死我吗""}, {""sex"": ""1"", ""content"": ""我怎么敢啊，怎么敢气死你这个小可爱啊。""}, {""sex"": ""1"", ""content"": ""你这么漂亮我怎么敢气死你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃我一脚""}, {""sex"": ""1"", ""content"": ""佛山无影脚？！""}, {""sex"": ""1"", ""content"": ""我怕有点吃不消你这一脚啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是每个人都一样""}, {""sex"": ""1"", ""content"": ""确实不是，每个人都是特别的""}, {""sex"": ""1"", ""content"": ""要是每个人都一样那倒是一件糟糕的事了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲，早安""}, {""sex"": ""1"", ""content"": ""早安，来亲一口。""}, {""sex"": ""1"", ""content"": ""早上好呀，睡得可好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""长得安全""}, {""sex"": ""1"", ""content"": ""长得安全不代表你人安全知道不。""}, {""sex"": ""1"", ""content"": ""但是你很容易让我犯罪知道不。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我缺少安全感""}, {""sex"": ""1"", ""content"": ""那我就给你所有的安全感。""}, {""sex"": ""1"", ""content"": ""安全感从来不缺少你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""安全感的句子""}, {""sex"": ""1"", ""content"": ""安全感，是尘埃落定的安稳，是不离不弃的笃信。""}, {""sex"": ""1"", ""content"": ""“归属感”是你强烈地想和他在一起，“安全感”是你觉得他强烈地想和你在一起。""}, {""sex"": ""1"", ""content"": ""一个人能够，并且应该让自己做到的，不是感到安全，而是能够接纳不安全的现实。""}, {""sex"": ""1"", ""content"": ""一个人能够，并且让自己做到的，不是感到安全，而是能够接纳不安全的现实。""}, {""sex"": ""1"", ""content"": ""唯有以理解为基石，以宽容为立柱，以珍惜为墙壁，以满足为装饰，两颗心住在里面才会安全。""}, {""sex"": ""1"", ""content"": ""生病的时候有人陪，闷的时候有人说话，哭的时候有个肩膀，回家的时候有张笑脸面对，这就是我所需要的安全感。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""陪你再聊聊""}, {""sex"": ""1"", ""content"": ""你这是要聊动我的心吗！""}, {""sex"": ""1"", ""content"": ""那我们再聊聊人生吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想认识一下""}, {""sex"": ""1"", ""content"": ""那我们就认识一下吧。""}, {""sex"": ""1"", ""content"": ""除了认识就没有其他的了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨天睡得太晚了""}, {""sex"": ""1"", ""content"": ""今天变身瞌睡虫仙女了吗？""}, {""sex"": ""1"", ""content"": ""那下次咱们早点睡好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就吃一点点""}, {""sex"": ""1"", ""content"": ""你的一点点能不能自己比划一下？！""}, {""sex"": ""1"", ""content"": ""我这一碗在你眼里也是一点点吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天请假""}, {""sex"": ""1"", ""content"": ""那你准备去做点什么？""}, {""sex"": ""1"", ""content"": ""请假真的是一件很快乐的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一直胖""}, {""sex"": ""1"", ""content"": ""肉肉的很可爱呀。""}, {""sex"": ""1"", ""content"": ""胖点好，这样你就是只属于我一个人的了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""猪猪男孩""}, {""sex"": ""1"", ""content"": ""那跟你这个猪猪女孩岂不是很般配。""}, {""sex"": ""1"", ""content"": ""那我一定是全世界最帅气的猪猪男孩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""穷鬼一个""}, {""sex"": ""1"", ""content"": ""二十几岁不就是穷困潦倒的年纪吗？""}, {""sex"": ""1"", ""content"": ""大家都不是富二代，谁还不是个穷鬼呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你为什么天天找我聊天""}, {""sex"": ""1"", ""content"": ""天天找你说明我喜欢你啊，你这都不懂吗？""}, {""sex"": ""1"", ""content"": ""我也不知道，就是觉得跟你聊天很开心，很想要多跟你待在一起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""天气还行""}, {""sex"": ""1"", ""content"": ""天气好的时候感觉心情也很好""}, {""sex"": ""1"", ""content"": ""一定是托你的福天气才会这么好的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打麻将了""}, {""sex"": ""1"", ""content"": ""我手气很好的，要不要我来帮你。""}, {""sex"": ""1"", ""content"": ""小仙女还会打麻将啊，那你教我打好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一束花""}, {""sex"": ""1"", ""content"": ""果然小仙女的行情就是好，还能收到小花花呢""}, {""sex"": ""1"", ""content"": ""一定是一束玫瑰花，对吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人不好吗？""}, {""sex"": ""1"", ""content"": ""没有你就是不好。""}, {""sex"": ""1"", ""content"": ""多一个人难道不好吗？""}], ""lock"": 1}"
