"{""chat"": [{""sex"": ""1"", ""content"": ""你好，请问 XX 路是不是在这坐""}, {""sex"": ""2"", ""content"": ""是的""}, {""sex"": ""1"", ""content"": ""哇，一出门就碰上好人了，上次问路一个丑丑的女人都不理我，看来外表和内在果然是成正比的""}, {""sex"": ""2"", ""content"": ""哈哈~""}, {""sex"": ""1"", ""content"": ""我对这边不怎么熟，等下万一迷路遇不到你这样的好人就麻烦了，善良 妹子,要不留个电话给我就可以随时问你路了，你号码多少呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""?你这种人在电视里只能活两集?""}, {""sex"": ""1"", ""content"": ""算命的告诉我，这辈子只能和漂亮活好的女人在一起""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""劝你少发自拍，害我啥也没干光盯着你照片看了两小时。""}, {""sex"": ""1"", ""content"": ""hi,你朋友圈的那碗鸡汤我喝了。""}, {""sex"": ""1"", ""content"": ""翻到你分享的那首歌，最近都是我的单曲循环。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""Hi,我有个问题想问一下女生意见，女孩子一般是先贴睫毛还是先涂眼影的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得我好看吗""}, {""sex"": ""1"", ""content"": ""好看啊，难道有人比你好看的吗？""}, {""sex"": ""1"", ""content"": ""你不是好看，你是非常的漂亮。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你在等等吧""}, {""sex"": ""1"", ""content"": ""我一定会等到你喜欢我的。""}, {""sex"": ""1"", ""content"": ""等待是一种好习惯，而且还是等你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等我等我""}, {""sex"": ""1"", ""content"": ""我都站着等你了好不好。""}, {""sex"": ""1"", ""content"": ""那你快点，我蹲着等你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""找妈妈""}, {""sex"": ""1"", ""content"": ""我把我的妈妈分给你好不好？""}, {""sex"": ""1"", ""content"": ""找到你了，你就是我以后孩子的妈妈。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你妈妈没教你吗""}, {""sex"": ""1"", ""content"": ""我妈教我要找你这样的媳妇。""}, {""sex"": ""1"", ""content"": ""我妈很忙的，要不你来教我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那是你以为的""}, {""sex"": ""1"", ""content"": ""难道我以为的就不是事实吗？""}, {""sex"": ""1"", ""content"": ""就算是我以为，那也是有依据的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""信你？""}, {""sex"": ""1"", ""content"": ""我这么老实巴交，你不信我还信谁？""}, {""sex"": ""1"", ""content"": ""放心吧，我不会告诉别人你在偷偷喜欢我的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猪吗""}, {""sex"": ""1"", ""content"": ""对啊，喜欢你的小猪猪。""}, {""sex"": ""1"", ""content"": ""你见过这么帅气的猪吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喝酒吗？""}, {""sex"": ""1"", ""content"": ""那得看你有没有故事了。""}, {""sex"": ""1"", ""content"": ""你想灌醉我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你上班吗""}, {""sex"": ""1"", ""content"": ""不上班，你来养我吗？""}, {""sex"": ""1"", ""content"": ""正在为我们的未来奋斗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪呢哪呢""}, {""sex"": ""1"", ""content"": ""当当当当，在我这儿呢""}, {""sex"": ""1"", ""content"": ""傻瓜，在你心里呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你良心呢""}, {""sex"": ""1"", ""content"": ""在你心里呢，你摸一下感受感受。""}, {""sex"": ""1"", ""content"": ""良心是什么，能吃吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""跟你真像""}, {""sex"": ""1"", ""content"": ""那也只是像而已，又不是我。""}, {""sex"": ""1"", ""content"": ""那就像而已，啥时候你见我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么陪""}, {""sex"": ""1"", ""content"": ""陪吃，陪喝，陪玩，陪....嘻嘻""}, {""sex"": ""1"", ""content"": ""你想让我怎么陪呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想陪你""}, {""sex"": ""1"", ""content"": ""嘤嘤嘤，你怎么能说出如此绝情的话。""}, {""sex"": ""1"", ""content"": ""你不想陪我也没事，我陪着你就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要约我""}, {""sex"": ""1"", ""content"": ""那看你要不要约会咯。""}, {""sex"": ""1"", ""content"": ""好的，我有什么理由不去约你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛？""}, {""sex"": ""1"", ""content"": ""想知道我在干嘛？""}, {""sex"": ""2"", ""content"": ""是啊""}, {""sex"": ""1"", ""content"": ""要不要直接来看看我在干嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛？""}, {""sex"": ""1"", ""content"": ""我在干嘛你是不知道吗？""}, {""sex"": ""2"", ""content"": ""不知道啊。""}, {""sex"": ""1"", ""content"": ""除了想你还是想你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛，""}, {""sex"": ""1"", ""content"": ""在给世界上最漂亮的女人回消息""}, {""sex"": ""1"", ""content"": ""网上说，“在干嘛”=“想你了”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就你会夸我""}, {""sex"": ""1"", ""content"": ""夸一夸仙女难道不可以吗？""}, {""sex"": ""1"", ""content"": ""我这不是在夸你，我是在说一个事实。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在撩我？""}, {""sex"": ""1"", ""content"": ""撩你只是方法，和你在一起才是目的""}, {""sex"": ""1"", ""content"": ""是我撩你还不够明显吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你来撩我""}, {""sex"": ""1"", ""content"": ""我怕把你撩的心花怒放怎么办。""}, {""sex"": ""1"", ""content"": ""那你准备好心被我撩了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里想""}, {""sex"": ""1"", ""content"": ""心里想什么都可以跟我说的哦，不用觉得不好意思""}, {""sex"": ""1"", ""content"": ""我的心里想的全是你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢喝水吗""}, {""sex"": ""1"", ""content"": ""喜欢啊，而且还喜欢一半的你。""}, {""sex"": ""1"", ""content"": ""不喜欢，我喜欢喝汽水。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我真喜欢你""}, {""sex"": ""1"", ""content"": ""那不然还有假喜欢我吗？""}, {""sex"": ""1"", ""content"": ""那你会喜欢我一辈子吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱你哟~""}, {""sex"": ""1"", ""content"": ""比心！""}, {""sex"": ""1"", ""content"": ""这么可爱不太好吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哟哟切克闹""}, {""sex"": ""1"", ""content"": ""煎饼果子来一套。""}, {""sex"": ""1"", ""content"": ""你是今天这么调皮还是总是这么可爱？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好像也是""}, {""sex"": ""1"", ""content"": ""不是好像，本来就是。""}, {""sex"": ""1"", ""content"": ""我好像也喜欢上你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也忙""}, {""sex"": ""1"", ""content"": ""忙来忙去都是为了我们的将来。""}, {""sex"": ""1"", ""content"": ""再忙也不能忽略你呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我等你哦""}, {""sex"": ""1"", ""content"": ""好哦，我不会让你等太久的。""}, {""sex"": ""1"", ""content"": ""被人等待的感觉可真好啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还在等""}, {""sex"": ""1"", ""content"": ""慢慢等，不用太着急哦""}, {""sex"": ""1"", ""content"": ""这效率也太低了吧，让小仙女等这么久""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢我什么喜欢我哪里""}, {""sex"": ""1"", ""content"": ""喜欢你就不是喜欢你哪里，是喜欢你全部！""}, {""sex"": ""1"", ""content"": ""喜欢你就是喜欢你，没有因为别的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我很烦人""}, {""sex"": ""1"", ""content"": ""没事，我愿意被你烦。""}, {""sex"": ""1"", ""content"": ""你要是不烦人，我还不喜欢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有你就是幸福""}, {""sex"": ""1"", ""content"": ""我的幸福都是与你相关。""}, {""sex"": ""1"", ""content"": ""那我们就一直幸福下去吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是呀？""}, {""sex"": ""1"", ""content"": ""是呀是呀，你说的难道有不对的时候嘛？""}, {""sex"": ""1"", ""content"": ""是呀，你是全世界最可爱的小仙女了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也是啊""}, {""sex"": ""1"", ""content"": ""是你的终究是你的，所以我终究会是你的。""}, {""sex"": ""1"", ""content"": ""我怎么感觉你有一点失望呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就算是吧""}, {""sex"": ""1"", ""content"": ""你这回答模棱两可可不行，是就是不是就不是。""}, {""sex"": ""1"", ""content"": ""你这样回答让我觉得有点不妙啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是这样""}, {""sex"": ""1"", ""content"": ""这个结果我觉得有点出乎意料。""}, {""sex"": ""1"", ""content"": ""就只是这样，不觉得有点遗憾吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是是是对对对""}, {""sex"": ""1"", ""content"": ""你这态度也太敷衍了吧。""}, {""sex"": ""1"", ""content"": ""你这是高度赞同我嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""原来是这样呀""}, {""sex"": ""1"", ""content"": ""你的小脑瓜子是不是想多了？""}, {""sex"": ""1"", ""content"": ""对呀，你不要胡思乱想。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是自恋""}, {""sex"": ""1"", ""content"": ""自恋怎么了，我有自恋的资本。""}, {""sex"": ""1"", ""content"": ""那我这是先替你爱我自己啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这个是什么""}, {""sex"": ""1"", ""content"": ""你猜，猜对了有奖励的哟。""}, {""sex"": ""1"", ""content"": ""你觉得是什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁是你宝贝了""}, {""sex"": ""1"", ""content"": ""谁问的谁就是。""}, {""sex"": ""1"", ""content"": ""是你，还是你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是男孩子""}, {""sex"": ""1"", ""content"": ""你是女孩子，这我知道的。""}, {""sex"": ""1"", ""content"": ""难道你不喜欢男孩子？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""倒也是""}, {""sex"": ""1"", ""content"": ""要是说得不对怎么能说服你嘛。""}, {""sex"": ""1"", ""content"": ""我什么时候说过不靠谱的话了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也是哦""}, {""sex"": ""1"", ""content"": ""我就说你是小笨蛋吧。""}, {""sex"": ""1"", ""content"": ""这下知道了吧，以后有不明白的都可以问我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不是困吗""}, {""sex"": ""1"", ""content"": ""犯困了！准备好做梦梦到你了。""}, {""sex"": ""1"", ""content"": ""但是和你聊天就来精神了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你已经疯了""}, {""sex"": ""1"", ""content"": ""对啊，得了不想你就会疯的病！""}, {""sex"": ""1"", ""content"": ""做个只喜欢你的疯子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还是不说了吧""}, {""sex"": ""1"", ""content"": ""说呗，你要是不说我怎么知道啊。""}, {""sex"": ""1"", ""content"": ""我们之间还有什么是不能说的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干嘛啦？""}, {""sex"": ""1"", ""content"": ""没干嘛啊，当然是想你啦。""}, {""sex"": ""1"", ""content"": ""我还能干嘛啊，除了喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是傻狗""}, {""sex"": ""1"", ""content"": ""那也是帅气的傻狗！""}, {""sex"": ""1"", ""content"": ""傻狗喜欢你了，咋滴！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是嘛""}, {""sex"": ""1"", ""content"": ""你不是，你是最特别的""}, {""sex"": ""1"", ""content"": ""是你呀，你终于发现是你啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是该睡觉了""}, {""sex"": ""1"", ""content"": ""嗯嗯，是应该做梦梦到你的时候了。""}, {""sex"": ""1"", ""content"": ""但是我还没和你好好聊会儿天呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈哈是的呢""}, {""sex"": ""1"", ""content"": ""笑得这么温柔，我要是心动了可怎么办？""}, {""sex"": ""1"", ""content"": ""能认识你这个宝藏女孩我实在是太幸运了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你说你是谁""}, {""sex"": ""1"", ""content"": ""我是谁不重要，重要的是我喜欢你呀。""}, {""sex"": ""1"", ""content"": ""我是一个很想认识你的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯真的""}, {""sex"": ""1"", ""content"": ""既然你都说是真的了，那我就相信你。""}, {""sex"": ""1"", ""content"": ""嗯嗯，小仙女肯定不会骗我的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我连你是谁我都不知道""}, {""sex"": ""1"", ""content"": ""原来你想知道我是谁啊""}, {""sex"": ""1"", ""content"": ""我准备了一大段自我介绍，正准备展示呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是猪。""}, {""sex"": ""1"", ""content"": ""你比猪好看，我知道。""}, {""sex"": ""1"", ""content"": ""可是猪还没有你能吃啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是啊""}, {""sex"": ""1"", ""content"": ""那你怎么能迅速占领我的心""}, {""sex"": ""1"", ""content"": ""那你是什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在暗示我吗""}, {""sex"": ""1"", ""content"": ""我正在努力的暗示呢。""}, {""sex"": ""1"", ""content"": ""你猜，猜对了我就告诉你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我把你当兄弟，你竟然想泡我[捂脸]""}, {""sex"": ""1"", ""content"": ""这不是泡你，这是升华革命友谊！""}, {""sex"": ""1"", ""content"": ""泡一泡感情更好！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是头猪""}, {""sex"": ""1"", ""content"": ""而且还是拱了白菜的猪。""}, {""sex"": ""1"", ""content"": ""这么帅气的猪，哪里找啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么？""}, {""sex"": ""1"", ""content"": ""为什么为什么，你是十万个为什么吗？""}, {""sex"": ""2"", ""content"": ""你才是。""}, {""sex"": ""1"", ""content"": ""不是所有事都需要追根究底的，知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么你这么好""}, {""sex"": ""1"", ""content"": ""我的好只给你一个人。""}, {""sex"": ""1"", ""content"": ""没有什么为什么，喜欢一个人就是想对她好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么可爱呀""}, {""sex"": ""1"", ""content"": ""不可爱怎么配的上你这个小可爱啊。""}, {""sex"": ""1"", ""content"": ""可爱吗？感觉还没你可爱呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干什么""}, {""sex"": ""1"", ""content"": ""我没在干什么，只想知道你找我干什么""}, {""sex"": ""1"", ""content"": ""我干什么都是围绕着你干的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那算什么""}, {""sex"": ""1"", ""content"": ""你觉得算什么就算什么。""}, {""sex"": ""1"", ""content"": ""我从来没有想过就这么算了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么跟什么呀""}, {""sex"": ""1"", ""content"": ""你跟我呀，我喜欢你呀，听不懂就算啦。""}, {""sex"": ""1"", ""content"": ""你说说你这么笨，我该拿你怎么办？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没说什么呀""}, {""sex"": ""1"", ""content"": ""那你准备说些什么了吗？""}, {""sex"": ""1"", ""content"": ""你可以说喜欢了，我可以抗住的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么回复""}, {""sex"": ""1"", ""content"": ""你心里想怎么回复就怎么回复。""}, {""sex"": ""1"", ""content"": ""那还不是得看你想要怎么回复我啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么要说的""}, {""sex"": ""1"", ""content"": ""那你想听我说什么呢？""}, {""sex"": ""1"", ""content"": ""那就说喜欢我好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么还没睡？""}, {""sex"": ""1"", ""content"": ""我正在等你一句晚安呢。""}, {""sex"": ""1"", ""content"": ""你都没睡，我怎么睡啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么没发现？""}, {""sex"": ""1"", ""content"": ""我藏在你心里怎么会让你轻易的发现呢。""}, {""sex"": ""1"", ""content"": ""你猜，猜对了我就告诉你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在做什么?""}, {""sex"": ""1"", ""content"": ""我正在给一个小仙女发消息呢。""}, {""sex"": ""1"", ""content"": ""我正在想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么办才好""}, {""sex"": ""1"", ""content"": ""凉拌最好了。""}, {""sex"": ""1"", ""content"": ""还能怎么办，喜欢我啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我好想你，怎么办呢""}, {""sex"": ""1"", ""content"": ""还能怎么办，继续想我。""}, {""sex"": ""1"", ""content"": ""我比你还更想你，你说我又该怎么办。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么了嘛""}, {""sex"": ""1"", ""content"": ""只是太想你了，却见不到你，很难过。""}, {""sex"": ""1"", ""content"": ""真羡慕每天跟你擦肩而过的人啊，我连见你都是一种奢求。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么能这样说呢""}, {""sex"": ""1"", ""content"": ""怎么了嘛，我没说错呀。""}, {""sex"": ""1"", ""content"": ""不能这么说嘛，那你觉得要怎么说才对。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要我怎么回答""}, {""sex"": ""1"", ""content"": ""你想要怎么回答就怎么回答啊。""}, {""sex"": ""1"", ""content"": ""心里怎么想的就怎么回答。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么都不开心""}, {""sex"": ""1"", ""content"": ""没有你在，我怎么开心啊。""}, {""sex"": ""1"", ""content"": ""因为身边没有你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么开心""}, {""sex"": ""1"", ""content"": ""小小的人啊，穷开心啊。""}, {""sex"": ""1"", ""content"": ""总得开心一下才满意啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""寻开心""}, {""sex"": ""1"", ""content"": ""开心这么多怎么就寻找到我了。""}, {""sex"": ""1"", ""content"": ""开心都是与你有关。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不怎么样""}, {""sex"": ""1"", ""content"": ""难道你就没看到我身上的优点吗？""}, {""sex"": ""1"", ""content"": ""你竟然觉得我不怎么样，太伤我心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么想我呢""}, {""sex"": ""1"", ""content"": ""因为喜欢你，自然要想你啦。""}, {""sex"": ""1"", ""content"": ""什么时候我想你还需要理由了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼你""}, {""sex"": ""1"", ""content"": ""现在我遇到一个难题。""}, {""sex"": ""1"", ""content"": ""什么难题？""}, {""sex"": ""1"", ""content"": ""我未来女朋友在问要怎么称呼我，你说叫什么好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想我怎么称呼""}, {""sex"": ""1"", ""content"": ""要不就称呼我为官人吧""}, {""sex"": ""1"", ""content"": ""你觉得有哪些称呼适合我呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没那么爱我了""}, {""sex"": ""1"", ""content"": ""我怎么会没那么爱你呢。""}, {""sex"": ""1"", ""content"": ""我反正是不可能不爱你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你为什么这么好""}, {""sex"": ""1"", ""content"": ""这不是为了让你爱上我吗！""}, {""sex"": ""1"", ""content"": ""我有你才算真的好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你怎么想的""}, {""sex"": ""1"", ""content"": ""我要的是你心里有我，把我当重点""}, {""sex"": ""1"", ""content"": ""想要你以你最爱的方式对我""}], ""lock"": 1}"
