"{""chat"": [{""sex"": ""1"", ""content"": ""我觉得你应该赔偿我""}, {""sex"": ""2"", ""content"": ""为啥？""}, {""sex"": ""1"", ""content"": ""你的眼睛会放电，把我电蒙了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你就等吧""}, {""sex"": ""1"", ""content"": ""我会等到你的到来。""}, {""sex"": ""1"", ""content"": ""等着等着，就等到你的喜欢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说的都是实话""}, {""sex"": ""1"", ""content"": ""当然，我向来不说谎话的。""}, {""sex"": ""1"", ""content"": ""说实话，你真的是我最喜欢的女孩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老壳给你打爆，你信不信？""}, {""sex"": ""1"", ""content"": ""我信，我有啥不信的呢？！""}, {""sex"": ""1"", ""content"": ""那你信不信地球会毁灭。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""娶我回家""}, {""sex"": ""1"", ""content"": ""收到！保证完成任务""}, {""sex"": ""1"", ""content"": ""放心吧，我一定会把你娶回家的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你干嘛呢。""}, {""sex"": ""1"", ""content"": ""在想你什么时候有空跟我聊天呢。""}, {""sex"": ""1"", ""content"": ""在等一个小仙女给我发消息。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你干嘛呢""}, {""sex"": ""1"", ""content"": ""我正在等待一个小仙女和我说“你干嘛呢”""}, {""sex"": ""1"", ""content"": ""这不是在和这么好看的你聊天嘛！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不敢来""}, {""sex"": ""1"", ""content"": ""有啥是我不敢的呢！""}, {""sex"": ""1"", ""content"": ""你看我敢不敢！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看电影了""}, {""sex"": ""1"", ""content"": ""电影院好不容易复工，看电影却要隔座，太惨了吧""}, {""sex"": ""1"", ""content"": ""看什么电影呀，给我推荐呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你眼瞎啊""}, {""sex"": ""1"", ""content"": ""对啊，瞎了眼才喜欢你这么久！""}, {""sex"": ""1"", ""content"": ""我是瞎了眼，分不清什么是我喜欢的人和我爱的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱滚不滚""}, {""sex"": ""1"", ""content"": ""没学过，你教我呗。""}, {""sex"": ""1"", ""content"": ""滚你心里吗？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛你""}, {""sex"": ""1"", ""content"": ""还能干嘛没事就偷偷想你呗。""}, {""sex"": ""1"", ""content"": ""在想着怎么回我的女神消息""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛。""}, {""sex"": ""1"", ""content"": ""在给世界上最漂亮的女人发信息啊""}, {""sex"": ""1"", ""content"": ""没干嘛，只不过在望着你的照片发呆而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛呢""}, {""sex"": ""1"", ""content"": ""对我在干嘛那么好奇吗""}, {""sex"": ""2"", ""content"": ""说吧，你背着我做啥呢""}, {""sex"": ""1"", ""content"": ""你自己来看看不就知道了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不嫁给你""}, {""sex"": ""1"", ""content"": ""那没办法，我只能娶你了。""}, {""sex"": ""1"", ""content"": ""那这辈子你就不要想嫁人了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""夸你啊""}, {""sex"": ""1"", ""content"": ""夸没用，你应该给点实质性的东西""}, {""sex"": ""1"", ""content"": ""再夸我，我怕飞上天呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""给你个机会夸夸我""}, {""sex"": ""1"", ""content"": ""我才不要夸你，我说的都是实话。""}, {""sex"": ""1"", ""content"": ""你本来就这么好，还需要我来夸你吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没有夸你""}, {""sex"": ""1"", ""content"": ""哎呀，夸我就夸我嘛，不要觉得不好意思。""}, {""sex"": ""1"", ""content"": ""不管，我就当你是在夸我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你追呀""}, {""sex"": ""1"", ""content"": ""那你可别为难我哦。""}, {""sex"": ""1"", ""content"": ""追你你也得好好配合我呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我身高168""}, {""sex"": ""1"", ""content"": ""那正好是我喜欢的身高呢。""}, {""sex"": ""1"", ""content"": ""看看和我搭一下是不是很配。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里堵""}, {""sex"": ""1"", ""content"": ""快放我进你心里，我帮你通一通""}, {""sex"": ""1"", ""content"": ""一定是我太胖了，所以卡在你心里了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你心里面的""}, {""sex"": ""1"", ""content"": ""不就是你嘛？""}, {""sex"": ""1"", ""content"": ""你在我心里，还问我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我爱你哟""}, {""sex"": ""1"", ""content"": ""果然女追男隔层纱，我被你拿下了""}, {""sex"": ""1"", ""content"": ""不行，我要爱你比你爱我多一点！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要等我""}, {""sex"": ""1"", ""content"": ""我会等你的，多久我都会等""}, {""sex"": ""1"", ""content"": ""嗯嗯，但是你不可以让我等太久哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是帅哥""}, {""sex"": ""1"", ""content"": ""是啊，而且还是个很帅很帅的帅哥。""}, {""sex"": ""1"", ""content"": ""帅又不能当饭吃，再帅也都是会老去的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你男的女的？""}, {""sex"": ""1"", ""content"": ""你来试试不就知道，我是男是女了。""}, {""sex"": ""1"", ""content"": ""男的，货真价实的男人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得是什么意思""}, {""sex"": ""1"", ""content"": ""我要是知道也不会这么疑惑了""}, {""sex"": ""1"", ""content"": ""我觉得你对我有意思""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""疯子""}, {""sex"": ""1"", ""content"": ""还不是因为爱上了你""}, {""sex"": ""1"", ""content"": ""疯子是为了你而疯的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是想干嘛""}, {""sex"": ""1"", ""content"": ""不想干嘛，就想好好看着你。""}, {""sex"": ""1"", ""content"": ""你闭上眼，我就告诉你我要干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是干嘛""}, {""sex"": ""1"", ""content"": ""没干嘛，我才不会告诉你我这是在想你呢。""}, {""sex"": ""1"", ""content"": ""你猜呀，在干一件很有趣的事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是嘛！""}, {""sex"": ""1"", ""content"": ""当然不是，随口这么一说而已""}, {""sex"": ""1"", ""content"": ""我说的绝对是的好吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是干嘛的呢""}, {""sex"": ""1"", ""content"": ""我是来喜欢你的，你不知道吗。""}, {""sex"": ""1"", ""content"": ""你猜猜我是干嘛的，猜对了有奖""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是嘛？""}, {""sex"": ""1"", ""content"": ""当然不是啦，你怎么会这么想呢？""}, {""sex"": ""1"", ""content"": ""是呀，小仙女怎么这么聪明呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你傻还是我傻""}, {""sex"": ""1"", ""content"": ""大家一起傻。""}, {""sex"": ""1"", ""content"": ""这个，那个，你傻！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是的呢，""}, {""sex"": ""1"", ""content"": ""小仙女好温柔，我要沦陷了。""}, {""sex"": ""1"", ""content"": ""感觉你心情很好哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我应该怎么回答""}, {""sex"": ""1"", ""content"": ""你应该顺从自己的内心的想法来做这个回答。""}, {""sex"": ""1"", ""content"": ""你别说话，我就想静静的看你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是我老了吗""}, {""sex"": ""1"", ""content"": ""你怎么可能会老呢！这辈子都不会""}, {""sex"": ""1"", ""content"": ""老了吗？明明还是个十八岁的仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯嗯嗯嗯嗯嗯嗯""}, {""sex"": ""1"", ""content"": ""这么多个嗯，我提前收集起来，下次问你就可以直接当做你同意啦。""}, {""sex"": ""1"", ""content"": ""这么激动嘛？看来小仙女心情还不错。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是人""}, {""sex"": ""1"", ""content"": ""我难道长得不像人吗？""}, {""sex"": ""1"", ""content"": ""我有什么地方让你觉得我不是个人？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你才是猪！""}, {""sex"": ""1"", ""content"": ""你见过这么帅气的猪吗！""}, {""sex"": ""1"", ""content"": ""那你就是猪婆！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不是忙吗？""}, {""sex"": ""1"", ""content"": ""是在忙，但是也不可以因为忙就忽略了你呀。""}, {""sex"": ""1"", ""content"": ""跟你比起来，忙什么都不重要了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁都不想""}, {""sex"": ""1"", ""content"": ""其他人你可以不想，但你得想想我""}, {""sex"": ""1"", ""content"": ""难道你就不想我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是猪吧""}, {""sex"": ""1"", ""content"": ""那也是只可爱的小猪猪。""}, {""sex"": ""1"", ""content"": ""那我是喜欢上猪了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不是我喜欢的类型""}, {""sex"": ""1"", ""content"": ""你也不是我喜欢的类型。""}, {""sex"": ""2"", ""content"": ""这样啊……""}, {""sex"": ""1"", ""content"": ""但你却是我喜欢的那个人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""黑暗""}, {""sex"": ""1"", ""content"": ""你就是黑暗中的一束光，指引我前行""}, {""sex"": ""1"", ""content"": ""熬过了黑夜就是黎明，所以不要害怕黑暗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你才是猪呢！""}, {""sex"": ""1"", ""content"": ""我要是猪的，那你就是被猪拱的白菜！""}, {""sex"": ""1"", ""content"": ""你见过如此帅气迷人的猪吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""午安么么哒""}, {""sex"": ""1"", ""content"": ""午安！想和你在梦里接着么么哒！""}, {""sex"": ""1"", ""content"": ""你一句么么哒，我瞬间就清醒了！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么这么说？""}, {""sex"": ""1"", ""content"": ""因为我想跟你发生点什么啊。""}, {""sex"": ""1"", ""content"": ""我都暗示的这么明显了，你还不懂？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么好的嘛""}, {""sex"": ""1"", ""content"": ""我没这么好，不然怎么配得上你呢。""}, {""sex"": ""1"", ""content"": ""再好有你才是真的好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么可爱的吗""}, {""sex"": ""1"", ""content"": ""必须是这么可爱的。""}, {""sex"": ""1"", ""content"": ""你都这么可爱，得配得上你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么了。""}, {""sex"": ""1"", ""content"": ""没怎么，就是想试试你好不好惹。""}, {""sex"": ""1"", ""content"": ""你亲我一口我就告诉你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要等你""}, {""sex"": ""1"", ""content"": ""那你为什么不要等我嗯？""}, {""sex"": ""1"", ""content"": ""麻烦你等等我，我马上就到。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没那么厉害""}, {""sex"": ""1"", ""content"": ""那怎么把我迷的不要不要的。""}, {""sex"": ""1"", ""content"": ""你要是那么厉害的话，我怎么活。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请我吃什么""}, {""sex"": ""1"", ""content"": ""当然是吃一些你喜欢吃的东西啦。""}, {""sex"": ""1"", ""content"": ""你愿意吃什么，我就给你做什么呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么滴啦""}, {""sex"": ""1"", ""content"": ""难道不是你做了什么吗""}, {""sex"": ""1"", ""content"": ""我也不知道怎么滴啦，就是想找你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好笑么""}, {""sex"": ""1"", ""content"": "" 不好笑，但是总是想嘴角上扬。""}, {""sex"": ""1"", ""content"": ""那还不是因为你笑起来那么好看啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚""}, {""sex"": ""1"", ""content"": ""不晚，只要那个人是你一点都不晚""}, {""sex"": ""1"", ""content"": ""原本我是要睡了，突然想到你还没有给我发信息，所以我在等你""}, {""sex"": ""1"", ""content"": ""我在等一个问我怎么不睡的人""}, {""sex"": ""1"", ""content"": ""成年人的夜晚，总是失眠""}, {""sex"": ""1"", ""content"": ""没关系，我知道你会出现的""}, {""sex"": ""1"", ""content"": ""这才是成年人的生活""}, {""sex"": ""1"", ""content"": ""没办法，搬砖嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你要干什么""}, {""sex"": ""1"", ""content"": ""我想跟你谈恋爱。""}, {""sex"": ""1"", ""content"": ""没干什么，就是跟我的小仙女说会话。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想我怎么样""}, {""sex"": ""1"", ""content"": ""我还能想你怎么样，当然是娶你啦""}, {""sex"": ""1"", ""content"": ""我想让你喜欢上我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡那么早干嘛""}, {""sex"": ""1"", ""content"": ""睡得着身体好，而且还能早点梦到你。""}, {""sex"": ""1"", ""content"": ""你都不陪我聊天，我不睡还能干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不会这么巧吧""}, {""sex"": ""1"", ""content"": ""这都是天意啊！""}, {""sex"": ""1"", ""content"": ""就是这么巧，缘分。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""实在太忙了""}, {""sex"": ""1"", ""content"": ""没事呀，工作比较重要，我不想影响你。""}, {""sex"": ""1"", ""content"": ""在忙什么呢，需要我的帮忙吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""误会什么？""}, {""sex"": ""1"", ""content"": ""误会我对你的感情了，我对你不是朋友之间的感情。""}, {""sex"": ""1"", ""content"": ""我喜欢你啊，我怕你误以为我不喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""忘记什么""}, {""sex"": ""1"", ""content"": ""什么都会忘记，但就是不会忘记你""}, {""sex"": ""1"", ""content"": ""没什么呀，只要你不要忘记我就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你叫?""}, {""sex"": ""1"", ""content"": ""请叫我老公。""}, {""sex"": ""1"", ""content"": ""叫什么不重要，重要的是我要叫你什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我该叫你什么""}, {""sex"": ""1"", ""content"": ""老公，亲爱的？""}, {""sex"": ""1"", ""content"": ""不管叫我什么，只要我是你身边人就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好好了解""}, {""sex"": ""1"", ""content"": ""了解了之后你会给我机会吗""}, {""sex"": ""1"", ""content"": ""了解是一个由浅入深的过程。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你咋了呀""}, {""sex"": ""1"", ""content"": ""没事，就是看到喜欢的人有点心动。""}, {""sex"": ""1"", ""content"": ""我在看你，你问我咋了、""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""舒服了""}, {""sex"": ""1"", ""content"": ""舒服就好，我可不想看到你难受""}, {""sex"": ""1"", ""content"": ""以后要是不舒服就告诉我，我来帮你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃不了""}, {""sex"": ""1"", ""content"": ""没想到吃货居然还有吃不下的时候啊。""}, {""sex"": ""1"", ""content"": ""你的小肚子已经让我看出来吃不下了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想你了睡不着""}, {""sex"": ""1"", ""content"": ""都是我不好，害你连觉都睡不好。""}, {""sex"": ""1"", ""content"": ""下次乖乖睡觉，睡醒了再想我好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉了，困了""}, {""sex"": ""1"", ""content"": ""为什么你不在我身边？不然就可以睡在我怀里了。""}, {""sex"": ""1"", ""content"": ""晚安，早点睡才不会长痘痘。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你删了我吧。。""}, {""sex"": ""1"", ""content"": ""我怎么舍得把最爱的人删除？""}, {""sex"": ""1"", ""content"": ""我不会删你的，我要跟你藕断丝连。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""飘吧""}, {""sex"": ""1"", ""content"": ""我要是飘太远了，你记得把我拽回来啊""}, {""sex"": ""1"", ""content"": ""不飘不飘，我要好好留在你身边""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也不算吧""}, {""sex"": ""1"", ""content"": ""不算吗，我觉得没有什么争议才对。""}, {""sex"": ""1"", ""content"": ""不管算不算，我们之间都是你说了算。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我真睡了""}, {""sex"": ""1"", ""content"": ""那我是不是可以去梦里找你了。""}, {""sex"": ""1"", ""content"": ""难不成还有假睡的吗？!""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这个问题我回答不了""}, {""sex"": ""1"", ""content"": ""没有回答不了的问题，只是你不愿意承认罢了。""}, {""sex"": ""1"", ""content"": ""让你为难了，你只要知道我会一直在就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""报名字""}, {""sex"": ""1"", ""content"": ""在下姓老，名公！""}, {""sex"": ""1"", ""content"": ""名字什么的只是我遇见你的一个代号罢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要分手了""}, {""sex"": ""1"", ""content"": ""下一个更好，下一个更乖！""}, {""sex"": ""1"", ""content"": ""分手就分手，没缘分的就会离开。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""累不累""}, {""sex"": ""1"", ""content"": ""虽然我很累，但是我不说。""}, {""sex"": ""2"", ""content"": ""你已经说了。""}, {""sex"": ""1"", ""content"": ""那你知道我累了会给我按摩吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可爱的我来了""}, {""sex"": ""1"", ""content"": ""那我就接住这么可爱的你。""}, {""sex"": ""1"", ""content"": ""你来了，我心里就安稳多了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不记得了""}, {""sex"": ""1"", ""content"": ""年纪轻轻记性就这么差，老了可怎么办？""}, {""sex"": ""1"", ""content"": ""竟然忘记了，我要生气了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我已经醉了""}, {""sex"": ""1"", ""content"": ""你这是给我一个照顾你的机会吗。""}, {""sex"": ""1"", ""content"": ""醉了，你还有啥不敢说的呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想哪去了""}, {""sex"": ""1"", ""content"": ""当然是想到会让你脸红的地方去了啊""}, {""sex"": ""1"", ""content"": ""你没想怎么知道我想什么地方了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""已经走了""}, {""sex"": ""1"", ""content"": ""走了也没告诉我一生，让我有点不知所措""}, {""sex"": ""1"", ""content"": ""没关系，走了还会再回来的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做梦嘛""}, {""sex"": ""1"", ""content"": ""梦得做，万一成了现实呢。""}, {""sex"": ""1"", ""content"": ""梦里有你，当然得做啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝酒吗？""}, {""sex"": ""1"", ""content"": ""喝了醉倒在你怀里的那种嘛？""}, {""sex"": ""1"", ""content"": ""女孩子还是少喝一点酒好，知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天不喝酒""}, {""sex"": ""1"", ""content"": ""不喝酒就好，不然醉了我都不能带你回家。""}, {""sex"": ""1"", ""content"": ""不止今天不喝酒，以后也不喝酒知道吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班说""}, {""sex"": ""1"", ""content"": ""等待下班的时间更加难熬了。""}, {""sex"": ""1"", ""content"": ""嗯嗯，那等你下班了给我发消息。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我生病""}, {""sex"": ""1"", ""content"": ""怎么生病了呢，有没有去看医生？""}, {""sex"": ""1"", ""content"": ""这种天气稍不注意就会生病，你要好好照顾自己。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一般人都哄不好""}, {""sex"": ""1"", ""content"": ""我是二班的，不是一般的。""}, {""sex"": ""1"", ""content"": ""我的职责就是把你哄好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不一定呢""}, {""sex"": ""1"", ""content"": ""这么不肯定的嘛，难道还有什么其他安排？""}, {""sex"": ""1"", ""content"": ""可不可以把不一定变成一定？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""帮我砍一下""}, {""sex"": ""1"", ""content"": ""礼尚往来，亲一下砍一下。""}, {""sex"": ""1"", ""content"": ""一天天砍砍杀杀，对社会太不美好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""洗洗头""}, {""sex"": ""1"", ""content"": ""能顺带帮我洗洗吗。""}, {""sex"": ""1"", ""content"": ""一般女生洗头都死要出门见小哥哥了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谢谢你一直的陪伴""}, {""sex"": ""1"", ""content"": ""接下来就还你陪我了。""}, {""sex"": ""1"", ""content"": "" 我会一直陪下去的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识一下吗""}, {""sex"": ""1"", ""content"": ""可以呀，小仙女的名字是什么呢""}, {""sex"": ""1"", ""content"": ""当然，能认识小仙女我真的好开心""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""能认识一下?""}, {""sex"": ""1"", ""content"": ""你这么直接，我怎么好意思拒绝呢""}, {""sex"": ""1"", ""content"": ""来吧，就从你是谁，你从哪里来，要去哪里开始认识吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""蔡徐坤行为""}, {""sex"": ""1"", ""content"": ""缓缓打出一个问号，蔡徐坤行为是什么行为？""}, {""sex"": ""1"", ""content"": ""我是对蔡徐坤无感的人，不粉不黑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不将就""}, {""sex"": ""1"", ""content"": ""人生就一回，怎能将就过？""}, {""sex"": ""1"", ""content"": ""没有人能逼你将就，你只管做自己就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你再说什么""}, {""sex"": ""1"", ""content"": ""好话不说第二遍，你要是没听见就算了。""}, {""sex"": ""1"", ""content"": ""说喜欢你呗，又装傻。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一直都在。""}, {""sex"": ""1"", ""content"": ""你长驻我心，从未觉得你离去分秒。""}, {""sex"": ""1"", ""content"": ""有你在，我真的是三生有幸啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想一下""}, {""sex"": ""1"", ""content"": ""这不就是想到你了吗？""}, {""sex"": ""1"", ""content"": ""想你这么大可爱还真的不容易啊。""}], ""lock"": 1}"
