"{""chat"": [{""sex"": ""1"", ""content"": ""你好……请问附近有个星巴克，你知道在哪里么？""}, {""sex"": ""2"", ""content"": ""知道/不知道""}, {""sex"": ""1"", ""content"": ""很谢谢你……你在这里逛街啊，我朋友还没有来。我觉得你人特别好，如果有机会的话，应该一起坐坐，喝杯咖啡，我们说不定能成为不错的朋友""}, {""sex"": ""2"", ""content"": ""(给出回应）""}, {""sex"": ""1"", ""content"": ""我一会儿就要去找朋友了，希望能再见到你，不如我们交换个联系方式吧！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想都别想""}, {""sex"": ""1"", ""content"": ""人总要想的，不然就和咸鱼有啥区别。""}, {""sex"": ""1"", ""content"": ""你说不想就不想，我多没面子啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看电视咯""}, {""sex"": ""1"", ""content"": ""是看电视里的小哥哥吧""}, {""sex"": ""1"", ""content"": ""电视有什么好看的，我们一起去看电影吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你眼睛瞎""}, {""sex"": ""1"", ""content"": ""我眼睛瞎怎么会看上这么好的你呢。""}, {""sex"": ""1"", ""content"": ""心眼没瞎就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可以滚""}, {""sex"": ""1"", ""content"": ""我不啊，我是那种说滚就滚的人吗？""}, {""sex"": ""1"", ""content"": ""你当我是球啊，还能滚来滚去的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我就咬你""}, {""sex"": ""1"", ""content"": ""咬吧，反正我就是被你咬的。""}, {""sex"": ""1"", ""content"": ""那我得去医院看看了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""把你咬痛呢？""}, {""sex"": ""1"", ""content"": ""这是给我做记号又不是干嘛。""}, {""sex"": ""1"", ""content"": ""我的存在不就给你咬咬的吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请你吃饭。""}, {""sex"": ""1"", ""content"": ""什么时候这么好心请我吃饭了？""}, {""sex"": ""1"", ""content"": ""走吧，我一定要吃饱""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你会撩妹吗""}, {""sex"": ""1"", ""content"": ""撩妹我不会，倒是会撩你。""}, {""sex"": ""1"", ""content"": ""会也不教你，免得你学了去撩别人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我超爱你""}, {""sex"": ""1"", ""content"": ""没有我爱你那么爱我吧。""}, {""sex"": ""1"", ""content"": ""有你这句话我死不足惜了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""[哦][哦]""}, {""sex"": ""1"", ""content"": ""你好冷淡，我有点不知所措。""}, {""sex"": ""1"", ""content"": ""下次再回哦我就亲你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哎哟哎哟""}, {""sex"": ""1"", ""content"": ""你怎么不好好走路，都摔到我心里来了。""}, {""sex"": ""1"", ""content"": ""还能叫得这么大声，看来没什么事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有毛病？""}, {""sex"": ""1"", ""content"": ""难不成你能治好我的毛病？""}, {""sex"": ""1"", ""content"": ""你这样误诊，我会告你的！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""福""}, {""sex"": ""1"", ""content"": ""福到好运到。""}, {""sex"": ""1"", ""content"": ""让我们一起走向幸福吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是欠打""}, {""sex"": ""1"", ""content"": ""我不欠打，但我欠吻。""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱，你打我就是爱我的表现。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""本来就是啊！""}, {""sex"": ""1"", ""content"": ""好好好，小仙女说是我哪敢反驳啊。""}, {""sex"": ""1"", ""content"": ""你也是，你本来也是我喜欢的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是缘分吗""}, {""sex"": ""1"", ""content"": ""难道这不是缘分吗？""}, {""sex"": ""1"", ""content"": ""缘分就是这么妙不可言啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是男人?""}, {""sex"": ""1"", ""content"": ""你看我哪点不像是男人了。""}, {""sex"": ""1"", ""content"": ""难道你想试试我是不是男人？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""疯狗""}, {""sex"": ""1"", ""content"": ""那也是因为喜欢你才变疯的。""}, {""sex"": ""1"", ""content"": ""那你就是疯婆子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说是吧""}, {""sex"": ""1"", ""content"": ""小仙女说的是。""}, {""sex"": ""1"", ""content"": ""是啊，女朋友大人说是就是。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是吧！""}, {""sex"": ""1"", ""content"": ""你可是小仙女，是不是都是你说了算呀！""}, {""sex"": ""1"", ""content"": ""是的！你就是我喜欢的人！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是鸟""}, {""sex"": ""1"", ""content"": ""你不是鸟，你是天使""}, {""sex"": ""1"", ""content"": ""你是小仙女呀，也会飞""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这不是我""}, {""sex"": ""1"", ""content"": ""那你发你自己的照片给我看看。""}, {""sex"": ""1"", ""content"": ""不是你吗，那哪个是你啊？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""应该是吧！""}, {""sex"": ""1"", ""content"": ""请把应该去掉，给我一个肯定的回答。""}, {""sex"": ""1"", ""content"": ""不应该啊，这不符合逻辑发展。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不该喜欢我""}, {""sex"": ""1"", ""content"": ""喜欢没有应不应该，心动了就是心动了""}, {""sex"": ""1"", ""content"": ""我确实不该喜欢你，我应该爱你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是在夸我吗？""}, {""sex"": ""1"", ""content"": ""难道我不像是在夸你的吗！""}, {""sex"": ""1"", ""content"": ""你这种小仙女就应该夸。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯嗯，我会的""}, {""sex"": ""1"", ""content"": ""嗯嗯，我也相信你会的。""}, {""sex"": ""1"", ""content"": ""干巴爹，可不能让我失望哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不会是我吧""}, {""sex"": ""1"", ""content"": ""不是你还能是谁？""}, {""sex"": ""1"", ""content"": ""别怀疑了，就是你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你不是吗""}, {""sex"": ""1"", ""content"": ""难道我看起来很像吗？""}, {""sex"": ""1"", ""content"": ""我当然不是了，这误会也太大了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不是知道吗""}, {""sex"": ""1"", ""content"": ""你都没有告诉我，我被蒙在鼓里了。""}, {""sex"": ""1"", ""content"": ""我竟然是最后一个知道的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是你的小猪猪""}, {""sex"": ""1"", ""content"": ""我会保护好我的小猪猪的。""}, {""sex"": ""1"", ""content"": ""小猪猪你这么可爱，你家人知道吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么是真的""}, {""sex"": ""1"", ""content"": ""我喜欢你这件事就是真的啊。""}, {""sex"": ""1"", ""content"": ""对你的心，一直都是真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可能是我吗""}, {""sex"": ""1"", ""content"": ""你这么好，怎么不是你呢。""}, {""sex"": ""1"", ""content"": ""为什么不可能是你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们是不可能的""}, {""sex"": ""1"", ""content"": ""话别说这么早，一切皆有可能。""}, {""sex"": ""1"", ""content"": ""对，我们是不可能分开的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是想笑啊""}, {""sex"": ""1"", ""content"": ""笑吧，我怕把你给憋出内伤。""}, {""sex"": ""1"", ""content"": ""笑一笑，十年少。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么好么""}, {""sex"": ""1"", ""content"": ""对啊，就是这么的好！""}, {""sex"": ""1"", ""content"": ""你这么好真的是一件很幸运的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你叫什么啊～""}, {""sex"": ""1"", ""content"": ""我叫“你老公”你也可以加我“老公”""}, {""sex"": ""1"", ""content"": ""你连你男朋友叫什么都不知道吗！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋这么好""}, {""sex"": ""1"", ""content"": ""没办法就是这么好啊。""}, {""sex"": ""1"", ""content"": ""难道这么好有啥不可以的吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么好聊的？""}, {""sex"": ""1"", ""content"": ""没什么好聊才聊，不然问题大了""}, {""sex"": ""1"", ""content"": ""聊聊我们的人生大事吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么可以这么说""}, {""sex"": ""1"", ""content"": ""好好好，那我不说了""}, {""sex"": ""1"", ""content"": ""难道不可以这么说吗，我哪里说错了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想看什么""}, {""sex"": ""1"", ""content"": ""想看一些好看的呀。""}, {""sex"": ""1"", ""content"": ""你给我看什么，我就看什么咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我应该说点什么""}, {""sex"": ""1"", ""content"": ""喜欢说什么就和我说些什么咯。""}, {""sex"": ""1"", ""content"": ""你心里想说什么就说什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还不知道吃什么呢""}, {""sex"": ""1"", ""content"": ""那得看你想吃什么咯""}, {""sex"": ""1"", ""content"": ""吃我好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么开心怎么来""}, {""sex"": ""1"", ""content"": ""那我是不是可以为所欲为？""}, {""sex"": ""1"", ""content"": ""只要有你陪着，怎么样我都觉得开心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不忙么""}, {""sex"": ""1"", ""content"": ""忙啊，忙着跟你聊天呢""}, {""sex"": ""1"", ""content"": ""我看人忙不忙的，像你我从来都不忙""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么不一样？""}, {""sex"": ""1"", ""content"": ""你的美丽能和那些俗人一样吗。""}, {""sex"": ""1"", ""content"": ""仙女怎么可能和凡人一样呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么笑""}, {""sex"": ""1"", ""content"": ""跟喜欢的人聊天会忍不住想笑。""}, {""sex"": ""1"", ""content"": ""因为心情很好呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你开什么玩笑呢""}, {""sex"": ""1"", ""content"": ""像我这样的人是不会轻易开玩笑的""}, {""sex"": ""1"", ""content"": ""我没开玩笑，你没看到我的认真吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干什么？""}, {""sex"": ""1"", ""content"": ""想知道天上下来的小仙女是不是都像你这么可爱美丽""}, {""sex"": ""1"", ""content"": ""不想干么，只想让你知道我想你了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一起工作""}, {""sex"": ""1"", ""content"": ""跟你一起工作，工作都变得快乐了""}, {""sex"": ""1"", ""content"": ""我们一起工作肯定能够把工作做得很出色""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你干啥醒那么早？""}, {""sex"": ""1"", ""content"": ""醒的早点就可以去想你多一点。""}, {""sex"": ""1"", ""content"": ""早睡早起，身体好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这个怎么说呢？""}, {""sex"": ""1"", ""content"": ""想说什么就怎么说。""}, {""sex"": ""1"", ""content"": ""反正你说什么我都会听进去的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好玩的""}, {""sex"": ""1"", ""content"": ""以后我们一起去很多好玩的地方玩好不好？""}, {""sex"": ""1"", ""content"": ""好玩的都给你玩，好吃的都给你吃，我要把你宠成小公主。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看见什么""}, {""sex"": ""1"", ""content"": ""我看见了你啊，我还能看见啥。""}, {""sex"": ""1"", ""content"": ""看到这么好看的你，我还能看啥啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想有什么用""}, {""sex"": ""1"", ""content"": ""想着想着心里就甜了一整天。""}, {""sex"": ""1"", ""content"": ""想你就可以努力奋斗的工作！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么时候来找我吃饭""}, {""sex"": ""1"", ""content"": ""等你有空的时候，我就来。""}, {""sex"": ""1"", ""content"": ""你想我什么时候来找你吃饭呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么不一样？""}, {""sex"": ""1"", ""content"": ""我喜欢你和别人喜欢你不一样！""}, {""sex"": ""1"", ""content"": ""你和别人不一样。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我是你什么人""}, {""sex"": ""1"", ""content"": ""你就是我的女神、梦中情人、我最爱的人。""}, {""sex"": ""1"", ""content"": ""你是我未来老婆啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好了(●°u°●)??」""}, {""sex"": ""1"", ""content"": ""收拾的这么快？看来会是个贤内助呢。""}, {""sex"": ""1"", ""content"": ""终于好啦，我的花差点都要凋谢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还不睡了""}, {""sex"": ""1"", ""content"": ""主要是想你想得太难入睡了。""}, {""sex"": ""1"", ""content"": ""主要是想找你聊聊天，所以没想这么早睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""互删好吗""}, {""sex"": ""1"", ""content"": ""不行，我可舍不得把喜欢的人删掉。""}, {""sex"": ""1"", ""content"": ""删了我你会对我念念不忘的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我又睡了""}, {""sex"": ""1"", ""content"": ""睡神啊你！""}, {""sex"": ""1"", ""content"": ""仙女难道也这么爱睡觉吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我错过你了""}, {""sex"": ""1"", ""content"": ""错过了就错过了，回不去的。""}, {""sex"": ""1"", ""content"": ""要是没错过该有多好啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我买了奶茶""}, {""sex"": ""1"", ""content"": ""看来最近的减肥计划泡汤了。""}, {""sex"": ""1"", ""content"": ""奶茶真的是让人欲罢不能。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怕吃多吃胖了""}, {""sex"": ""1"", ""content"": ""没事长胖了我也喜欢。""}, {""sex"": ""1"", ""content"": ""我妈说胖点的女孩子比较好养。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天晚了""}, {""sex"": ""1"", ""content"": ""是不是昨晚没有早点睡呀？""}, {""sex"": ""1"", ""content"": ""看来下次我要叫你起床，免得你睡过头了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡觉了，晚安""}, {""sex"": ""1"", ""content"": ""晚安安，在梦里等我。""}, {""sex"": ""1"", ""content"": ""睡个好觉，做个好梦，晚安。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨晚很晚才睡""}, {""sex"": ""1"", ""content"": ""一定是想我想得失眠了吧。""}, {""sex"": ""1"", ""content"": ""下次可别再那么晚睡了，对皮肤不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很晚不想睡""}, {""sex"": ""1"", ""content"": ""你这是想和我聊一晚上啊！""}, {""sex"": ""1"", ""content"": ""都让你别想我了，这下又睡不着了！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不吃药""}, {""sex"": ""1"", ""content"": ""良药苦口，你想不想明天出去玩啊。""}, {""sex"": ""1"", ""content"": ""你是不是都把药吃完了，现在没药吃了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你才没吃药""}, {""sex"": ""1"", ""content"": ""那你一定是吃错药了。""}, {""sex"": ""1"", ""content"": ""对呀，我又没病当然不用吃药了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快吃药""}, {""sex"": ""1"", ""content"": ""你喂我吃好不好？""}, {""sex"": ""1"", ""content"": ""你才是能治好我的药啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡醒了？""}, {""sex"": ""1"", ""content"": ""只要一想到你，我就能笑着醒来""}, {""sex"": ""1"", ""content"": ""喜欢你的我，不醒来想你还能干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""到家了呀""}, {""sex"": ""1"", ""content"": ""到了就要告诉我嘛，不然我会担心。""}, {""sex"": ""1"", ""content"": ""到了就好，快好好休息一下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早( ^_^)／""}, {""sex"": ""1"", ""content"": ""你早上起床的时候，太阳帮我跟你说早安了吗""}, {""sex"": ""1"", ""content"": ""早呀，小仙女，昨天是不是做了个美梦呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起了""}, {""sex"": ""1"", ""content"": ""我还以为你这只小懒猪要睡到日上三竿呢。""}, {""sex"": ""1"", ""content"": ""起来了该吃早饭啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起不起""}, {""sex"": ""1"", ""content"": ""不起不起，躺着太舒服了""}, {""sex"": ""1"", ""content"": ""好啦，再五分钟，五分钟后肯定起""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我早起了""}, {""sex"": ""1"", ""content"": ""是不是梦里没我所以起那么早？""}, {""sex"": ""1"", ""content"": ""起了也不给我发消息，我还以为你沉睡在梦乡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我喝不了酒""}, {""sex"": ""1"", ""content"": ""那就不喝酒，喝饮料喝奶茶都可以""}, {""sex"": ""1"", ""content"": ""不喝酒挺好的，这样我也不用担心你喝多了身体不舒服""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喝酒了吗""}, {""sex"": ""1"", ""content"": ""太想你了，所以要解酒消愁。""}, {""sex"": ""1"", ""content"": ""喝了一点点，想醉你怀里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯，下班了""}, {""sex"": ""1"", ""content"": ""美丽的人已经下班，丑的人还在加班""}, {""sex"": ""1"", ""content"": ""恭喜你又解脱了一天""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不尬聊""}, {""sex"": ""1"", ""content"": ""我们之间不存在尬聊的。""}, {""sex"": ""1"", ""content"": ""我觉得我们会聊得很愉快的，相信我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""对啊，一个人""}, {""sex"": ""1"", ""content"": ""你也是一个人，我也是一个人""}, {""sex"": ""2"", ""content"": ""是啊""}, {""sex"": ""1"", ""content"": ""我们在一起就是两个人啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一般般。""}, {""sex"": ""1"", ""content"": ""只是一般般吗，那怎么样才算好？""}, {""sex"": ""1"", ""content"": ""小仙女的要求这么高呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不都一样嘛""}, {""sex"": ""1"", ""content"": ""你和别人是一样的嘛！""}, {""sex"": ""1"", ""content"": ""你是我喜欢的人，怎么可能一样""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我和她们不一样""}, {""sex"": ""1"", ""content"": ""你是仙女，她们是凡人。""}, {""sex"": ""1"", ""content"": ""你是我喜欢的人，当然不一样啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯。。""}, {""sex"": ""1"", ""content"": ""我就喜欢你这么乖巧可爱的样子""}, {""sex"": ""1"", ""content"": ""不要一直嗯好嘛，你这不就把天聊死了么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今晚双十一""}, {""sex"": ""1"", ""content"": ""看来你已经准备好了。""}, {""sex"": ""1"", ""content"": ""钱到用时方恨少啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""双十一快乐""}, {""sex"": ""1"", ""content"": ""单身狗的节日当然得快乐！""}, {""sex"": ""1"", ""content"": ""我的快乐不都是与你相关吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一样啦""}, {""sex"": ""1"", ""content"": ""是嘛，跟小仙女一样实在是太有缘了。""}, {""sex"": ""1"", ""content"": ""那你是不是像我喜欢你一样喜欢我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""全世界晚安""}, {""sex"": ""1"", ""content"": ""你不就是我的全世界吗，晚安。""}, {""sex"": ""1"", ""content"": ""晚安，请让我做一个关于你的美梦吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我很没有安全感""}, {""sex"": ""1"", ""content"": ""那我就给你我的安全感。""}, {""sex"": ""1"", ""content"": ""我在你身边，还怕没有安全感吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还在下雨""}, {""sex"": ""1"", ""content"": ""最美的不是下雨天,而是和你一起躲雨的屋檐。""}, {""sex"": ""1"", ""content"": ""正好可以来场下雨天的偶遇。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""外面下雨呢""}, {""sex"": ""1"", ""content"": ""下雨的时候比较适合想念。""}, {""sex"": ""1"", ""content"": ""下雨也不能阻止我来找你吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""初次见面，请多关照""}, {""sex"": ""1"", ""content"": ""这是第一次有美女让我关照她""}, {""sex"": ""1"", ""content"": ""见到你之后的人，有不想关照你的吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识一下吧""}, {""sex"": ""1"", ""content"": ""你好，我的心动对象。""}, {""sex"": ""1"", ""content"": ""恩，是有必要认识一下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认都不认识""}, {""sex"": ""1"", ""content"": ""那不妨可以认识认识咯。""}, {""sex"": ""1"", ""content"": ""认识之后，你就知道了。""}], ""lock"": 1}"
