"{""chat"": [{""sex"": ""1"", ""content"": ""好久不见了，没想到你比以前更漂亮了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""来个华丽的自我介绍跳过我们的陌生感""}, {""sex"": ""2"", ""content"": ""介绍什么?""}, {""sex"": ""1"", ""content"": ""当然是名字，你还想给我介绍身体？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜猜""}, {""sex"": ""1"", ""content"": ""你在想我会不会猜你让我猜的。""}, {""sex"": ""1"", ""content"": ""要是被我猜出来了你不是很没面子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看看你照片咯""}, {""sex"": ""1"", ""content"": ""都是照骗，有啥好看的呢。""}, {""sex"": ""1"", ""content"": ""我怕你看了会受不了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""和妈妈吵架了""}, {""sex"": ""1"", ""content"": ""生活中难免会有磕磕碰碰，别跟妈妈怄气啦。""}, {""sex"": ""1"", ""content"": ""不管谁对谁错，我都会站在你这边的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁信你""}, {""sex"": ""1"", ""content"": ""为什么喜欢的人不相信我的话？""}, {""sex"": ""1"", ""content"": ""你要是不相信我你就是猪。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你会吗？""}, {""sex"": ""1"", ""content"": ""你是在怀疑我的能力吗？""}, {""sex"": ""1"", ""content"": ""会不会要你亲自来试试啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你娶我吧""}, {""sex"": ""1"", ""content"": ""聘礼多少，我先找你爸妈提亲。""}, {""sex"": ""1"", ""content"": ""带上你的户口本，我们走起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你干撒呢""}, {""sex"": ""1"", ""content"": ""在想怎么说喜欢你呢。""}, {""sex"": ""1"", ""content"": ""还能干撒，找你呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""跟你很像""}, {""sex"": ""1"", ""content"": ""是不是我在你心里太重要了，所以你看谁都像我。""}, {""sex"": ""1"", ""content"": ""像我却都不是我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我来陪你""}, {""sex"": ""1"", ""content"": ""我就知道小仙女最好了，谢谢你陪我""}, {""sex"": ""1"", ""content"": ""还好有你陪我，让我觉得心里暖暖的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你敢娶我就敢嫁""}, {""sex"": ""1"", ""content"": ""这是要试试胆量的嘛！""}, {""sex"": ""1"", ""content"": ""我说敢，你信吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""滚蛋吧你""}, {""sex"": ""1"", ""content"": ""那能滚到你怀里吗？""}, {""sex"": ""1"", ""content"": ""万一滚远了就回不来了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请你喝饮料""}, {""sex"": ""1"", ""content"": ""好啊，请我喝可乐就可以了哦""}, {""sex"": ""1"", ""content"": ""你请我喝饮料那我得请你看电影才行""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还挺会撩""}, {""sex"": ""1"", ""content"": ""这都是为了撩你才学习的。""}, {""sex"": ""1"", ""content"": ""再会撩最后撩不动你还是白搭。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我爱你吗？""}, {""sex"": ""1"", ""content"": ""你应该问问你的心。""}, {""sex"": ""1"", ""content"": ""你爱我，我爱你，我们就是相亲相爱了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想找你聊天""}, {""sex"": ""1"", ""content"": ""我很开心你想找我聊天而不是找别人""}, {""sex"": ""1"", ""content"": ""你应该霸气一点说，我要找你聊天""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你来找我玩嘛""}, {""sex"": ""1"", ""content"": ""对啊，专门来找你玩。""}, {""sex"": ""1"", ""content"": ""我一定会好好来找你玩的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想我啦""}, {""sex"": ""1"", ""content"": ""我一天除了呼吸就剩下想你了。""}, {""sex"": ""1"", ""content"": ""我不想你还能想谁啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我就打你""}, {""sex"": ""1"", ""content"": ""你舍得打我吗？""}, {""sex"": ""1"", ""content"": ""打在我身，痛在你心啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""烦烦烦""}, {""sex"": ""1"", ""content"": ""年纪轻轻的你烦什么呢？""}, {""sex"": ""1"", ""content"": ""我现在就是有点担心你的发量问题，天天这么烦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是喔""}, {""sex"": ""1"", ""content"": ""当然是喔，你看，这是我喜欢你的心?。""}, {""sex"": ""1"", ""content"": ""你要是觉得不是的话，我就没收咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是啊！""}, {""sex"": ""1"", ""content"": ""怎么不是，你就是我女朋友。""}, {""sex"": ""1"", ""content"": ""你这么激动，肯定是心里有我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是有多自恋""}, {""sex"": ""1"", ""content"": ""有自恋的资本那就不要浪费了嘛""}, {""sex"": ""1"", ""content"": ""不让我自恋，那你就来做我恋人吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是谁？？？""}, {""sex"": ""1"", ""content"": ""你对我是谁这个问题这么感兴趣吗""}, {""sex"": ""1"", ""content"": ""我是谁不重要，重要的是，我喜欢你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""男人是不是都喜欢女的""}, {""sex"": ""1"", ""content"": ""世界上除了情侣还有一种叫做同性恋。""}, {""sex"": ""1"", ""content"": ""像我这种男人还是喜欢女的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你困了嘛""}, {""sex"": ""1"", ""content"": ""有你在，我精神百倍！""}, {""sex"": ""1"", ""content"": ""你都在我怎么可能犯困呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得我好吗？""}, {""sex"": ""1"", ""content"": ""好啊，想把你娶回家的那种好。""}, {""sex"": ""1"", ""content"": ""要是觉得你不好就不会跟你聊这么多了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是疯子""}, {""sex"": ""1"", ""content"": ""那我就喜欢疯子好了！""}, {""sex"": ""1"", ""content"": ""我刚好喜欢疯子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那是你傻""}, {""sex"": ""1"", ""content"": ""那还不是被你传染的吗！""}, {""sex"": ""1"", ""content"": ""喜欢你之后就变傻了，你得负责。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不，我不是""}, {""sex"": ""1"", ""content"": ""难道是我冤枉你了？""}, {""sex"": ""1"", ""content"": ""那你是什么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是不是特别坏""}, {""sex"": ""1"", ""content"": ""你要是不坏，我还不爱呢。""}, {""sex"": ""1"", ""content"": ""我就是喜欢坏坏的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是的了""}, {""sex"": ""1"", ""content"": ""你这是得有多大的自信""}, {""sex"": ""1"", ""content"": ""那你告诉我，你喜欢我什么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""应该是吧[微笑]""}, {""sex"": ""1"", ""content"": ""你好像很不确定啊""}, {""sex"": ""1"", ""content"": ""我应该也算你男朋友吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就是会说嗯嗯嗯""}, {""sex"": ""1"", ""content"": ""我发现在我现在不会聊天了。""}, {""sex"": ""1"", ""content"": ""听说会说嗯嗯嗯的都是小仙女呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯""}, {""sex"": ""1"", ""content"": ""你这是要表演一下打字速度吗？""}, {""sex"": ""1"", ""content"": ""你这嗯嗯让我有点措手不及了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是你气的""}, {""sex"": ""1"", ""content"": ""是我不好，让小仙女生气，那你原谅我好不好？""}, {""sex"": ""1"", ""content"": ""这说明你很在乎我啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我可真是可怜""}, {""sex"": ""1"", ""content"": ""可讨人喜欢，怜人疼爱""}, {""sex"": ""1"", ""content"": ""所以上帝派我来拯救你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可是我胖啊""}, {""sex"": ""1"", ""content"": ""正好我们现在可以减肥了。""}, {""sex"": ""1"", ""content"": ""哪里胖了明明是刚刚好行不。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早安 么么哒""}, {""sex"": ""1"", ""content"": ""么么哒，我可爱的小仙女""}, {""sex"": ""1"", ""content"": ""早安呀，我是不是要回你一个么么哒呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么为什么""}, {""sex"": ""1"", ""content"": ""为什么月亮这么亮？为什么鱼儿不能上岸？为什么你还不做我女朋友？""}, {""sex"": ""1"", ""content"": ""我也想知道为什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们聊什么""}, {""sex"": ""1"", ""content"": ""聊一下，我们的未来呀。""}, {""sex"": ""1"", ""content"": ""聊什么不重要，重要的是陪你聊天的是我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么乖的嘛""}, {""sex"": ""1"", ""content"": ""对自己喜欢的人一向来都是这么乖。""}, {""sex"": ""1"", ""content"": ""如果我乖给我买条gai""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这么可爱的人""}, {""sex"": ""1"", ""content"": ""我喜欢的人当然是可爱的啦。""}, {""sex"": ""1"", ""content"": ""被我这么一个优秀的人爱上。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要什么呢""}, {""sex"": ""1"", ""content"": ""要我喜欢你好不好！""}, {""sex"": ""1"", ""content"": ""你给我什么，我就要什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干什么呀？""}, {""sex"": ""1"", ""content"": ""我准备干点我们之间应该干的事情。""}, {""sex"": ""1"", ""content"": ""你希望我干点什么呀？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么笑""}, {""sex"": ""1"", ""content"": ""放开了笑，露出八颗牙齿的笑""}, {""sex"": ""1"", ""content"": ""你想怎么笑就怎么笑，发自内心的笑就好啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说什么了""}, {""sex"": ""1"", ""content"": ""竟然连我说了什么都不知道，太让我难受了。""}, {""sex"": ""1"", ""content"": ""……我说我喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在做什么？""}, {""sex"": ""1"", ""content"": ""在想怎么说喜欢你比较好。""}, {""sex"": ""1"", ""content"": ""正在和一个大美女聊天呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不在么""}, {""sex"": ""1"", ""content"": ""您呼叫的用户正忙，请发送“么么哒”召回""}, {""sex"": ""1"", ""content"": ""在呀，一直都在你心里呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你现在干什么呢""}, {""sex"": ""1"", ""content"": ""还能干什么，闲着想你呢。""}, {""sex"": ""1"", ""content"": ""不干什么，就是想你在干什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜我在想什么""}, {""sex"": ""1"", ""content"": ""我猜啊，你肯定是在想我啦。""}, {""sex"": ""1"", ""content"": ""我猜你肯定猜我现在想什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小哥哥在么""}, {""sex"": ""1"", ""content"": ""小姐姐一叫，小哥哥不在也得在""}, {""sex"": ""1"", ""content"": ""小哥哥一直在等着小姐姐的呼唤呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么了我""}, {""sex"": ""1"", ""content"": ""把我的心偷走了，就装作什么事都没发生吗？""}, {""sex"": ""1"", ""content"": ""又是这么无辜的模样，我要拿你怎么办？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""厉害了厉害了""}, {""sex"": ""1"", ""content"": ""这都让你看出来了，看来你才是真的厉害啊""}, {""sex"": ""1"", ""content"": ""我再不厉害怎么当你的男朋友啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么厉害的""}, {""sex"": ""1"", ""content"": ""我的厉害之处可多了，你是想知道哪方面？""}, {""sex"": ""1"", ""content"": ""你这是在挑衅吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你怎么办？""}, {""sex"": ""1"", ""content"": ""没办法了我只能去投靠你了。""}, {""sex"": ""1"", ""content"": ""我也不知道，你替我想想办法好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想你了，怎么办""}, {""sex"": ""1"", ""content"": ""还能怎么办，继续想我呗。""}, {""sex"": ""1"", ""content"": ""想我，你就抱抱我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我饿了怎么办""}, {""sex"": ""1"", ""content"": ""吃货，这种事情你还问我啊。""}, {""sex"": ""1"", ""content"": ""还能怎么办，多吃点就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""回去有事""}, {""sex"": ""1"", ""content"": ""什么事呀，有没有我能帮得上忙的地方。""}, {""sex"": ""1"", ""content"": ""那你回去注意安全哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋回事呀""}, {""sex"": ""1"", ""content"": ""我喜欢你还能有咋回事啊。""}, {""sex"": ""1"", ""content"": ""没事啊，就是看着你挺开心的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又怎样""}, {""sex"": ""1"", ""content"": ""好像我也不能怎样""}, {""sex"": ""1"", ""content"": ""在你面前我哪里还敢怎样？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要喜欢我呢""}, {""sex"": ""1"", ""content"": ""因为喜欢你所以喜欢你。""}, {""sex"": ""1"", ""content"": ""喜欢你哪来这么多为什么啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼呢""}, {""sex"": ""1"", ""content"": ""称呼都是外物，要不叫我老公 公吧""}, {""sex"": ""1"", ""content"": ""你想怎么称呼就怎么称呼呢，老婆""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""名字只是一个称呼""}, {""sex"": ""1"", ""content"": ""确实，那我称呼你宝贝应该没问题吧。""}, {""sex"": ""1"", ""content"": ""虽然是这样，但我想知道专属于你的这个特殊称呼。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么称呼呀""}, {""sex"": ""1"", ""content"": ""我姓相，单名一个公，你叫我老公就好了""}, {""sex"": ""1"", ""content"": ""你可以叫我夫君或者叫我小名老公也行""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你笑什么？""}, {""sex"": ""1"", ""content"": ""你是我的笑容开关啊，遇到你就想笑啊。""}, {""sex"": ""1"", ""content"": ""因为你长得很有喜感""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你[憨笑][憨笑]""}, {""sex"": ""1"", ""content"": ""笑的这么好看，我会忍不住爱上你的。""}, {""sex"": ""1"", ""content"": ""我什么地方能让你笑成这样。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚还没睡呢""}, {""sex"": ""1"", ""content"": ""想到你还没睡，我也不敢睡了。""}, {""sex"": ""1"", ""content"": ""睡觉这么重要的事情，不和你讨论下怎么行呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么还不睡""}, {""sex"": ""1"", ""content"": ""因为你还没睡。""}, {""sex"": ""2"", ""content"": ""你可以先睡嘛。""}, {""sex"": ""1"", ""content"": ""你还没睡，我在梦里会找不到你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也起那么早""}, {""sex"": ""1"", ""content"": ""对啊，毕竟早起的鸟儿有虫吃嘛。""}, {""sex"": ""1"", ""content"": ""早点起床才能跟你多聊会儿天呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干麻""}, {""sex"": ""1"", ""content"": ""心里想着你，做什么都可以""}, {""sex"": ""1"", ""content"": ""直接来看看我不就知道我在干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你的嘴怎么这么甜呢？""}, {""sex"": ""1"", ""content"": ""你咋知道的，你都没亲过好不好。""}, {""sex"": ""1"", ""content"": ""你都这么甜了，我再不甜都配不上你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""游戏有什么好玩的""}, {""sex"": ""1"", ""content"": ""游戏确实没什么好玩的，还是跟你聊天比较有趣""}, {""sex"": ""1"", ""content"": ""既然没什么好玩的，那你跟我玩吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有你在有什么用""}, {""sex"": ""1"", ""content"": ""至少在你伤心难过的时候还有我陪你""}, {""sex"": ""1"", ""content"": ""可能没什么用吧，但是我就是想待在你身边""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""精致的男孩""}, {""sex"": ""1"", ""content"": ""做一个精致的猪猪男孩。""}, {""sex"": ""1"", ""content"": ""那你咋不心动嗯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么时候下班""}, {""sex"": ""1"", ""content"": ""你准备让我几点下班呢？""}, {""sex"": ""1"", ""content"": ""你看我什么时候下班比较好呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么帮？""}, {""sex"": ""1"", ""content"": ""只要你需要，我有一百种方法帮到你。""}, {""sex"": ""1"", ""content"": ""怎么帮不重要，重要的是你愿意帮我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道说什么嘛""}, {""sex"": ""1"", ""content"": ""没关系呀，你说什么我都会很开心的""}, {""sex"": ""1"", ""content"": ""以后我要多跟你聊天，这样你就不会不知道要说什么了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我可不一样""}, {""sex"": ""1"", ""content"": ""仙女怎么可能和别人一样呢。""}, {""sex"": ""1"", ""content"": ""我就是喜欢你的不一样。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""女人病""}, {""sex"": ""1"", ""content"": ""女人病有什么症状？""}, {""sex"": ""1"", ""content"": ""你这病我还是第一次听说，只有女人会得的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢什么样""}, {""sex"": ""1"", ""content"": ""我就喜欢你这个样子得。""}, {""sex"": ""1"", ""content"": ""无论什么样的都不能阻止我喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你该叫我什么""}, {""sex"": ""1"", ""content"": ""当然是叫你老婆啊。""}, {""sex"": ""1"", ""content"": ""宝贝、亲爱的、小甜心，你喜欢我叫你什么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想让我叫你什么""}, {""sex"": ""1"", ""content"": ""老公啊，小可爱啊，都行的。""}, {""sex"": ""1"", ""content"": ""你叫男朋友叫什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉了。""}, {""sex"": ""1"", ""content"": ""那你先好好睡一觉，记得梦见我哦。""}, {""sex"": ""1"", ""content"": ""要睡多久，需不需要我叫你起床，免得睡过头了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡了么？""}, {""sex"": ""1"", ""content"": ""在你还没说晚安前，我可没打算睡。""}, {""sex"": ""1"", ""content"": ""你的信息一发过来，我就不想睡了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡了呀""}, {""sex"": ""1"", ""content"": ""怎么睡这么早，作息也太好了吧。""}, {""sex"": ""1"", ""content"": ""睡了也不跟我说晚安，罚你以后每天睡前都要跟我说晚安。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说好了啊""}, {""sex"": ""1"", ""content"": ""既然你都说好了，那我岂有改的意图啊。""}, {""sex"": ""1"", ""content"": ""那就说好咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我又输了""}, {""sex"": ""1"", ""content"": ""在我这里，我永远不会让你成为输家。""}, {""sex"": ""1"", ""content"": ""没关系呀，输了你依旧是最好看的小仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不睡觉了吗""}, {""sex"": ""1"", ""content"": ""仙女都还没睡觉，我怎么可以先睡呢？""}, {""sex"": ""1"", ""content"": ""我怕我睡着了你想我却找不到我啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""删好友？""}, {""sex"": ""1"", ""content"": ""我是说，你不能把我删掉，知道吗？""}, {""sex"": ""1"", ""content"": ""对啊，我要把无关紧要的人都删了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我饿了，""}, {""sex"": ""1"", ""content"": ""饿了就去吃饭，吃饱来！""}, {""sex"": ""1"", ""content"": ""减肥！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你饿了没""}, {""sex"": ""1"", ""content"": ""饿了，那我现在可以吃东西了吗！""}, {""sex"": ""1"", ""content"": ""饿着肚子也挺难受的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你错啥了""}, {""sex"": ""1"", ""content"": ""我哪都错了。""}, {""sex"": ""1"", ""content"": ""不知道错啥了，但是就是错了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""错哪了！""}, {""sex"": ""1"", ""content"": ""错在不该没有你的允许就擅自喜欢你。""}, {""sex"": ""1"", ""content"": ""不管做错什么，惹小仙女不开心就是错。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""大错特错""}, {""sex"": ""1"", ""content"": ""请小仙女指正我的错误。""}, {""sex"": ""1"", ""content"": ""错就错在我不该喜欢上你，但我愿意将错就错。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我已经分手了""}, {""sex"": ""1"", ""content"": ""分手是为了让你可以跟更好的人在一起呀""}, {""sex"": ""1"", ""content"": ""看来我有机会啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太想我了""}, {""sex"": ""1"", ""content"": ""我都这么低调的想你了，还是让你知道了。""}, {""sex"": ""1"", ""content"": ""我这不是因为太喜欢你了吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有爱吗""}, {""sex"": ""1"", ""content"": ""你难道没有感受到我对你的爱吗？""}, {""sex"": ""1"", ""content"": ""爱是细水长流，你会慢慢感受到的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚好～""}, {""sex"": ""1"", ""content"": ""夜晚这么漫长，真希望可以见到你呀""}, {""sex"": ""1"", ""content"": ""小仙女晚上好，想我了吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要醉了""}, {""sex"": ""1"", ""content"": ""需要我过来照顾你吗？""}, {""sex"": ""1"", ""content"": ""喝醉了，我会负责把你扛回家的。""}], ""lock"": 1}"
